ID,naive_B_cell,memory_B_cell,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell
S10186,7.17078666667,6.22636,7.08833333333,8.3852,5.4691,5.71665625,6.62310909091,5.48462307692
S1019,6.92359333333,6.26808,7.00115,8.089,5.38199166667,5.8019625,6.48347272727,5.23487692308
S10190,7.0098,5.96782,7.67998333333,8.729375,5.4134,6.005275,6.64539090909,5.44559230769
S10195,6.74794666667,5.9962,6.99603333333,7.529925,5.40379166667,5.84319375,6.50575454545,5.25519230769
S10196,6.70246666667,6.0595,7.17246666667,8.11355,5.59849166667,5.8487125,6.52459090909,5.31431538462
S10200,6.64002666667,6.06076,6.72085,7.665725,5.41555,5.91479375,6.5664,5.28212307692
S10201,6.69032,6.00296,6.00141666667,6.87935,5.386725,5.9543875,6.48399090909,5.25150769231
S10202,6.91464666667,6.16516,6.58515,8.324125,5.4533,5.90028125,6.61673636364,5.24746153846
S10205,7.19258,6.0149,7.3552,8.159125,5.37879166667,5.790375,6.56414545455,5.23513846154
S10211,6.43458,6.1213,7.12275,7.775875,5.28039166667,5.77999375,6.22523636364,5.28298461538
S10221,6.82544666667,6.1914,7.2118,8.43075,5.663975,5.845425,6.64930909091,5.40498461538
S10222,6.73806666667,6.16112,6.61756666667,7.319425,5.24043333333,5.851375,6.46190909091,5.29116923077
S10226,7.03129333333,6.04612,6.76123333333,8.167525,5.328725,5.7775,6.38669090909,5.22346153846
S10227,6.72104,6.13814,6.82126666667,7.7676,5.32131666667,5.9905375,6.52661818182,5.341
S10228,6.70990666667,6.04148,7.01983333333,7.94425,5.34903333333,5.98520625,6.46484545455,5.3473
S10232,6.93430666667,5.9463,7.45178333333,8.0884,5.26475,5.8928875,6.33752727273,5.63714615385
S10248,6.78842,5.9286,7.63426666667,8.028425,5.3502,5.80379375,6.27312727273,5.22253846154
S10249,6.64446,6.1038,6.63828333333,7.599425,5.73031666667,6.5324,6.43257272727,5.26205384615
S1025,6.98974666667,6.24584,7.06711666667,8.24805,5.36060833333,5.71154375,6.64216363636,5.32248461538
S10266,6.83166666667,6.0913,6.6874,7.868325,5.39950833333,5.9423375,6.52851818182,5.18967692308
S10269,7.04494666667,6.32744,6.7147,7.80305,5.2513,5.89490625,6.54073636364,5.20301538462
S10272,6.44356666667,5.96996,6.82143333333,7.48435,5.39690833333,5.62315,6.26225454545,5.26066153846
S10273,7.09377333333,6.12326,6.72633333333,7.853875,5.22080833333,5.85800625,6.42837272727,5.20181538462
S10274,6.77413333333,6.00468,7.00761666667,7.8188,5.43065,5.9174625,6.59958181818,5.48783076923
S1028,6.76461333333,5.95494,7.4209,8.010675,5.16075,6.06943125,6.43843636364,5.33234615385
