naive_B_cell,memory_B_cell,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell
mix_1,0.365341404538334,0,0.378711827583565,0.0611827634289567,0.00332916007936523,0.00533750183364323,0.145151999562319,0.0409453429738173
mix_2,0.363874989751697,0,0.366465388946549,0.0563919658935913,0.00618260186607092,0.0161797472868747,0.143900069143577,0.0470052371116394
mix_3,0.394967763253138,0,0.395492869218808,0.0898455824236104,0.00664323098305153,0,0.087302803467058,0.0257477506543338
mix_4,0.420096324494605,0,0.357779545178747,0.0752452139949689,0.0070066878698242,0.0022137750182841,0.106095603749222,0.0315628496943477
mix_5,0.401021964316,0,0.359719976918838,0.0945003639007014,0.00558162319028477,0,0.105870543650289,0.0333055280238858
mix_6,0.392107895260144,0,0.365813781218658,0.0769571617681022,0.00371920140407922,0.00382149567899265,0.122641820116251,0.0349386445537724
mix_7,0.440989402867589,0,0.356661748452762,0.0785105415081953,0.00452544924849352,0,0.0950549822399015,0.0242578756830588
mix_8,0.42624165594451,0,0.352546482577183,0.0493813889937045,0.00638077391672834,0.0100004256524594,0.122011932116809,0.0334373407986055
mix_9,0.371416304182723,0,0.38144294895901,0.0733908197227693,0.0042630384961892,0.00120816016791211,0.130010267100161,0.0382684613712355
mix_10,0.455532010494876,0,0.332548011939838,0.0810690076496631,0.0067711914261458,0.00330265219467524,0.0952915686483352,0.0254855576464666
mix_11,0.371202023995432,0,0.374463329426326,0.0488691867537461,0.00497541131637091,0.0101215606455826,0.146093796377039,0.0442746914855036
mix_12,0.362621812642456,0,0.371444620042144,0.0737650837219169,0.0061225795973914,0.0164717799294869,0.125225811574032,0.0443483124925736
mix_13,0.475042058766167,0,0.330896702028629,0.0697137055029857,0.00656259388458452,0,0.0941844135554321,0.0236005262622015
mix_14,0.469556787394318,0,0.323141077434,0.0848933487016742,0.00524830667886295,0,0.0958234998770615,0.0213369799140833
mix_15,0.447785558178539,0,0.337373560750952,0.0984830568512729,0.00299664359688098,0,0.09002600946065,0.0233351711617043
mix_16,0.408624604163241,0,0.370649255177014,0.0814822940548618,0.00843413559888478,0.00356748861266337,0.0962458176894908,0.0309964047038438
mix_17,0.508734773941434,0,0.320603831500225,0.0965147027724766,0.00773776973324306,0,0.0594573027904073,0.00695161926221421
mix_18,0.373772333571739,0,0.358328184525287,0.052108874692144,0.00693909511981539,0.0209414314946602,0.140791874011057,0.0471182065852977
mix_19,0.414394683479472,0,0.352829462588974,0.0737875021541622,0.00368642891944165,0.00249986157369783,0.120615820122423,0.0321862411618288
mix_20,0.365445438137062,0,0.389110648699844,0.142555713406374,0.00536907332758615,0,0.0739208407596135,0.0235982856695196
mix_21,0.427110027605457,0,0.345808724567393,0.100316216859672,0.00517074871950041,0,0.0956066980701195,0.025987584177858
mix_22,0.431469924812762,0,0.342904693624455,0.0715007613917662,0.00387321721232126,0,0.119443287950547,0.0308081150081484
mix_23,0.432983807056332,0,0.356712672123218,0.0574069070923034,0.00528650698286184,0.00278145060213897,0.115915054107408,0.0289136020357374
mix_24,0.359547567591158,0,0.365799950491705,0.0467091102654092,0.00672919894075716,0.018966249151507,0.153136437246717,0.0491114863127471
mix_25,0.364944656168987,0,0.389190057930714,0.0783751177008933,0.00564430204154195,0.00684979224116253,0.117955542976152,0.037040530940548
mix_26,0.356388244593942,0,0.410996448316337,0.113909136124376,0.00745154438415957,0,0.0819304300628759,0.029324196518309
