B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
mix_1	2.36437558396749e-98	2.52307320511238e-54	1.9518058883089e-106	6.23524104346901e-204	0	1.06593653992135e-102	1
mix_2	7.25673897489082e-71	9.19864018969706e-36	2.29754735074759e-96	1.24927614092549e-191	0	9.95649529370379e-98	1
mix_3	1.13176252479664e-82	1	1.68872967022562e-96	1.83494486065152e-218	0	1.40751237152099e-119	1.24447877529127e-38
mix_4	1.9548328155517e-96	1.29678192037441e-73	5.24202902287866e-121	1.98178468270467e-201	0	1.28962680440982e-81	1
mix_5	2.93904526300126e-79	1.41567764437083e-31	9.34095527403214e-101	2.02192326736185e-195	0	8.91050520202599e-88	1
mix_6	1.86735788390587e-93	9.91776918607571e-70	1.72019847572661e-120	3.17712188949756e-202	0	5.78951000580291e-87	1
mix_7	7.73067238252729e-64	0.0660311670967609	7.14109416477633e-84	9.86922281812637e-188	4.19535843166095e-319	3.033139514709e-86	0.933968832903239
mix_8	1.25983961476739e-71	9.57919937293687e-19	1.98005515933757e-90	1.35188892566468e-191	2.96439387504748e-323	1.23598229278489e-94	1
mix_9	5.89160579341771e-110	1.00230576837392e-103	3.33928307474522e-137	9.60828760018071e-212	0	1.66845009389259e-88	1
mix_10	8.64088624623518e-64	9.59200639295535e-16	9.74704995957611e-81	4.39414316838e-188	8.74048551778698e-314	6.27494867195105e-73	0.999999999999999
mix_11	2.45027991121842e-95	1.0690500911067e-69	3.22675197681624e-113	1.53115592054213e-203	0	9.02650162021838e-103	1
mix_12	4.90240623359861e-88	2.04491332417599e-41	1.67580810090688e-101	3.65259030721368e-198	0	4.49580203702108e-82	1
mix_13	7.81843461909543e-92	1.88842126200828e-63	4.89369811578274e-103	1.04919968191666e-200	0	3.24896144120811e-71	1
mix_14	6.23847498122895e-94	7.18385532226635e-69	2.83064647447672e-110	3.79307661941843e-202	0	7.75387931723253e-81	1
mix_15	7.2987319568141e-78	3.20945956333598e-35	7.30455948055445e-102	1.06797779067456e-196	0	2.46706354915596e-90	1
mix_16	1.74719759380796e-70	1	9.95751782524279e-100	4.52430085466849e-213	0	5.02170588593076e-115	2.87871107637024e-35
mix_17	9.05436895320916e-67	1	8.22224997672301e-92	6.15204270673705e-205	0	3.02789452239026e-102	1.33872806861574e-26
mix_18	3.33455050365988e-64	2.66175408535466e-21	6.2132029818779e-74	1.73096375732173e-188	7.01491347979543e-306	3.5452215666612e-67	1
mix_19	2.99991020674761e-79	1	2.11071393503799e-87	3.3257059477436e-211	0	5.68524746952513e-114	7.57738255766903e-29
mix_20	1.34565643014849e-84	1.2348643290162e-67	6.0217876184913e-115	8.85558282832033e-200	0	9.28778905280664e-85	1
