CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
mix_72	0.4193	0.0483	0.1207	0.0493	0.0262	0.026	0.2615	0.0487
mix_73	0.2489	0.0436	0.1966	0.3136	0.0241	0.0038	0.1133	0.0561
mix_74	0.2026	0.0286	0.2939	0.1398	0.0266	0.0384	0.2384	0.0317
mix_75	0.16	0.051	0.4939	0.1352	0.0312	0.0077	0.1	0.021
mix_76	0.0314	0.039	0.1877	0.2968	0.0238	0.015	0.2922	0.1142
mix_77	0.0703	0.0275	0.0427	0.198	0.0252	0.0319	0.4797	0.1247
mix_78	0.1249	0.0488	0.4314	0.1486	0.0297	0	0.148	0.0687
mix_79	0.0114	0.0479	0.5336	0.0677	0.0357	0	0.2198	0.0838
mix_80	0.2394	0.0597	0.2525	0.0052	0.0237	0.0016	0.3018	0.1161
mix_81	0.0996	0.0441	0.2472	0.0174	0.0265	0.0416	0.4271	0.0965
mix_82	0.1645	0.0592	0.3896	0.0588	0.0309	0	0.2021	0.095
mix_83	0.1364	0.0421	0.489	0.1287	0.0311	0.0042	0.1252	0.0434
mix_84	0.1584	0.0402	0.287	0.0302	0.0305	0.0161	0.3388	0.0987
mix_85	0.1071	0.038	0.2787	0.0274	0.0259	0.0182	0.3886	0.116
mix_86	0.0522	0.0214	0.1201	0.2248	0.026	0.0456	0.4281	0.0819
mix_87	0.0658	0.0434	0.3784	0	0.0325	0.0314	0.3537	0.0948
mix_88	0.1506	0.0282	0.1905	0.1995	0.023	0.0206	0.3009	0.0867
mix_89	0.1308	0.0255	0.0932	0.1682	0.0241	0.0264	0.3996	0.1322
mix_90	0.06	0.0408	0.4297	0.0237	0.0236	0.0152	0.2957	0.1114
mix_91	0.1164	0.0432	0.4506	0.2054	0.0293	0.0078	0.1084	0.0387
mix_92	0.1203	0.0364	0.3961	0.029	0.0294	0.028	0.2855	0.0753
mix_93	0	0.0439	0.726	0.05	0.0431	0	0.0843	0.0527
mix_94	0	0.0374	0.5281	0.2279	0.0294	0	0.1026	0.0746
mix_95	0.1756	0.046	0.4031	0.244	0.0306	0	0.071	0.0298
mix_96	0.1326	0.0502	0.3486	0.3354	0.0228	0	0.078	0.0325
mix_97	0.0903	0.0487	0.4572	0.0733	0.029	0.0041	0.2075	0.0898
mix_98	0.152	0.0447	0.423	0.045	0.0281	0.0164	0.2266	0.0643
mix_99	0.0901	0.0264	0.0161	0.0833	0.0301	0.0657	0.5689	0.1195
mix_100	0.1219	0.0458	0.3606	0.055	0.0283	0.0238	0.2891	0.0754
