B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage
mix_1	1	1.81415292126028e-34	3.29956402711562e-75	9.43341820991344e-125	0	0
mix_2	1	3.21921840964628e-42	3.55230569373226e-111	1.10510010206216e-115	0	0
mix_3	0.999999240460767	7.59539232710592e-07	1.00234516932233e-127	0	0	0
mix_4	1	2.68972431291121e-59	3.05536864947039e-143	0	0	0
mix_5	1	3.30661562649294e-31	8.3267753135674e-81	0	0	0
mix_6	1	5.87552203851562e-42	7.42631883345374e-119	7.11084301915245e-156	0	0
mix_7	1	4.98643759437285e-75	8.4197040337694e-148	0	0	0
mix_8	1	3.080255098939e-94	0	1.20817554796369e-188	0	0
mix_9	1	9.58283655675276e-17	2.51377562862516e-63	1.07410066597506e-130	0	0
mix_10	1	1.04182044782032e-100	9.21561200905219e-227	0	0	0
mix_11	1	6.4430306842268e-46	1.92046971610796e-119	2.0449400309374e-124	0	0
mix_12	0.999999999999858	1.4156913344176e-13	1.40024523943868e-103	4.7324764690182e-117	0	0
mix_13	1	1.36250608708824e-112	1.09102966021184e-168	0	0	0
mix_14	1	1.90338003361837e-114	2.46178756639562e-225	0	0	0
mix_15	1	3.80062272024709e-76	1.3601762724504e-58	0	0	0
mix_16	1	5.05328369428907e-38	2.72274612084002e-148	0	0	0
mix_17	1	7.21934798948464e-134	6.67077694161513e-269	0	0	0
mix_18	1	1.22480447013409e-56	0	2.87514890153213e-122	0	0
mix_19	1	1.12593091258169e-69	2.00379767222711e-150	4.0386664075152e-179	0	0
mix_20	5.88450703037647e-41	1	3.4338891140665e-90	0	0	0
mix_21	1	4.90792558218766e-62	9.68208061063741e-167	0	0	0
mix_22	1	3.14104619492394e-83	6.69951673731645e-122	0	0	0
mix_23	1	1.0874050761856e-87	0	0	0	0
mix_24	1	4.40845724606813e-55	1.64770680711646e-103	5.68882264829997e-113	0	0
mix_25	0.999264705005948	0.000735294994052064	2.51561823994617e-130	6.860777018035e-131	0	0
mix_26	1.82126742158364e-61	0.999999999999267	7.32972670279682e-13	0	0	0
mix_27	1	5.59721985282323e-131	2.95059177391329e-159	7.02737693708553e-197	0	0
mix_28	0.000697378603740709	0.999302621396259	5.38356750751554e-92	0	0	0
mix_29	1	7.60459847570219e-33	1.32361182528217e-97	3.22189755170452e-151	0	0
mix_30	1	4.20286059583887e-47	1.18093036992788e-127	4.28764571686426e-166	0	0
mix_31	1	1.82156649437565e-27	1.49775414415194e-133	6.52085223669831e-149	0	0
mix_32	1	3.18083442461744e-34	5.73492900360844e-122	0	0	0
mix_33	1	1.05839356713084e-61	1.3268262745782e-146	1.25862991085787e-168	0	0
mix_34	1	6.31440193171568e-32	5.23185731054167e-94	3.17327046666551e-117	0	0
mix_35	1	3.39261087432375e-35	3.37242498999155e-101	1.37829964442237e-143	0	0
mix_36	1	5.2151268123858e-76	6.7919166633398e-194	0	0	0
mix_37	1	2.07838993249996e-73	1.34244772119423e-201	0	0	0
mix_38	1.01697653521013e-32	1	2.52047713917035e-74	0	0	0
mix_39	1	2.60790876353826e-79	9.41139013112398e-107	0	0	0
mix_40	1	1.8450637599457e-61	1.26907542598437e-166	7.33289858195356e-172	0	0
mix_41	1	2.08331973014327e-37	3.52602344847324e-85	1.59593158443897e-130	0	0
mix_42	1	2.77898657641489e-63	1.65429943424809e-170	0	0	0
mix_43	8.50960130600151e-25	1	1.71478636001623e-38	0	0	0
mix_44	2.8079760790583e-16	1	4.17372875343858e-73	0	0	0
mix_45	1.36904248669793e-18	1	2.68049500560106e-137	2.43681364145551e-138	0	0
mix_46	0.99999999838914	1.6108598544865e-09	1.31950594759341e-74	0	0	0
mix_47	1	1.41176549401242e-64	1.72656743481249e-172	9.40054864689194e-175	0	0
mix_48	1	2.54652689474406e-125	4.39785033118143e-145	1.26361828477971e-185	0	0
mix_49	1	2.13136402360962e-84	2.04760920860017e-129	5.78897160332954e-179	0	0
mix_50	1	7.94698596383609e-41	1.48625673864883e-190	0	0	0
mix_51	1	2.12824751020581e-108	1.38785961743453e-145	8.73441213529467e-187	0	0
mix_52	1	1.62258585728226e-85	3.0580286113271e-153	0	0	0
mix_53	1	4.97066864448201e-95	2.71800791116935e-150	1.06549606985426e-183	0	0
mix_54	1	4.22145079212155e-67	9.24685475788877e-177	0	0	0
mix_55	1	3.34999569967815e-83	1.84615627533204e-147	5.8973247676559e-178	0	0
mix_56	0.999999999999999	1.03460003615236e-15	1.50869190776237e-159	0	0	0
mix_57	0.273798521665933	0.726201478334067	8.05802064151119e-74	1.56044438786973e-118	0	0
mix_58	1	4.49727375374722e-32	2.63203188127878e-93	0	0	0
mix_59	1	2.42264990160515e-18	1.00181917309123e-72	4.63278997769325e-120	0	0
mix_60	1	3.00429408087517e-93	0	0	0	0
mix_61	1	6.54161794872576e-21	7.82871644357966e-183	0	0	0
mix_62	1	3.0256079490512e-20	2.96870415120585e-109	0	0	0
mix_63	0.999999999999995	5.22361568088244e-15	4.86827279049582e-101	4.42818504636289e-124	0	0
mix_64	1	1.97665398934676e-74	0	7.5198077194259e-178	0	0
mix_65	1	9.97557645063572e-34	1.26730255032207e-42	0	0	0
mix_66	1	3.92171771854989e-105	1.93443427213889e-137	5.96277440247558e-183	0	0
mix_67	1	1.13396849239114e-63	1.35058445176919e-119	0	0	0
mix_68	4.04577807062021e-22	1	4.09059657181086e-24	0	0	0
mix_69	1	1.60498072210793e-71	0	7.86967642411002e-173	0	0
mix_70	1	3.6844887483322e-150	3.86675052303312e-96	1.9874965977347e-237	0	0
mix_71	1	2.50032045611491e-129	0	7.26143585713474e-196	0	0
mix_72	1	6.19589613765951e-140	2.07869354160554e-267	0	0	0
mix_73	1	6.3824531673523e-110	5.04114270511876e-113	0	0	0
mix_74	1	4.21978800094036e-74	9.15356545602677e-166	0	0	0
mix_75	1	6.23846284643673e-102	4.81690897863077e-159	4.01095841321464e-177	0	0
mix_76	5.65529893286462e-09	0.999999994344701	1.09442525964359e-52	0	0	0
mix_77	2.48949335070233e-39	1	9.50088503276589e-109	0	0	0
mix_78	1	8.80905420860051e-68	1.12650263374397e-128	1.96753710071941e-165	0	0
mix_79	1	8.74647415814181e-28	7.02535289068631e-120	1.86348339970515e-127	0	0
mix_80	1	1.74059745176948e-72	1.05046398120516e-201	0	0	0
mix_81	0.999999999994326	5.67441710908447e-12	3.93506182937554e-156	0	0	0
mix_82	1	3.00913961555398e-73	5.83631008374058e-163	2.28671503531884e-180	0	0
mix_83	1	9.4478430470154e-83	2.48892500358448e-146	8.84341037848463e-166	0	0
mix_84	1	1.51541171513662e-42	1.76588336806732e-166	0	0	0
mix_85	1	5.63482543900432e-20	6.52489475470297e-149	0	0	0
mix_86	2.6632197559424e-31	1	9.7022009911731e-95	0	0	0
mix_87	1	4.11558381103843e-18	0	7.52202050128086e-148	0	0
mix_88	1	2.47385195496873e-35	1.46738998977929e-112	0	0	0
mix_89	0.00103992307257093	0.998960076927429	9.37690353024827e-98	0	0	0
mix_90	1	2.38795391451767e-18	6.42726327222769e-136	2.23059141240513e-140	0	0
mix_91	1	2.55474086420606e-78	5.91826289430833e-121	2.21596505482668e-165	0	0
mix_92	1	2.58094808173236e-44	1.50196836751921e-160	5.34508315843136e-163	0	0
mix_93	1	4.97932801601584e-61	0	9.11313650443186e-114	0	0
mix_94	1	6.29099233869381e-33	3.1038496265498e-59	5.60989835756612e-114	0	0
mix_95	1	8.00138206686783e-107	2.17648267477112e-128	5.05678463575733e-186	0	0
mix_96	1	5.85234042821045e-87	1.2988053989329e-73	1.23314279164127e-176	0	0
mix_97	1	4.27300921261638e-45	3.36639569876767e-136	1.32295589303642e-151	0	0
mix_98	1	1.53868349186351e-66	2.49962211674975e-171	1.11673363369311e-173	0	0
mix_99	1.61862391799095e-44	1	2.60883730536759e-158	0	0	0
mix_100	1	3.42795262821865e-44	1.06345458410487e-157	7.83496070244493e-168	0	0
