naive_B_cell,memory_B_cell,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell
mix_1,0.131755869442966,0,0.443826765635759,0.296188111681084,0.0512584735037598,0,0,0.076970779736431
mix_2,0.179737959682273,0,0.456839084771,0.19413955938968,0.0331705203110724,0,0,0.136112875845975
mix_3,0.182140945500392,0,0.444098260049822,0.0820423077474101,0.140504114481328,0,0,0.151214372221048
mix_4,0.142702107839454,0,0.534666705987573,0.218822496973955,0.0184318446573823,0,0,0.085376844541636
mix_5,0.148794601268805,0,0.469072191827223,0.205966706054686,0.0662825412028527,0,0,0.109883959646433
mix_6,0.144973407335289,0,0.512978989224349,0.240810644280699,0.0247103835099347,0,0,0.0765265756497288
mix_7,0.161375718684414,0,0.44010657084628,0.166901055438603,0.0937856268713051,0,0,0.137831028159398
mix_8,0.15444415202421,0,0.436000334144343,0.207174382963443,0.0724587401722415,0,0,0.129922390695762
mix_9,0.135609652242574,0,0.531129088351641,0.271134558895821,0.00445422675407341,0,0,0.0576724737558896
mix_10,0.16319889841976,0,0.587671611289536,0.0838477460008617,0.0570883137248994,0,0,0.108193430564942
mix_11,0.156176887367476,0,0.471771306819392,0.276246611773513,0.013394695373473,0,0,0.0824104986661452
mix_12,0.129817981943595,0,0.505775102674929,0.201861159506373,0.0636082018062812,0,0,0.0989375540688225
mix_13,0.132735779413349,0,0.60714324285719,0.151270614447663,0.0265438627203672,0,0,0.0823065005614304
mix_14,0.141414626701935,0,0.572968791773663,0.197373447759245,0.0231489411158574,0,0,0.0650941926492982
mix_15,0.154166896182156,0,0.478947128361138,0.2047526498186,0.0600915978732223,0,0,0.102041727764885
mix_16,0.20847046087268,0,0.412069906368838,0.0858163604401304,0.139720322062779,0,0,0.153922950255573
mix_17,0.196754886364186,0,0.448402932986978,0.0636790852704376,0.12884302710413,0,0,0.162320068274268
mix_18,0.158663189835977,0,0.634431977914443,0.0421240194334898,0.0469093607709075,0,0,0.117871452045183
mix_19,0.165010534148263,0,0.446894446060593,0.108096220938853,0.133056077551676,0,0,0.146942721300615
mix_20,0.161353202110531,0,0.546626943355068,0.201068573552465,0.0105466255497454,0,0,0.0804046554321909
mix_21,0.157780644604205,0,0.539801752337582,0.0842679022095737,0.0967118670444906,0,0,0.121437833804149
mix_22,0.126709152594719,0,0.510294421749027,0.234943732691425,0.041400420188734,0,0,0.0866522727760943
mix_23,0.147990905166293,0,0.547916786390765,0.223531301006965,0.00977300218547196,0,0,0.0707880052505046
mix_24,0.150517253065458,0,0.501895586827176,0.18079907898612,0.0653259408677861,0,0,0.101462140253459
mix_25,0.143165540137079,0,0.560915491747741,0.232535721996873,0.00313441772599832,0,0,0.0602488283923091
mix_26,0.159001497390949,0,0.543328199843959,0.051811711503447,0.116035028661647,0,0,0.129823562599998
mix_27,0.143979308827822,0,0.496745575006743,0.27259148799936,0.0213540806419307,0,0,0.065329547524144
mix_28,0.148057934359564,0,0.524712401168787,0.207931872795428,0.0340454028354198,0,0,0.0852523888408015
mix_29,0.140377016610927,0,0.470819711368517,0.26023072827219,0.0328455022696381,0,0,0.0957270414787278
mix_30,0.13598729160315,0,0.549820789064083,0.219607173853406,0.0192394574584464,0,0,0.0753452880209137
mix_31,0.138492918585729,0,0.554510951310617,0.168134850915107,0.0394820738029061,0,0,0.0993792053856405
mix_32,0.137434903257223,0,0.588088835101482,0.189163754586433,0.0167914366359825,0,0,0.0685210704188798
mix_33,0.140398664927192,0,0.591586487689202,0.118695106512843,0.0661781681346619,0,0,0.0831415727361006
mix_34,0.175702932078429,0,0.530003942036497,0.0240516296414973,0.104357131306598,0,0,0.165884364936979
