B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
mix_1	8.62149127212135e-282	0	0	5.07220565761001e-256	1.53395456482905e-263	0	2.35890683941194e-176	1.88698775706597e-234	2.2902419578209e-105	0	0	0	0	5.20073937595201e-274	1.36359828650183e-269	0	0	0	1	6.96789174873843e-281	0	0
mix_2	7.33957925593611e-290	0	0	0	4.66872866728986e-286	0	2.69619769826778e-215	3.3285387803136e-231	4.04663562098356e-120	0	0	0	0	0	2.8119853429007e-279	0	0	0	1	6.86894232045335e-284	0	0
mix_3	1.90467675808704e-274	0	0	0	0	0	5.00624506133519e-166	7.94659263807074e-220	2.10788085282501e-120	0	0	0	0	0	2.09490577867454e-265	0	0	0	1	1.55626568764207e-278	0	0
mix_4	2.08495779238122e-275	0	0	0	1.20684946740186e-275	0	1.97355861274314e-191	3.01326273993073e-191	5.43685179784826e-102	0	0	0	0	1.8510870268941e-270	1.66320391474558e-266	0	0	0	1	5.99590209143028e-276	0	0
mix_5	3.71195090822998e-271	0	0	0	1.74064399533045e-281	0	5.45525566236164e-173	1.18905901864869e-216	4.8776067875412e-109	0	0	0	0	7.34733290331819e-277	1.60475493730869e-269	0	0	0	1	8.05669506410092e-279	0	0
mix_6	1.15491453711402e-276	0	0	0	2.67319129833687e-278	0	4.85865460540288e-195	1.36526103507106e-197	1.06361433226233e-108	0	0	0	0	1.61913537809361e-272	4.05398505823209e-271	0	0	0	1	5.36267634553032e-282	0	0
mix_7	9.25667353296981e-271	0	0	0	0	0	1.65417003339541e-170	2.21754930759559e-209	3.67904738311275e-114	0	0	0	0	1.71822263864202e-278	1.53673269255254e-268	0	0	0	1	7.62603756128829e-276	0	0
mix_8	2.49261034494843e-280	0	0	0	1.57908499489077e-284	0	1.22213316478294e-203	2.10445465568408e-244	8.86326329876415e-118	0	0	0	0	5.93276472087214e-287	4.21457427547485e-281	0	0	0	1	1.164239725402e-288	0	0
mix_9	5.30271340195593e-282	0	0	4.36840080410462e-269	8.0462610117907e-265	0	7.14674477287625e-194	1.56969486742679e-193	4.78896752026685e-98	0	0	0	0	1.08645470076841e-264	2.87255989772504e-268	0	0	0	1	5.11831581978469e-279	0	0
mix_10	2.16944216471637e-273	0	0	0	0	0	3.94464071599275e-157	1.05414644415406e-213	2.77972980581489e-111	0	0	0	0	1.1161721934563e-279	2.91991307350585e-263	0	0	0	1	1.55587639087848e-279	0	0
mix_11	1.15714183660565e-288	0	0	2.22561946487101e-261	9.10407794547389e-271	0	1.4779313153414e-187	4.12451600385666e-217	2.65503853696132e-103	0	0	0	0	1.03692089833094e-274	1.07231551841597e-273	0	0	0	1	2.27418210823588e-279	0	0
mix_12	6.31190743527109e-273	0	0	0	8.64396735197082e-279	0	4.18977019696159e-175	1.07247089674319e-201	2.16090842831331e-114	0	0	0	0	6.12538585952565e-274	5.25960480137336e-269	0	0	0	1	1.63512393225992e-276	0	0
mix_13	5.82724904671289e-282	0	0	0	0	0	2.98693308823589e-191	3.07764230393659e-226	4.87964700981731e-124	0	0	0	0	5.68348528639357e-287	7.20874787622961e-273	0	0	0	1	1.04718216401802e-283	0	0
mix_14	8.89868328886544e-278	0	0	0	0	0	1.36399866885302e-165	3.68164230018944e-190	8.63857619234228e-103	0	0	0	0	7.28330460031182e-272	1.62716128812724e-262	0	0	0	1	2.73319065943428e-273	0	0
mix_15	1.89395168948686e-278	0	0	0	3.09172823319386e-282	0	6.08680060452915e-188	2.21211843040144e-210	4.50595041731113e-111	0	0	0	0	9.20121806061624e-279	1.5682618026841e-272	0	0	0	1	3.31407429642753e-280	0	0
mix_16	8.95263009182489e-278	0	0	0	0	0	1.42464550735812e-186	1.56643905335104e-233	1.18910567770189e-121	0	0	0	0	0	4.45080648518427e-277	0	0	0	1	3.32196797928699e-286	0	0
mix_17	4.39996983421183e-277	0	0	0	0	0	3.29133409811368e-199	3.55948531260918e-228	6.95997984062702e-130	0	0	0	0	0	5.61513217094778e-278	0	0	0	1	2.0167316653911e-286	0	0
mix_18	1.39744066562159e-282	0	0	0	0	0	1.02399344355331e-186	3.25227169061819e-210	5.51543046931324e-116	0	0	0	0	0	2.53812420440539e-267	0	0	0	1	9.30748216914004e-282	0	0
mix_19	5.11928933134513e-278	0	0	0	0	0	3.45457155196063e-172	1.98034318796567e-213	5.66422731716419e-125	0	0	0	0	0	1.92522362096951e-273	0	0	0	1	6.73321726376677e-286	0	0
mix_20	4.5221704103289e-284	0	0	0	4.14430711458713e-285	0	1.03065858895706e-208	3.10471996692584e-221	9.87858186895075e-107	0	0	0	0	7.47178409548464e-279	1.12955923238912e-271	0	0	0	1	5.04240308837808e-279	0	0
mix_21	4.53062777809801e-279	0	0	0	0	0	1.15446643025593e-188	2.59571558586152e-204	4.77364209417875e-126	0	0	0	0	0	1.24985221437869e-274	0	0	0	1	2.56707206377954e-284	0	0
mix_22	7.51318865372704e-277	0	0	1.04635669186048e-268	2.87111284563579e-257	0	4.2252541916276e-154	6.48325895602174e-208	4.37692749423669e-104	0	0	0	0	6.00362591893986e-261	1.24733916398824e-260	0	0	0	1	3.47809568463431e-272	0	0
mix_23	0	0	0	0	2.80063659027006e-276	0	4.8014190897714e-182	1.37388195056113e-210	4.01850145258397e-103	0	0	0	0	1.05059950568937e-268	2.20895791829716e-267	0	0	0	1	1.51289583549159e-272	0	0
mix_24	1.05805647066214e-274	0	0	0	0	0	4.51096324751931e-187	1.27964175855732e-197	1.58148998963106e-115	0	0	0	0	7.58725654524915e-280	2.33017274159711e-271	0	0	0	1	5.84213558274377e-278	0	0
mix_25	5.40270860298576e-280	0	0	0	2.29888094587888e-277	0	1.3873589909562e-190	2.6096323475801e-203	5.92275716146418e-102	0	0	0	0	7.34133837470336e-267	7.32465672341125e-267	0	0	0	1	4.12446482716153e-274	0	0
mix_26	8.18623364467111e-279	0	0	0	0	0	3.68476196679056e-176	5.13060860738143e-208	4.45850394937052e-123	0	0	0	0	0	3.88397981000199e-273	0	0	0	1	6.61514415489297e-284	0	0
mix_27	5.14899649479877e-282	0	0	1.13269885879273e-259	2.25525864213126e-266	0	3.01856102596289e-184	1.93683517303122e-221	4.7522778432517e-105	0	0	0	0	7.56755451310845e-270	1.96414236882796e-269	0	0	0	1	4.16339685394573e-272	0	0
mix_28	2.50201836620726e-277	0	0	0	0	0	3.03383019854041e-185	1.66160458013523e-204	1.02595383052655e-107	0	0	0	0	2.40885213716214e-274	3.60381286088641e-269	0	0	0	1	1.24812072593989e-277	0	0
mix_29	1.78777527162127e-283	0	0	1.72969117115942e-267	6.17173752587346e-269	0	1.4346813845952e-183	2.09173567546506e-228	1.11786686417979e-105	0	0	0	0	4.05315396482094e-273	7.52285714480782e-270	0	0	0	1	5.157205842371e-281	0	0
mix_30	6.08413360041271e-284	0	0	0	1.04084602556494e-280	0	6.06102686673047e-190	2.70835432936444e-199	6.76545606904064e-110	0	0	0	0	1.26387687352272e-271	9.04480792124835e-270	0	0	0	1	3.93209289356575e-279	0	0
mix_31	9.76694733384937e-288	0	0	0	0	0	1.46927992737457e-182	5.48480564309918e-214	5.31483104948162e-121	0	0	0	0	2.54565328499655e-284	1.61526131389171e-273	0	0	0	1	1.20936082531802e-285	0	0
mix_32	9.50087394154829e-281	0	0	0	9.95603867505159e-273	0	8.16691621020159e-149	7.68132670599483e-201	1.10742493332509e-105	0	0	0	0	6.40368699061389e-273	3.92466812994771e-259	0	0	0	1	1.18082290416386e-278	0	0
mix_33	3.23177966107234e-286	0	0	0	0	0	4.68593567916591e-183	4.26409013134081e-230	1.39259725729367e-123	0	0	0	0	1.20379991009263e-292	1.33268295167991e-277	0	0	0	1	5.6800228920088e-289	0	0
mix_34	1.17328561620051e-281	0	0	0	0	0	1.04746989356243e-182	4.9005901402953e-219	9.45801361211502e-123	0	0	0	0	0	1.53967702214499e-269	0	0	0	1	0	0	0
mix_35	1.22603148231198e-273	0	0	0	6.07119385637674e-278	0	7.81054003386543e-176	1.83831361469347e-203	5.58406392290966e-109	0	0	0	0	2.69823343214943e-271	4.57176705801234e-268	0	0	0	1	1.3489980039249e-275	0	0
mix_36	3.90268104313405e-272	0	0	0	5.16888197853941e-277	0	1.04639218507889e-166	5.40343045166049e-200	3.31430874336014e-110	0	0	0	0	1.72146364028579e-271	8.75449890389398e-266	0	0	0	1	4.06519232351544e-277	0	0
mix_37	9.27142788287813e-276	0	0	0	0	0	9.4388862215449e-185	5.45884196024708e-213	1.61851997461986e-121	0	0	0	0	1.96080359378189e-286	1.12452163135521e-274	0	0	0	1	7.68406248343226e-282	0	0
mix_38	5.33289404305183e-275	0	0	0	0	0	2.52250100413368e-172	2.80007521468278e-223	2.24913594215295e-115	0	0	0	0	1.44014771975023e-282	7.60210907216823e-270	0	0	0	1	1.76829007382919e-281	0	0
mix_39	1.03397464056471e-279	0	0	0	4.63866506443057e-280	0	2.63750917257384e-194	3.67718825175202e-209	1.09900000270272e-108	0	0	0	0	1.2270324648461e-272	1.77051925142434e-269	0	0	0	1	4.7380704961385e-278	0	0
mix_40	2.41826157409029e-278	0	0	0	2.67765623515684e-280	0	7.47751020636812e-155	1.30637696277692e-212	6.09918941784363e-113	0	0	0	0	1.99106688325348e-277	1.94800787385819e-268	0	0	0	1	1.18401324810068e-275	0	0
mix_41	3.55977111722349e-274	0	0	0	0	0	2.26652154813243e-167	2.61002557478444e-201	1.22257851946256e-120	0	0	0	0	0	3.87424127439202e-268	0	0	0	1	1.62324456050315e-285	0	0
