Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	P-value	Correlation	RMSE
Mix_1	0.129679710618389	0.0225742576301185	0.0862966710339631	0.121800246262995	0.0392113394441448	0.0813133513184067	0	0.482238821885217	0.0368856018067661	9999	0.581786677086965	0.811675582852504
Mix_2	0.23286638068655	0	0.0329899919051056	0.0725193663224692	0.0249364559560738	0.068641781445758	0	0.558184000549213	0.00986202313483107	9999	0.651077824317683	0.765544856281553
Mix_3	0.117162091147265	0	0	0.0726102304554338	0.0905674665117424	0.21721636866702	0	0.402119823175465	0.100324020043074	9999	0.607124675729152	0.799744977784961
Mix_4	0.143739787002274	0	0.00893873979815312	0.0444103809356657	0.0345273040487155	0.108108375873891	0	0.535087801598365	0.125187610742936	9999	0.625757880716203	0.785825105842418
Mix_5	0.363625978166925	0.025167861652031	0.0125018561829918	0.0129096658653863	0.0542756714720171	0.085338045452906	0	0.340295078438546	0.105885842769197	9999	0.679656026935032	0.73821608148528
Mix_6	0.259445171115937	0.0168575442960871	0.0970570095528581	0.16978153528229	0.0666970030531907	0	0	0.253215753553678	0.136945983145959	9999	0.594907692038337	0.805535735007282
Mix_7	0.165761916341394	0	0.028743462558796	0.00633500990850438	0.0306513653745444	0.0966811527459959	0	0.521774656787577	0.150052436283188	9999	0.652197390996207	0.768162904673605
Mix_8	0.237527075437405	0	0.0656097713054554	0.0521974055721516	0	0	0	0.576804706492326	0.0678610411926618	9999	0.644456899942358	0.76804351482201
Mix_9	0.258257129289582	0	0.0254664193074132	0.0664702461879835	0.0329973556181167	0.065259021721515	0	0.485214059363727	0.0663357685116615	9999	0.65455850685679	0.761347615360732
Mix_10	0.317677990837942	0	0.0627992974413254	0.0910137586251454	0.0426021178651806	0.0243603714294671	0	0.352811271621638	0.108735192179302	9999	0.647110425932084	0.761797203093647
Mix_11	0.186482747230631	0	0.0282825903403754	0.025697791346955	0.0151101605402087	0.142919787005238	0	0.591349776002498	0.0101571475340937	9999	0.644242584786491	0.77943687694731
Mix_12	0.113492821695785	0	0.0277864667695998	0.115101442313475	0.0380433907799561	0.196677389020168	0	0.445916850194439	0.0629816392265772	9999	0.593975764709	0.806298122848904
Mix_13	0.342177442303488	0	0.050858155116754	0.0353103810238705	0.0499509091600878	0.0301873479776034	0	0.312025318072512	0.179490446345684	9999	0.669437949510809	0.744475755871728
Mix_14	0.12721294977985	0	0	0.0329625709081571	0.0466437013924275	0.215486870533735	0	0.489884850396456	0.0878090569893752	9999	0.625738924084671	0.79217736031897
Mix_15	0.144067201204736	0	0.046461361074076	0.0245489895563811	0	0.0574655191703427	0	0.648727855367605	0.0787290736268593	9999	0.633456664014941	0.781540697778389
Mix_16	0.243897352156617	0	0.0470357554087241	0.0521955656663673	0	0.00406373094773627	0	0.469489929471565	0.18331766634899	9999	0.648541622746324	0.76299711226072
Mix_17	0.164514777823711	0	0	0.0401495835467305	0.00555811196446156	0.118749207795989	0	0.57813021784154	0.0928981010275686	9999	0.644133818703303	0.775318745311851
Mix_18	0.147338996141402	0	0	0.0514609234273435	0	0.0979117576413337	0	0.660515775510778	0.0427725472791427	9999	0.643029129291663	0.776120566184406
Mix_19	0.0906122371430502	0.0249664489234439	0.0776030138379882	0.0944257466130107	0.0277906522987174	0.102856900187431	0	0.408519464665639	0.17322553633072	9999	0.570737405148879	0.819719934553691
Mix_20	0.270209709232523	0	0.0597270554836251	0.0833524225180571	0.0335294768671099	0.0071087758540413	0	0.45862048881709	0.0874520712275529	9999	0.651419100242667	0.759851216715103
Mix_21	0.249043989457566	0	0.093862114709825	0.0876602861584377	0.00778908845363812	0.0100342100651741	0	0.457300448502717	0.0943098626526428	9999	0.625742682545289	0.779326363187809
Mix_22	0.167573192918187	0	0.0609432101361124	0.131725805924525	0.0213151407846996	0.125176141776822	0	0.402390256652584	0.0908762518070696	9999	0.585492773298096	0.809144171984511
Mix_23	0.260045943241145	0.0315485718181647	0.0287956517348924	0.0632630772902615	0.0241937910713596	0.0582587575036692	0	0.512931885729124	0.0209623216113828	9999	0.662126324831517	0.756255092168166
Mix_24	0.0688262814765411	0	0.0113195510178336	0.082116620859285	0.00133812689405729	0.018226241955097	0	0.702129502666238	0.116043675130948	9999	0.619344883593866	0.786361139857373
Mix_25	0.28398927313165	0.0128615999279924	0.0213633692126478	0.0091186421515086	0.00672038834916452	0.106496360891794	0	0.411874279609563	0.14757608672568	9999	0.662029694767542	0.757640197541107
Mix_26	0.197667950074986	0	0.0240024582484854	0.0358614821970666	0	0.0358838360888777	0	0.469385384042425	0.237198889348159	9999	0.643406139010157	0.767986425695378
Mix_27	0.268754903496109	0	0.0780399737358763	0.0645448399544036	0	0	0	0.393296298639454	0.195363984174157	9999	0.639753067254675	0.768308049568207
Mix_28	0.220139598342232	0	0.0601982151201902	0.0970760328335434	0.0298103917787307	0.00945105146901858	0	0.509282156801641	0.0740425536546439	9999	0.635471909736156	0.772440176130234
Mix_29	0.247754613027558	0	0.0396039330052942	0.0183000240008465	0	0.00903526907285456	0	0.516567630626882	0.168738530266565	9999	0.662888653467243	0.753885953640777
Mix_30	0.209549815370079	0	0	0.0163205685761158	0.0752068743960171	0.0895369383443866	0	0.356302861405578	0.253082941907824	9999	0.634991956615316	0.774285346917424
Mix_31	0.266489551912667	0	0.0395183793663065	0.0514429086132588	0.010046568994644	0.0174726459394191	0	0.534913275441709	0.0801166697319949	9999	0.660139500507859	0.756075041449766
Mix_32	0.145987099617883	0	0	0.0820116087669843	0.00237016562291862	0.0425341555612671	0	0.652378751153242	0.0747182192777052	9999	0.636235350716107	0.775626101769044
Mix_33	0.125189972998935	0	0.00486316085427126	0.0807703157308463	0.00730881707572201	0.109840105297381	0	0.580351586597725	0.0916760414451195	9999	0.620109253642842	0.789141450158531
Mix_34	0.295609321668927	0	0.0748341445378086	0.123320542030844	0.0613622022060855	0	0	0.312668985542246	0.13220480401409	9999	0.638640975799685	0.767707448057622
Mix_35	0.192361941287278	0	0.0126507896386899	0.03992854662056	0.0506029957249142	0.0915567056392928	0	0.574196918983016	0.0387021021062495	9999	0.660807190461034	0.76232377269687
Mix_36	0.236503869178044	0	0.0326841180363169	0.0674532785514851	0.0267673034382921	0.00486862157324219	0	0.500181860061563	0.131540949161057	9999	0.651014717400682	0.761304383980375
Mix_37	0.135849365025244	0	0	0.0720882938852961	0.0666372959282861	0.249489451484324	0	0.389861271183746	0.0860743224931034	9999	0.601644669391416	0.80517127181991
Mix_38	0.0801159521677622	0	0.0612240908571692	0.072638933891543	0.0323478890221794	0.116330918816863	0	0.554473952622528	0.0828682626219545	9999	0.592444943383828	0.807401651914484
Mix_39	0.317709009749329	0.00250863369243042	0.100139085498832	0.0828527576748274	0	0	0	0.437030479558531	0.0597600338260507	9999	0.642175005014661	0.765872299514414
Mix_40	0.253852332524552	0	0.0320126779607807	0.0427548712905327	0.0533705459296759	0.10607797727612	0	0.319888042484215	0.192043552534123	9999	0.634910588294635	0.775021267375436
Mix_41	0.176922288620936	0	0.0360063113536917	0.0771978577104448	0.0675814869306797	0.0945337402287559	0	0.487951961904294	0.0598063532511972	9999	0.637193158733458	0.775595074600088
Mix_42	0.226560889117633	0	0.0281984355858608	0.0308434630198131	0	0	0	0.53418718662804	0.180210025648653	9999	0.658076098453805	0.756855578360536
Mix_43	0.294708764151527	0	0.065804755917095	0.10522556424111	0.0715691936286475	0.0182566122698112	0	0.293295506538098	0.151139603253711	9999	0.64005897399261	0.766781696965038
Mix_44	0.142711405551421	0	0.0118315495756496	0.105697987409529	0.0393135166183701	0.220548662527322	0	0.444927996730047	0.0349688815876608	9999	0.602078117119209	0.802956262458862
Mix_45	0.12556293247932	0.0181037232768877	0.0539273476079703	0.0763222277249871	0.0249244565163	0	0	0.438659042997076	0.262500269397458	9999	0.605966734674959	0.794013054400059
Mix_46	0.242462367205156	0	0.0520551020345231	0.0448660205047789	0	0	0	0.438814901424537	0.221801608831005	9999	0.647297603308153	0.763363092983571
Mix_47	0.216078417133268	0	0.07950046607183	0.130508836179904	0.065371403731426	0	0	0.407486861858007	0.101054015025564	9999	0.611141661791157	0.789614451305406
Mix_48	0.225386569433632	0	0.0518591438752602	0.0392446998588108	0	0.0797613918822972	0	0.535304395537774	0.0684437994122258	9999	0.64685436517416	0.77100584583061
Mix_49	0.122108966129418	0	0	0.0339568016052259	0.0970552956798924	0.235625594012618	0	0.469907794836603	0.0413455477362422	9999	0.639689739144855	0.783991099422364
Mix_50	0.126829205193397	0	0.018071735043678	0.0670387119370745	0.00304874024736276	0.0529509810659424	0	0.590424598366891	0.141636028145654	9999	0.622725147204465	0.785096926191249
Mix_51	0.226049385261721	0	0.0475987726218776	0.0534421722456056	0	0.030398429710869	0	0.575626783990583	0.0668844561693434	9999	0.641164132190268	0.771935772939116
Mix_52	0.114804952416596	0	0	0.0628564276920238	0.0156370531290636	0.217909856353663	0	0.472891550160215	0.115900160248439	9999	0.598311986639088	0.80764563355925
Mix_53	0.224212190035483	0.00472689192694524	0.0842436168867914	0.0758598870195238	0.022122878138406	0	0	0.471855526727499	0.116979009265351	9999	0.638803248565033	0.770019072443632
