naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell
Mix_88	0.0718	0	0	0.0953	0	0	0	0.2045	0.6285
Mix_89	0	0	0	0.1845	0.0597	0.0162	0	0.1211	0.6185
Mix_90	0.0659	0	0	0.0452	0.1318	0.1289	0	0	0.6281
Mix_91	0.2982	0	0	0.1109	0.0048	0	0	0.0214	0.5647
Mix_92	0.0979	0	0	0.1512	0.1225	0.0467	0	0.0082	0.5736
Mix_93	0	0	0	0.1292	0	0	0	0.4671	0.4037
Mix_94	0.1127	0	0	0.1071	0	0	0	0.1975	0.5827
Mix_95	0.0178	0	0	0.0866	0.0411	0	0	0.1905	0.664
Mix_96	0	0	0	0.0794	0	0	0	0.2128	0.7078
Mix_97	0.1247	0	0	0.2175	0.0776	0	0	0	0.5803
Mix_98	0.2024	0	0.0788	0.2771	0	0	0	0.2884	0.1533
Mix_99	0	0	0	0	0	0	0	0.3256	0.6744
Mix_100	0.0904	0	0	0.2384	0.0576	0	0	0.1795	0.4341
