CD14,CD19B,CD4HelperT,CD4MemoryT,CD4NaiveT,CD4RegulatoryT,CD56NK,CD8CytotoxicT,CD8NaiveT
mix_1,0.266522689700679,0.089458540865523,0,0,0,0,0.644018769433799,0,0
mix_2,0.306063639685286,0.0542251274871542,0,0,0,0,0.639711232827559,0,0
mix_3,0,0.24956416507719,0,0,0,0,0.575049392175052,0.175386442747756,0
mix_4,0.0917271275326232,0.273320640681488,0,0,0,0,0.604224633831071,0.0307275979548175,0
mix_5,0.0725928938336317,0.252918415600697,0,0,0,0,0.614517442527577,0.0599712480380947,0
mix_6,0.158821535196855,0.222987447991115,0,0,0,0,0.618191016812031,0,0
mix_7,0.0202510773298912,0.335477310596336,0,0,0,0,0.597609000693495,0.0466626113802783,0
mix_8,0.19918307984385,0.211039924035501,0,0,0,0,0.589776996120647,0,0
mix_9,0.177272615104617,0.176869843725075,0,0,0,0,0.645857541170308,0,0
mix_10,0.041708608631134,0.364653582641157,0,0,0,0,0.580058364009892,0.0135794447178165,0
mix_11,0.295599086821824,0.0695706899039543,0,0,0,0,0.634830223274221,0,0
mix_12,0.227491562612162,0.13074013261193,0,0,0,0,0.641768304775907,0,0
mix_13,0.0234813973612024,0.378784826423456,0,0,0,0,0.597733776215342,0,0
mix_14,0.0344721729608581,0.382915553498479,0,0,0,0,0.582612273540663,0,0
mix_15,0,0.338292997130831,0,0,0,0,0.627162165151763,0.0345448377174064,0
mix_16,0.0346913295630449,0.271928540549926,0,0,0,0,0.587684722384033,0.105695407502996,0
mix_17,0,0.436292274632579,0,0,0,0,0.531575443674246,0.0321322816931751,0
mix_18,0.322654196968172,0.0613236749816614,0,0,0,0,0.616022128050165,0,0
mix_19,0.15398430808932,0.239900936832801,0,0,0,0,0.606114755077879,0,0
mix_20,0,0.187866225572896,0,0,0,0,0.564227288085948,0.247906486341155,0
mix_21,0.0245636447076162,0.307128107528177,0,0,0,0,0.583068531225061,0.0852397165391451,0
mix_22,0.138656172068487,0.241778806016635,0,0,0,0,0.619565021914878,0,0
mix_23,0.1372468281397,0.273757932949127,0,0,0,0,0.588995238911172,0,0
mix_24,0.342094615487199,0.0256022398745216,0,0,0,0,0.632303144638279,0,0
mix_25,0.143649387757506,0.195735146474971,0,0,0,0,0.602123353796296,0.0584921119712283,0
mix_26,0,0.146401715877835,0,0,0,0,0.612454386985725,0.241143897136439,0
mix_27,0.277559591933105,0.114514280845476,0,0,0,0,0.607926127221418,0,0
mix_28,0,0.22285098252576,0,0,0,0,0.575226053130541,0.201922964343698,0
mix_29,0.15037356820837,0.223839297113903,0,0,0,0,0.625787134677726,0,0
mix_30,0.136721018817533,0.24628177904239,0,0,0,0,0.616997202140078,0,0
mix_31,0.154286010533789,0.22757124914778,0,0,0,0,0.618142740318431,0,0
mix_32,0.0818994454969146,0.251395101850453,0,0,0,0,0.60293973764086,0.0637657150117728,0
mix_33,0.174854362253372,0.214403407447372,0,0,0,0,0.610742230299255,0,0
mix_34,0.279460891570671,0.0786766157643892,0,0,0,0,0.64186249266494,0,0
mix_35,0.18446906915936,0.186433986924469,0,0,0,0,0.62909694391617,0,0
mix_36,0.0206365754100713,0.332158700948186,0,0,0,0,0.584970330150105,0.0622343934916377,0
mix_37,0.0338253317745552,0.326323022821907,0,0,0,0,0.582034025215286,0.0578176201882521,0
mix_38,0,0.200122794987464,0,0,0,0,0.592213168778023,0.207664036234514,0
mix_39,0,0.347304932838392,0,0,0,0,0.605364867419533,0.0473301997420749,0
mix_40,0.159659150656781,0.231549212196985,0,0,0,0,0.608791637146234,0,0
mix_41,0.233497524570611,0.121755027431389,0,0,0,0,0.644747447997998,0,0
mix_42,0,0.313728419347221,0,0,0,0,0.567859118417324,0.118412462235456,0
mix_43,0.0710152304126822,0.170592667259165,0,0,0,0,0.619069017092358,0.139323085235794,0
mix_44,0.0288272994711907,0.207421149542082,0,0,0,0,0.604060482625308,0.159691068361419,0
mix_45,0.119909149684479,0.177491952405834,0,0,0,0,0.592898418492004,0.109700479417682,0
mix_46,0,0.247733006094544,0,0,0,0,0.588778375769203,0.163488618136253,0
mix_47,0.158670732212667,0.237763339296056,0,0,0,0,0.603565928491277,0,0
mix_48,0.295927521884843,0.0908603522121432,0,0,0,0,0.613212125903013,0,0
mix_49,0.203445737575621,0.175843053938965,0,0,0,0,0.620711208485414,0,0
mix_50,0,0.291741658029327,0,0,0,0,0.560264623187048,0.147993718783625,0
mix_51,0.237049758686103,0.143192342838433,0,0,0,0,0.619757898475463,0,0
mix_52,0,0.355342403586015,0,0,0,0,0.591693396203737,0.052964200210248,0
