Symbol,CD14,CD19B,CD4HelperT,CD4MemoryT,CD4NaiveT,CD4RegulatoryT,CD56NK,CD8CytotoxicT,CD8NaiveT
A,6.65782,6.85543757587,7.62033014076,6.53542877758,6.3295,5.66975212698,7.04193524516,6.50227475315,6.5256
B,6.56301434103,6.85172,7.51296047891,6.54332196466,6.32056370424,5.78488,7.06593527559,6.45679596458,6.44125364147
C,6.06322257883,6.6266996703,7.76072319807,6.71884586778,6.54287009764,5.91818,7.02994111928,6.7305585582,6.65980039902
D,5.9793,6.6889,7.74989897709,6.71291330205,6.63929219292,5.96326,7.03645197185,6.68582983008,6.68538321413
E,6.26442,6.66348504565,7.68317137459,6.57138275509,6.52936,5.62748,7.10992236326,6.68051177783,6.76547818201
F,6.3515,6.6441649404,7.51722,6.51004036647,6.25541246132,5.65174,7.20429553259,6.52928,6.53315004333
G,6.90732928227,6.93934986643,7.50140655677,6.57617370107,6.21735041085,5.9216570864,6.96492,6.47194300279,6.40182
H,7.08714,6.73009657156,7.47710281807,6.4262,6.1027008365,5.66370257756,6.98634898935,6.35852879449,6.4062261214
I,7.0239,6.80845671401,7.49194285992,6.47554,6.0213032471,5.45372,6.99606,6.38852713458,6.35266893271
J,6.11237155592,6.59504,7.81158799222,6.7604,6.68442,5.85588,7.01054783287,6.73579155888,6.69744524685
K,5.90166,6.48294504692,7.74723464494,6.77015375687,6.41408416434,5.95272856243,7.04496,6.6973,6.85258
L,6.06842,6.57303727492,7.79247445769,6.8429,6.53007938625,6.00696,7.0579455216,6.6038,6.60919757503
