Mixture	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	P-value	Correlation	RMSE
mix_1	0	0.167672703695596	0.533589029837575	0.119315285968295	0.0762207482167743	0.10320223228176	9999	0.417276351386981	1.05726212463873
mix_2	0	0.194723244316771	0.407271671624972	0.244285341932196	0.0926484498916842	0.0610712922343765	9999	0.417056322923259	1.06172855668122
mix_3	0	0.196517232260497	0.22262633746098	0.172692676149133	0.303483020960584	0.104680733168806	9999	0.43851303121119	1.01407866710547
mix_4	0	0.314449076002583	0.46353699234362	0.00599425699480624	0.133646524461281	0.0823731501977099	9999	0.434815432709988	1.01874115005536
mix_5	0	0.234274513347597	0.407940665453508	0.0157366728989241	0.256153454925121	0.0858946933748487	9999	0.436793213473582	1.0133152854511
mix_6	0	0.295611841890596	0.465541154865906	0.0214924705187988	0.140419936452461	0.0769345962722387	9999	0.434321767698352	1.02143291170872
mix_7	0	0.217223406493239	0.335806915650158	0.0693862809558417	0.297767351512834	0.0798160453879275	9999	0.439144939599697	1.01138095118655
mix_8	0	0.158825647357517	0.383148772280657	0.157734736116522	0.220868295461385	0.0794225487839195	9999	0.419835434917028	1.04495258161621
mix_9	0	0.292857983836266	0.549000691505815	0.00686674097484767	0.0691009024100667	0.0821736812730052	9999	0.428897610896542	1.03370402816722
mix_10	0	0.399813060713173	0.290824182902481	0.0751826838471628	0.111675893458823	0.12250417907836	9999	0.449267740656128	0.995346975825942
mix_11	0	0.212724447787239	0.565424095695772	0.11039881891701	0.00940515599124358	0.102047481608736	9999	0.416810672872982	1.06007282073002
mix_12	0	0.290225997284923	0.373890883658852	0.0269609710237133	0.218921391029107	0.0900007570034037	9999	0.439250958166096	1.00828467646647
mix_13	0	0.395074677945437	0.330879202427255	0.12683422634547	0.0522944271122773	0.0949174661695606	9999	0.435072357612298	1.01862082364788
mix_14	0	0.374551797191225	0.451984091799816	0.019031984998136	0.042499919752465	0.111932206258358	9999	0.440157168490275	1.01381820580673
mix_15	0	0.215410194549414	0.391244877634815	0.119333366992482	0.19210787077051	0.0819036900527783	9999	0.425971234506301	1.03405686476641
mix_16	0	0.171589516516062	0.177059628059584	0.197657936761922	0.382407688308065	0.0712852303543667	9999	0.435926712409153	1.01833611674174
mix_17	0	0.200096811594244	0.167021287733432	0.198307545820847	0.364999802772625	0.069574552078852	9999	0.437588109692113	1.01519318778984
mix_18	0	0.458158050312924	0.209600681140415	0.167741698332357	0.047999028105942	0.116500542108362	9999	0.448260538076507	0.999035846319124
mix_19	0	0.165609279237431	0.252038913895158	0.204359056605857	0.276053947045442	0.101938803216111	9999	0.428505174284121	1.03026281126717
mix_20	0	0.283826202916053	0.433642880277945	0.153972438089167	0.0645589070196747	0.0639995716971599	9999	0.423496921054579	1.04498006005615
mix_21	0	0.281869628672116	0.230822983138938	0.154270049437277	0.255844905050841	0.0771924337008277	9999	0.438233029532344	1.01159267045457
mix_22	0	0.300500440405255	0.487514877423084	0.0094262724038965	0.0818135009473711	0.120744908820394	9999	0.434126674236229	1.02173492116186
mix_23	0	0.318556044956111	0.453462019286784	0.110752450941411	0.0194662514891618	0.0977632333265322	9999	0.429750020948339	1.03491999289677
mix_24	0	0.264020610365992	0.347854357922305	0.0568131815756184	0.256443745091659	0.0748681050444269	9999	0.437609838520816	1.0115869997242
mix_25	0	0.344051780600328	0.468798218241217	0.051730972668767	0.052994121406167	0.0824249070835213	9999	0.432956784971359	1.02649860464917
mix_26	0	0.300585186294066	0.192020479197226	0.154280405923588	0.254777463393366	0.0983364651917548	9999	0.442311563061059	1.00360442066864
mix_27	0	0.222207441055807	0.562806105222555	0.0699323172562843	0.0537403124646634	0.0913138240006907	9999	0.419308041824155	1.05206242959852
mix_28	0	0.270940357770076	0.445704094258825	0.0662893921252649	0.133590035578082	0.0834761202677513	9999	0.430392421142986	1.02828059359202
mix_29	0	0.192216137991429	0.539147013930479	0.102340859813665	0.0692056938744091	0.0970902943900183	9999	0.418725174984109	1.05419869304044
mix_30	0	0.327620638967796	0.453677033684149	0.032386608622362	0.0925705372777275	0.0937451814479661	9999	0.434468324750863	1.02086283118636
mix_31	0	0.330743365397349	0.381538695854334	0.0966675793699681	0.0913892908404424	0.0996610685379061	9999	0.434906742129207	1.02046622375976
mix_32	0	0.412502172718785	0.436907929057593	0.00568177271968362	0.0183014183100942	0.126606707193844	9999	0.44291312443129	1.00825257128531
mix_33	0	0.4024934182406	0.257201177242534	0.122001401291818	0.101789391494158	0.116514611730889	9999	0.445942135963272	1.00051175483958
mix_34	0	0.335697906504079	0.163885144272918	0.209216745207505	0.166934234446841	0.124265969568657	9999	0.442653144963118	1.00582576849543
mix_35	0	0.291633488378317	0.443622913012402	0.0202447807301044	0.147238854042105	0.0972599638370711	9999	0.435373146914532	1.01760548994125
mix_36	0	0.309125060197085	0.376874207165185	0.0289614112456734	0.171887068424734	0.113152252967323	9999	0.441497135444012	1.00603932116049
mix_37	0	0.197647730324106	0.26799180119584	0.159726237243583	0.297770677614419	0.0768635536220509	9999	0.433640347286033	1.02165413891961
mix_38	0	0.181931876109766	0.344268125186442	0.131760458965773	0.247914017354716	0.0941255223833023	9999	0.428618204350922	1.02909086709776
mix_39	0	0.280798155719223	0.449805323177445	0.0745103170828072	0.113425826145134	0.0814603778753909	9999	0.429830229328664	1.03022365961491
mix_40	0	0.343088148558102	0.371723664723041	0.0163236234457536	0.159125357322636	0.109739205950468	9999	0.444538147756713	1.00126645101682
mix_41	0	0.302975090738898	0.221648747528438	0.151929182241327	0.208809376927934	0.114637602563403	9999	0.441254659531107	1.00616509650511
mix_42	0	0.472128445681031	0.394715083786217	0.018875601932979	0.0166531644102857	0.0976277041894866	9999	0.445848406929881	1.00323194550052
mix_43	0	0.353035970002613	0.22921903056555	0.129756391120856	0.172910707419558	0.115077900891423	9999	0.447456440687021	0.997964013241189
mix_44	0	0.272430855717751	0.4747500098861	0.140773536068442	0.0213471757731106	0.0906984225545959	9999	0.422510811942599	1.04820025428597
mix_45	0	0.229226287416861	0.443995495889681	0.0541637526579703	0.181431318687532	0.0911831453479545	9999	0.426940191433663	1.02994671036343
mix_46	0	0.328736858276293	0.282606451972844	0.087410999254652	0.169172665331159	0.132073025165052	9999	0.446879538727954	0.998434844204693
mix_47	0	0.0989425722564893	0.0493441690429858	0.37471881287884	0.437846146982988	0.039148298838697	9999	0.426768456110413	1.04533087236566
mix_48	0	0.448644706044404	0.305525346484926	0.0870530616829217	0.0396179219704098	0.119158963817339	9999	0.44813455608278	0.999212146393847
mix_49	0	0.354645151477939	0.432159120181169	0.00198159265619696	0.0544286650782617	0.156785470606434	9999	0.441324775998368	1.00827272390059
mix_50	0	0.287495270991925	0.463945738493558	0.021335753275335	0.132576765183668	0.0946464720555134	9999	0.431281574918964	1.0235952579197
mix_51	0	0.270312347794926	0.17980701884095	0.154804248524733	0.295510110684301	0.0995662741550903	9999	0.446207124721003	0.999960557108651
mix_52	0	0.306391257679159	0.235253690166865	0.156756556147789	0.193772318872019	0.107826177134169	9999	0.44102191401003	1.00822744910585
mix_53	0	0.366898871813038	0.249434415230046	0.187554853076479	0.0921093899194978	0.104002469960939	9999	0.442770431143176	1.01095129991922
mix_54	0	0.340744527355184	0.349873719965111	0.066732914508673	0.14946975646014	0.0931790817108921	9999	0.441359244298005	1.00801222262753
mix_55	0	0.372096583919646	0.21705454778843	0.158804497862958	0.155186266135693	0.096858104293273	9999	0.442564883352112	1.00478753577302
mix_56	0	0.356110626956041	0.416976487038761	0.0286372664489121	0.0840646653251585	0.114210954231127	9999	0.440086561758233	1.01111802099924
mix_57	0	0.271581927576303	0.538897047886243	0.005533084965388	0.0920458237293007	0.0919421158427659	9999	0.429203999654339	1.0318992555668
mix_58	0	0.23292602503839	0.395159131722315	0.0962883584156158	0.19378604670939	0.0818404381142892	9999	0.429000610858954	1.02858304683582
mix_59	0	0.283659763728852	0.239163359665631	0.142091227044505	0.223929863169095	0.111155786391917	9999	0.444465071411771	1.00413095165473
mix_60	0	0.365771119149286	0.290835384897677	0.128216850881348	0.120858667522184	0.0943179775495046	9999	0.442694300134367	1.00806429715489
mix_61	0	0.301907049544108	0.35829674848268	0.0235953923666507	0.219286111269043	0.0969146983375174	9999	0.442622908808316	1.00315404424087
mix_62	0	0.217976926975338	0.276553725240155	0.135553048222368	0.270478018136017	0.0994382814261227	9999	0.43598852709282	1.01597353857799
mix_63	0	0.26911533422116	0.402492582424554	0.0533427715318016	0.185432886027864	0.0896164257946205	9999	0.433633203100704	1.01928268681176
mix_64	0	0.139549220777203	0.0873490908648443	0.317961589424322	0.400964758238499	0.0541753406951321	9999	0.430703195162074	1.03374598124774
mix_65	0	0.268780410647701	0.228057943420087	0.169181131433196	0.222997096910807	0.11098341758821	9999	0.439719002716598	1.01088173847247
mix_66	0	0.305444957049852	0.314738263759848	0.159831347712281	0.108149818762683	0.111835612715336	9999	0.438591307801249	1.01810338395372
