Gene,Bcells,Monocytes,NKcells,Neutrophils,CD4_Tcells,CD8_Tcells
mix_1,4516.5625,12427.2546,3557.1883,17899.12,43314.3698,1137.9043
mix_2,4538.6669,13284.0118,3195.8211,18746.4751,41787.0558,1050.2913
mix_3,5354.045,8131.2765,3821.5225,11293.0015,50785.634,1760.893
mix_4,5580.0881,9872.2912,3597.7348,13465.3216,48517.3148,1465.2814
mix_5,5182.5893,9616.2447,3926.2391,13229.393,48754.3084,1538.3846
mix_6,5087.5724,10823.9118,3464.9443,15117.2021,46640.609,1362.243
mix_7,6236.4454,8555.7912,3822.3448,12269.3474,49702.093,1572.1624
mix_8,6090.3343,11298.021,3053.7505,15767.0773,45420.515,1219.267
mix_9,4568.1514,11216.3654,3731.2648,15818.5447,45990.7842,1300.1931
mix_10,6563.5394,8879.5809,3282.1714,12393.7119,49352.0562,1562.9343
mix_11,4716.351,13027.466,3274.9736,18525.2003,42282.4138,1073.5916
mix_12,4300.3103,11871.3991,3237.042,16889.4115,44675.4386,1254.6317
mix_13,7011.1157,8609.5188,3846.0074,12349.5694,49319.558,1489.0773
mix_14,6834.6529,8777.2107,3354.0165,12295.3178,49402.5066,1568.802
mix_15,6333.5106,7754.9711,4524.7545,12086.6897,49797.8412,1616.3521
mix_16,5403.9436,8950.7907,3573.243,12590.6659,49816.5514,1593.0479
mix_17,8004.4319,6517.9589,3693.0739,8971.4888,51221.7158,1903.0745
mix_18,4889.6594,13390.8637,3043.7478,18886.1772,41334.7314,1006.2529
mix_19,5667.4015,10651.5916,3395.9475,14915.2164,46648.8564,1360.7636
mix_20,4830.2489,6643.1865,4259.2457,10243.3665,51474.6878,2053.7443
mix_21,5848.8744,8691.0134,3529.308,12190.4596,49869.0524,1651.6901
mix_22,5971.1087,10481.7691,3737.9729,14903.1237,46528.6142,1321.7009
mix_23,6200.5152,10530.7551,3232.4943,14199.757,47124.3128,1332.6028
mix_24,4639.9109,13928.8626,3291.4295,19540.2997,40359.3416,925.6072
mix_25,4480.8801,10724.3442,3233.8967,14446.7061,47619.4324,1453.9893
mix_26,4291.5541,7180.153,5001.9503,11134.5027,50797.7749,1849.4235
mix_27,6672.5787,12612.5531,3466.0657,18189.8917,41498.47,996.9581
mix_28,5453.8016,6933.1976,4216.2083,10310.0501,51191.2918,1968.7573
mix_29,5010.5689,10686.678,3638.7165,14995.0278,46954.366,1360.1576
mix_30,5274.5625,10533.9681,3519.2039,14570.4028,47274.0136,1390.4618
mix_31,5000.8791,10761.1442,3369.209,14869.8577,47076.5082,1351.6217
mix_32,5222.3956,9790.6078,3653.3165,13289.7817,48739.279,1514.4525
mix_33,5520.592,11124.4621,3415.9048,15378.9242,46115.9146,1263.9981
mix_34,4464.3152,12785.3301,3366.6565,18121.2453,43056.5604,1108.1947
mix_35,4877.3503,11250.4811,3473.824,15836.4895,45723.7884,1329.5721
mix_36,6333.7686,8583.8542,3575.4046,12098.8064,49943.8198,1558.7741
mix_37,6152.3025,8853.2066,3410.2671,12355.9735,49747.2678,1540.9951
mix_38,4809.0017,7750.6178,4435.9506,11236.6023,50829.1962,1788.509
mix_39,6498.9025,7880.3116,4250.2049,11495.5659,50080.0134,1652.9171
mix_40,5521.9444,10870.3516,3312.4024,14950.9951,46689.8124,1296.4652
mix_41,4649.2652,12066.4965,3471.6513,17194.9285,44141.385,1190.8864
mix_42,6559.203,7242.438,3954.4097,10084.9236,50896.6494,1852.038
mix_43,4133.3441,9675.3817,4159.754,13318.5168,48965.652,1583.169
mix_44,4546.5088,8935.7004,4030.0319,12691.774,49966.4684,1595.3129
mix_45,4236.4096,10462.9232,3286.0646,13942.0764,48316.0744,1506.8329
mix_46,5193.4487,8045.1597,4075.53,11477.4141,50445.7312,1817.1642
mix_47,5555.8815,10820.9035,3240.8142,14831.2392,46737.2131,1325.1625
mix_48,6601.303,12993.0338,3507.3441,18749.8567,40827.5246,935.1397
mix_49,5873.6794,11348.7636,3567.9331,16415.2471,44580.529,1199.0697
mix_50,5977.0849,7958.9314,3501.5547,10872.61,50826.616,1795.7795
mix_51,6252.9304,12058.1687,3524.3833,17393.8108,42977.6976,1049.9287
mix_52,6981.7932,7457.9088,4166.3937,10737.171,50447.7606,1700.2884
mix_53,6051.4721,11534.6639,3450.4575,16476.5668,44410.777,1155.3261
mix_54,6434.676,6896.7528,3795.0131,10202.5542,51387.2382,1934.479
mix_55,5848.2762,11416.9558,3432.4437,16363.2888,44682.301,1190.0723
mix_56,4983.734,9105.2158,3320.8046,12689.8764,49901.422,1626.0432
mix_57,4269.3585,11342.0472,3611.8433,16078.0384,45947.4218,1298.8011
mix_58,5259.7854,8992.6065,3914.6644,12969.9219,49492.2288,1541.0724
mix_59,4352.7811,11789.4531,3457.5352,16996.2731,44466.6428,1262.5762
mix_60,6238.808,9379.0002,3209.4757,13317.232,48716.009,1469.3345
mix_61,5923.7215,7061.9619,3729.0064,9541.7502,51599.6766,1936.556
mix_62,5643.4273,7711.247,4160.378,10883.249,50917.2525,1745.3835
mix_63,4486.5304,11495.992,3365.162,16278.6074,45487.129,1272.8208
mix_64,5696.6578,11146.6658,3096.3906,15308.0232,46185.0528,1273.3244
mix_65,5165.7173,9929.8632,4228.0133,14308.9156,47838.2238,1381.5201
mix_66,6130.238,12127.8569,3520.5527,17417.672,42935.4744,1064.085
mix_67,6434.1225,7456.3105,4296.8328,10750.9044,50452.7218,1748.7103
mix_68,4568.7338,7946.8039,4442.358,12152.8761,50231.804,1765.3736
mix_69,5598.6566,11269.5015,3138.6733,15590.5211,45874.5712,1255.6896
mix_70,7506.3999,10786.5564,4305.7266,16247.6984,43740.3018,1075.5062
mix_71,6567.9555,12445.4338,2999.2994,17847.1522,42238.3692,1046.1362
mix_72,7752.1547,7900.4338,3478.0515,10981.6186,50134.8864,1604.5752
mix_73,6729.3615,9643.6281,4060.1944,13697.8028,47373.3098,1368.1685
mix_74,5890.7536,10205.9358,3546.74,14073.2077,47684.7186,1355.3007
mix_75,6006.6423,12517.7056,3331.0008,17824.2897,42631.021,1036.0456
mix_76,4496.2971,8940.3122,4047.048,12804.0001,49813.7572,1637.0922
mix_77,4799.8268,7169.5409,4180.3457,10620.544,51188.535,1993.0817
mix_78,5466.6366,11410.6692,3453.5813,16423.948,44779.8518,1230.3954
mix_79,4629.8325,11922.693,3190.1388,16887.5121,44665.3712,1219.3617
mix_80,6085.7871,8875.6012,3324.8622,12284.1395,49686.2908,1612.9697
mix_81,5040.4312,8906.1825,3413.1416,12194.4241,50163.4836,1680.4971
mix_82,5744.4032,10787.3932,3323.2602,14949.9142,46434.8034,1348.8441
mix_83,5656.8542,12283.8801,3326.6104,17379.8448,43375.8082,1089.3577
mix_84,5410.2706,9210.9631,3365.802,12831.4871,49588.6002,1568.8248
mix_85,4987.8901,9118.4349,3392.4702,12764.7419,49744.36,1626.6143
mix_86,4579.7258,8148.403,4053.7013,11488.365,50751.5298,1788.4314
mix_87,4782.416,10418.8978,3221.18,13899.866,48181.8078,1478.9274
mix_88,5384.1523,8721.9892,3876.4381,12427.0383,49874.834,1611.5097
mix_89,5211.4634,7801.6207,3965.9358,10926.1877,50888.4578,1857.0929
mix_90,4693.8544,10751.3451,3243.4895,14608.8254,47368.0444,1430.1415
mix_91,5601.6543,12043.0419,3543.6994,17392.1881,43409.7092,1097.268
mix_92,5253.0852,10672.7177,3267.6843,14503.2392,47260.8624,1375.5253
mix_93,4846.6732,14075.9349,3045.6227,19520.0461,40153.8018,902.2881
mix_94,4361.3604,12949.3848,3616.8706,18761.2108,42147.1074,1086.6787
mix_95,6330.1306,11914.7675,3686.4162,17489.5903,42926.8688,1074.6507
mix_96,5840.3152,11679.5798,4034.7511,17086.9334,43567.3338,1111.414
mix_97,5126.851,11280.3837,3310.1928,15833.3175,45682.2812,1302.0538
mix_98,5584.7241,11001.2663,3229.8925,15022.4029,46506.0592,1292.4183
mix_99,4907.7164,6704.9691,3937.7261,9393.663,51890.477,2084.3448
mix_100,5316.1336,10377.271,3332.4975,14088.4307,47885.9416,1414.503
