ID,B cells naive,B cells memory,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated
S10001,6.31401290323,6.11577692308,6.60143181818,7.34961538462,4.8224,6.31363333333,6.4275,5.87813823529,5.97790434783,5.71675,5.09612380952
S10006,6.50520645161,6.17764615385,6.38561363636,7.12589230769,5.01539230769,6.32673333333,6.50811333333,5.76871176471,6.00486086957,5.885825,5.1744047619
S1001,6.26079354839,6.19537692308,6.39420909091,7.09788461538,4.90478461538,6.55388333333,6.4287,5.83386470588,6.08683043478,5.78804,5.06114761905
S10010,6.01736129032,5.962,6.33499090909,7.13447692308,4.78957692308,6.55791666667,6.53775333333,5.87608235294,6.12598695652,5.7386,4.97198095238
S10011,6.26296451613,6.19912307692,6.55064090909,7.21399230769,4.85016153846,6.58476666667,6.49662666667,5.95527941176,5.96151304348,5.67187,4.99209047619
S10014,6.26427419355,6.06714615385,6.32277727273,7.13232307692,4.97777692308,6.4173,6.4354,5.88780294118,5.98166086957,5.81366,5.32021904762
S10026,6.3701483871,6.33325384615,6.37923636364,7.30451538462,4.85565384615,6.40421666667,6.52246,5.77435294118,6.20777826087,5.859605,5.14721904762
S10032,6.58476129032,6.44696923077,6.35965454545,7.16746153846,4.90186153846,6.35508333333,6.50892,6.12026764706,6.15926521739,5.850425,5.03047142857
S10036,6.05726451613,6.0661,6.31674090909,6.98521538462,4.77935384615,6.2858,6.40734666667,5.70682352941,6.08285652174,5.86353,5.2406
S10042,6.45161612903,6.35303076923,6.45347272727,7.35633076923,4.99155384615,6.62408333333,6.50226,6.04005294118,6.18470434783,6.213485,5.24291428571
S10044,6.46446774194,6.37195384615,6.52513181818,7.46818461538,5.05954615385,6.61046666667,6.53191333333,5.92096470588,6.18569130435,6.118405,5.19912380952
S10049,6.57409677419,6.34319230769,6.46656363636,7.57390769231,4.9093,6.75325,6.41414,5.82299411765,6.10214347826,5.822375,5.13638095238
S10057,6.05856129032,6.19392307692,6.34985909091,7.13082307692,5.08875384615,6.2856,6.43275333333,5.76114705882,5.9385173913,5.762735,5.1463047619
S10062,6.37595483871,6.30008461538,6.52103181818,7.45596153846,5.00607692308,6.76173333333,6.51650666667,5.95451176471,6.23396086957,5.82198,5.08811904762
S10066,6.08636451613,6.06778461538,6.53257272727,7.30916153846,4.92703076923,6.3665,6.48423333333,6.11558823529,6.05685652174,6.18367,5.11067142857
S10067,6.36907096774,6.22511538462,6.49942727273,7.56910769231,4.82416923077,6.75041666667,6.35506,5.86952941176,6.01735652174,5.734965,5.03043333333
S1007,6.55053548387,6.09291538462,6.41296818182,7.10211538462,4.91785384615,6.382,6.39779333333,5.79010882353,6.10499130435,5.742785,5.17103333333
