ID,Chondrocyte.articular,B.cell.naive,B.cell.memory,Monocyte.CD14,NK.cell.CD56,Endothelial.large.blood.vessel,Endothelial.microvascular.mammary.or.endometrial,Endothelial.microvascular.non.reproductive,Epithelial.cell.mammary,Epithelial.renal.cortical,Epithelial.respiratory,Fibroblast.cardiac.ventricle,Fibroblast.of.arm,Fibroblast.of.lung,Fibroblast.of.the.aortic.adventitia,Fibroblast.or.papilla.dermal.cell,Hair.follicular.keratinocyte,Macrophage,Mature.neutrophil,Melanocyte.of.skin,Myometrial.cell,Osteoblast,MSC.like.pluripotent.cell,Myocyte.regular.cardiac,Smooth.muscle.cell.aortic,Smooth.muscle.cell.bronchial,Smooth.muscle.cell.of.bladder,Smooth.muscle.cell.coronary.artery,Smooth.muscle.cell.pulmonary.artery,Smooth.muscle.cell.of.trachea,Smooth.muscle.cell.uterine,T.Cell.CD4,T.cell.CD4.memory,T.cell.CD8.memory
S10001,6.241876,6.419002,6.551606,6.521018,6.6785,5.765826,6.49169,6.323774,6.311066,6.321702,5.938026,6.360064,6.682952,5.848786,6.338072,6.35413,6.515326,6.41633,7.195978,6.687358,6.380864,6.04334,6.222058,5.971832,6.467898,6.354998,5.895996,6.54848,6.385594,6.368584,5.666834,6.41105,6.74701,6.623702
S10006,6.516608,6.475324,6.536548,6.486222,6.631288,5.824626,6.428372,6.28719,6.27154,6.501254,6.137748,6.321002,6.864102,5.957384,6.68092,6.170312,6.479308,6.409782,7.156782,6.746554,6.320858,6.105628,6.20974,6.170118,6.621676,6.482364,6.034404,6.533896,6.251352,6.266714,5.910152,6.63405,6.815162,6.660146
S1001,6.595528,6.586682,6.403492,6.581304,6.674134,5.872286,6.450822,6.340952,6.273562,6.627798,6.187792,6.194296,7.030218,6.064704,6.801976,6.190776,6.485744,6.492474,7.106952,6.803702,6.42126,6.089076,6.278942,6.230614,6.679842,6.557184,6.118876,6.600818,6.214206,6.332444,5.939468,6.710786,6.89549,6.713542
S10010,6.377672,6.474508,6.44128,6.731348,6.770812,5.795184,6.4651,6.309228,6.285832,6.545984,6.03572,6.302568,6.847012,6.016584,6.58856,6.248752,6.515496,6.571312,7.427586,6.80208,6.400228,6.035624,6.243444,6.104724,6.671346,6.47633,6.010698,6.63885,6.296482,6.398036,5.844546,6.471882,6.783582,6.706382
S10011,6.10011,6.310056,6.51966,6.649012,6.68686,5.670708,6.436432,6.304618,6.225738,6.277572,6.019694,6.414598,6.63529,5.857016,6.330612,6.267088,6.571966,6.437538,7.18038,6.720724,6.50077,6.037288,6.204944,5.990098,6.534808,6.518216,5.894274,6.568378,6.319074,6.36587,5.692976,6.4291,6.831162,6.698814
S10014,6.414762,6.374326,6.354128,6.568976,6.714598,5.771592,6.43538,6.253722,6.221114,6.413698,5.9431,6.244962,6.750186,5.910844,6.53798,6.177788,6.39509,6.441482,7.146918,6.698364,6.258294,6.066368,6.15924,5.996156,6.581326,6.438126,5.905002,6.53213,6.223344,6.31168,5.786144,6.458392,6.801498,6.56519
S10026,6.608588,6.61959,6.482256,6.592624,6.648256,5.932464,6.376184,6.294272,6.298698,6.716674,6.149332,6.101222,6.888332,6.190592,6.875536,6.182502,6.41023,6.547318,7.230994,6.769154,6.284342,6.119416,6.210406,6.27426,6.72443,6.573346,6.160976,6.626004,6.15739,6.293422,5.957822,6.824738,6.915916,6.7302
S10032,6.59536,6.61206,6.536336,6.739112,6.764742,5.920762,6.529544,6.40024,6.304364,6.598424,6.067124,6.210204,6.935182,6.099672,6.74418,6.313838,6.52703,6.639916,7.230972,6.841082,6.389724,6.108972,6.323844,6.193912,6.720672,6.546298,6.132724,6.693424,6.32087,6.377252,5.921056,6.62048,6.870214,6.616816
S10036,6.319128,6.38116,6.357714,6.511646,6.469704,5.802284,6.259218,6.194558,6.113106,6.499552,6.013638,6.142166,6.769428,5.98331,6.637532,6.016114,6.376846,6.380588,6.996968,6.61876,6.241364,6.108504,6.116944,6.063794,6.5773,6.402038,5.870798,6.384522,6.13012,6.252544,5.764552,6.64485,6.784684,6.651546
S10042,6.598404,6.564238,6.543158,6.708702,6.826292,5.91416,6.534924,6.36132,6.31869,6.726076,6.163088,6.328918,6.960832,6.126208,6.783026,6.251976,6.56503,6.60025,7.288372,6.828068,6.444592,6.22583,6.378398,6.19647,6.78689,6.60176,6.062594,6.665664,6.288812,6.423736,5.951966,6.642858,6.98594,6.75511
S10044,6.872272,6.701228,6.534098,6.57578,6.751108,6.02358,6.596516,6.419614,6.419712,6.825242,6.176112,6.24231,7.076722,6.22706,7.064594,6.352548,6.512406,6.567934,7.399068,6.920666,6.44931,6.233936,6.452814,6.401964,6.844462,6.609734,6.268396,6.770186,6.29061,6.40281,6.199836,6.99458,7.00243,6.857416
S10049,6.78349,6.690396,6.481344,6.612816,6.685604,5.96738,6.452148,6.459264,6.403186,6.782178,6.066322,6.207198,6.975446,6.147828,6.968958,6.320378,6.445886,6.52992,7.285728,6.843476,6.314336,6.219618,6.403494,6.285388,6.794648,6.502382,6.233238,6.720378,6.28829,6.350362,5.988764,6.888756,6.987078,6.796564
S10057,6.127254,6.120826,6.392346,6.382104,6.586724,5.677058,6.236066,6.225776,6.139524,6.154882,5.91977,6.388266,6.647936,5.658128,6.284034,6.197574,6.468798,6.242206,6.797046,6.535428,6.266284,6.016928,6.103146,5.866032,6.297978,6.354854,5.83288,6.346234,6.234694,6.257518,5.580014,6.232164,6.603084,6.536012
S10062,6.512566,6.592534,6.517472,6.736916,6.767684,5.881644,6.51206,6.371444,6.302736,6.64801,6.094806,6.270656,6.895146,6.086362,6.714832,6.335366,6.547516,6.564226,7.29653,6.829964,6.381046,6.188668,6.353132,6.19799,6.72808,6.555714,6.063932,6.746458,6.287052,6.365484,5.888122,6.706934,6.953092,6.776096
S10066,6.213246,6.321092,6.42397,6.7528,6.70797,5.795602,6.513306,6.382574,6.276248,6.457072,6.00499,6.382232,6.689116,5.895636,6.367806,6.292278,6.486112,6.49306,7.434954,6.797208,6.415248,6.046668,6.211502,5.953862,6.61611,6.399506,5.988618,6.54911,6.313524,6.389892,5.727822,6.452016,6.751938,6.600342
S10067,6.625846,6.616646,6.394812,6.496714,6.726064,5.880552,6.445652,6.352,6.324618,6.671664,5.994182,6.215242,6.810878,6.081108,6.856646,6.28649,6.433316,6.46092,7.094298,6.787486,6.28675,6.14555,6.32063,6.250136,6.692516,6.478152,6.079374,6.637076,6.250234,6.361068,6.022286,6.825582,6.93603,6.844818
S1007,6.362814,6.430718,6.4713,6.573518,6.674058,5.6738,6.373444,6.37276,6.250234,6.424854,6.068234,6.374552,6.77962,5.815896,6.48437,6.256028,6.586088,6.425066,7.13261,6.72278,6.397838,6.10207,6.232066,6.064,6.497316,6.493026,5.947594,6.542364,6.278886,6.310268,5.731718,6.571344,6.735518,6.623922
S10073,6.566194,6.648802,6.509698,6.527966,6.86597,5.8445,6.546136,6.397918,6.396502,6.60847,6.083206,6.256146,6.989144,6.083554,6.776308,6.371482,6.512434,6.554318,7.239296,6.879896,6.455508,6.1373,6.389884,6.283192,6.65392,6.601468,6.117796,6.814566,6.304156,6.33864,5.883336,6.872022,7.085466,6.964132
