ID,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell
S10001,6.93582666667,6.07132,6.59178666667,7.08827941176,6.37232307692,5.099775,7.16947586207,6.72155,7.7377
S10006,6.89817333333,5.90052,6.84225333333,6.90498823529,6.87515384615,5.4357,7.17038275862,6.91941666667,7.685075
S1001,6.62421333333,5.97432,7.1096,6.96702941176,7.09276153846,5.609575,7.21231034483,7.11303333333,8.0297
S10010,6.51112666667,5.96428,7.07402,7.12593235294,6.93971538462,5.65235,7.68845517241,6.5444,8.07915
S10011,6.86222666667,6.02152,6.95370666667,7.10517352941,6.58175384615,5.02945,7.17123103448,6.92641666667,7.94725
S10014,6.79638666667,6.1739,6.68559333333,6.86615,6.93430769231,5.6362,7.10487586207,6.73631666667,7.63215
S10026,6.68697333333,5.88726,7.12194,6.85370294118,7.35609230769,5.7622,7.47347586207,7.3449,7.959625
S10032,6.95708,6.20722,7.29852666667,7.20143529412,7.15476923077,5.78125,7.27910689655,6.72363333333,7.728325
S10036,6.48153333333,5.94332,6.73584666667,6.63419117647,6.89936153846,5.65855,7.15354482759,7.46513333333,7.5497
S10042,6.86983333333,6.11346,7.05408,7.05807941176,7.17668461538,5.5413,7.49926896552,7.05881666667,7.989625
S10044,6.86069333333,6.11646,7.02467333333,6.95821470588,7.27534615385,5.87785,7.58556551724,7.29013333333,8.274275
S10049,7.02673333333,6.14222,7.00322666667,6.92196176471,7.25277692308,5.479925,7.17782758621,7.25398333333,8.37475
S10057,6.71018666667,6.16102,6.64533333333,6.84485882353,6.48318461538,5.3285,6.70689310345,6.84081666667,7.74325
S10062,6.90337333333,6.13668,7.12632,7.10391176471,7.05101538462,5.3319,7.29082758621,7.02548333333,8.29325
S10066,6.68606666667,5.93632,7.02910666667,7.07527647059,6.65282307692,5.064425,7.70631034483,6.76103333333,7.901025
S10067,6.95306,6.10998,6.8238,6.92446176471,7.29447692308,5.75275,6.98302758621,7.32676666667,8.35895
S1007,6.8569,6.09804,6.76227333333,6.97857941176,6.71980769231,5.5496,6.91221724138,6.89936666667,7.5841
S10073,6.97982,6.02816,6.92516666667,7.00927058824,6.87433846154,5.4784,7.22294827586,7.3912,8.650725
S10077,6.99218,6.19632,6.63956,7.16755882353,6.63249230769,5.26695,7.05530689655,6.44903333333,7.857275
S10080,6.96773333333,6.24184,7.18466,7.22845,6.75402307692,5.38315,7.22513793103,6.81295,8.102675
S10082,7.0056,6.14666,6.89888666667,6.97648529412,6.93790769231,5.6177,7.34515172414,7.20731666667,8.530025
S10087,7.18412,6.24626,6.94997333333,6.99077647059,7.19926153846,5.4701,7.09113448276,7.07736666667,8.332225
S10089,6.81961333333,5.9898,6.551,6.87710882353,6.76624615385,5.04835,7.11931034483,6.62858333333,7.893625
S1009,7.34580666667,6.33564,6.85748,7.00138529412,6.66401538462,5.40025,6.96600689655,7.1017,8.62745
S10090,6.63848,5.76206,6.60997333333,6.80267941176,6.49154615385,5.12105,7.04825862069,6.78811666667,8.004625
S10093,6.49756666667,5.96946,6.93480666667,6.96778529412,6.52191538462,5.661925,7.24422068966,6.6748,7.365375
S10094,6.7903,6.12442,7.05322666667,7.13072352941,7.12128461538,5.378325,7.40209655172,6.93428333333,7.808625
S1010,6.98771333333,6.22936,7.03691333333,7.13437941176,6.79963076923,5.7992,7.08796551724,6.98235,8.2672
S10111,6.9458,6.2168,6.96428,7.00566176471,7.14652307692,5.68455,7.19245172414,7.31185,8.55935
S10116,6.89965333333,6.15694,6.60763333333,7.13508823529,6.52343076923,5.559875,6.59146551724,7.13275,8.3747
S10119,6.87141333333,6.03374,6.77611333333,6.92700882353,6.99684615385,5.390875,6.90618965517,7.11303333333,8.32515
S10121,6.86572666667,6.01456,6.66446666667,6.97266176471,7.01773076923,5.655375,7.11472413793,6.7794,8.195625
S10130,6.66674666667,6.0177,6.77338,7.05271470588,6.81656153846,5.3367,7.2145137931,6.49895,7.69055
S10140,7.15426666667,6.2014,7.10314,7.08146176471,7.07653076923,5.073275,7.62659310345,6.55795,7.741325
S10142,7.09737333333,6.24656,6.81858,6.95205,7.34669230769,5.8056,6.79620344828,6.86953333333,7.74915
S10150,6.59679333333,5.96974,6.97396,7.0595,6.72,5.644525,7.68166206897,6.17096666667,6.988775
S10155,6.91919333333,6.03704,7.06374,7.01331764706,6.99060769231,5.947025,7.16511034483,7.26506666667,8.38185
S1016,6.60612666667,6.22788,6.95988666667,6.96032352941,7.06162307692,5.180425,7.07884482759,6.75826666667,7.762125
S10163,7.10432,6.22694,6.86870666667,7.28129117647,6.38111538462,5.536825,7.27348275862,6.82705,8.19325
S10167,6.70766666667,6.05886,6.92429333333,6.96016764706,6.96667692308,6.3077,7.15268965517,6.83751666667,8.175825
S10168,7.01972,6.20378,6.74622666667,6.96921176471,7.20126153846,6.01575,6.91169655172,6.90525,8.24305
S10173,7.19012666667,6.08068,6.68764,6.94839705882,6.88163846154,5.587275,7.15176551724,7.2642,8.5558
S10175,6.81352,6.07748,6.72728666667,7.02087941176,7.05513076923,5.482975,7.23319655172,6.77785,7.749975
S10179,6.79359333333,6.13786,7.11147333333,7.07258823529,7.38893846154,5.9904,7.16246206897,7.62795,8.7261
S10186,7.17078666667,6.22636,6.98273333333,6.98067647059,6.97318461538,5.949825,6.46819655172,7.08833333333,8.3852
S1019,6.92359333333,6.26808,6.87852666667,6.97646764706,6.78779230769,5.69075,6.81791724138,7.00115,8.089
S10190,7.0098,5.96782,7.01942666667,7.00735882353,7.22901538462,5.5506,7.3018137931,7.67998333333,8.729375
S10195,6.74794666667,5.9962,7.03052,7.02231764706,6.89703076923,5.766625,7.41632758621,6.99603333333,7.529925
S10196,6.70246666667,6.0595,7.13326,7.05943235294,7.18421538462,5.939475,7.31511034483,7.17246666667,8.11355
S10200,6.64002666667,6.06076,7.04783333333,6.98561176471,7.16291538462,5.589125,7.33093793103,6.72085,7.665725
S10201,6.69032,6.00296,6.72502666667,6.97870294118,6.79643076923,5.1529,7.63055172414,6.00141666667,6.87935
S10202,6.91464666667,6.16516,6.91782,7.09076470588,6.86421538462,5.893975,7.1288137931,6.58515,8.324125
S10205,7.19258,6.0149,6.90842,6.97287647059,7.17017692308,5.593025,7.39694827586,7.3552,8.159125
S10211,6.43458,6.1213,6.71602,6.83695,6.82945384615,6.08865,6.91935172414,7.12275,7.775875
S10221,6.82544666667,6.1914,7.15208,7.04653529412,7.05125384615,5.981625,7.40461724138,7.2118,8.43075
S10222,6.73806666667,6.16112,6.6399,6.91137647059,6.68775384615,4.68805,7.10368965517,6.61756666667,7.319425
