Gene,Chondrocyte.articular,B.cell.naive,B.cell.memory,Monocyte.CD14,NK.cell.CD56,Endothelial.large.blood.vessel,Endothelial.microvascular.mammary.or.endometrial,Endothelial.microvascular.non.reproductive,Epithelial.cell.mammary,Epithelial.renal.cortical,Epithelial.respiratory,Fibroblast.cardiac.ventricle,Fibroblast.of.arm,Fibroblast.of.lung,Fibroblast.of.the.aortic.adventitia,Fibroblast.or.papilla.dermal.cell,Hair.follicular.keratinocyte,Macrophage,Mature.neutrophil,Melanocyte.of.skin,Myometrial.cell,Osteoblast,MSC.like.pluripotent.cell,Myocyte.regular.cardiac,Smooth.muscle.cell.aortic,Smooth.muscle.cell.bronchial,Smooth.muscle.cell.of.bladder,Smooth.muscle.cell.coronary.artery,Smooth.muscle.cell.pulmonary.artery,Smooth.muscle.cell.of.trachea,Smooth.muscle.cell.uterine,T.Cell.CD4,T.cell.CD4.memory,T.cell.CD8.memory
mix_1,642.051251907,590.720159292,515.396848218,465.595812439,803.062609478,770.968966007,790.220253226,697.955036435,493.42431164,679.992762556,558.659467724,387.702299836,1475.58437147,503.2480323,785.459439333,662.19710385,889.658463791,762.862878602,462.269309047,1114.72413702,624.893727881,672.50318889,892.631680259,739.679235218,781.648847546,769.940751824,703.087067492,620.674977187,592.049938021,1140.02248086,429.450849897,561.956163293,951.577556467,946.410301409
mix_2,662.678350359,585.007745627,513.438036497,398.28572154,730.314867786,838.249708119,809.514674981,758.530630358,522.190175566,669.362870485,550.961800942,374.446470087,1502.24812266,512.592253894,791.550119329,669.36621936,920.098806385,750.013871457,431.597196753,1091.77796519,635.043628042,658.555534981,877.838104905,771.96362384,824.738196773,784.169004186,730.808425405,641.760560081,637.760097294,1152.99425314,440.092956,558.030884043,871.580561426,781.103983503
mix_3,678.192367473,547.615303711,500.146040061,450.606524983,619.513891552,730.213532216,794.621725071,658.74271951,526.4888346,720.107434284,553.31402655,520.545308266,1559.9785607,577.023053555,843.150929958,749.69591549,937.346481386,805.529642633,419.69968627,1153.57853803,652.409922792,790.060618926,895.029333753,806.138711652,860.703750354,842.388383111,796.928646941,693.969265714,699.156929084,1224.96037,445.212916884,491.409317091,757.519741816,595.351077786
mix_4,649.210291606,600.973297151,518.912863374,404.936628489,769.880063687,643.175453314,749.745463504,568.481331636,477.093349814,676.780167657,533.368224313,410.26403306,1458.00901724,533.835179588,793.000009007,689.619786374,841.315293123,690.938550661,454.134338345,1082.04023751,639.624047592,716.772247822,869.351491424,744.610633655,707.98102108,782.234443099,731.291930372,617.627679325,578.63074363,1140.56841228,447.077579632,602.436757153,1063.35971295,999.748113539
mix_5,661.254362876,573.852938158,505.779586407,410.152098518,707.029361684,622.597437836,753.277208135,559.778471002,497.606100136,695.692523615,550.07938082,481.97192853,1516.20465115,577.295235661,815.187460221,741.096723345,865.38638658,738.389792931,442.87329909,1109.094037,633.029238538,779.75746523,878.859954701,782.57951893,761.617238399,805.884967107,764.166951654,644.58603851,631.642863282,1176.04993027,449.828013379,553.830616266,924.62345093,851.168415189
mix_6,654.761237493,601.423003395,513.720315333,386.456192879,765.846436921,670.238449905,761.695636642,598.891727186,485.119629712,672.364449227,530.487002121,415.634010065,1477.98755788,534.755686916,797.827070114,702.697924782,847.483557187,693.36464158,444.323004164,1083.84396074,635.609998581,723.549675616,871.039483301,752.81072961,727.813120295,789.801436169,734.722197423,640.758542913,601.96911207,1149.16174123,450.981340062,598.980749472,1008.5415162,984.363277212
mix_7,672.171571169,558.825047483,491.497060914,400.367410814,661.313658351,650.816406304,756.148093983,595.16462244,510.699506381,702.422024347,556.321034669,508.481588027,1532.50792373,593.253856598,825.762320631,763.900177258,882.535960783,750.677691801,426.971751296,1114.86631239,632.508601835,804.195256187,882.838411791,800.537752787,795.791231959,820.946653435,790.410967973,663.97366885,660.173470168,1208.91139629,447.176376513,522.321064987,849.793273061,731.102628559
mix_8,668.558179737,566.510726662,490.862470739,390.245955086,684.106725535,777.602784121,785.426234623,683.780077264,515.991529212,697.373483811,563.522327013,461.487063164,1534.07998924,560.330977958,809.784612307,734.269339282,908.175763658,756.51326527,418.623509117,1111.17890735,625.64515052,768.867271373,886.162236682,777.280051109,836.552162826,809.612561583,761.705050333,669.418713224,666.145474607,1199.54228212,447.426144954,521.593320434,843.715397108,763.152751575
mix_9,633.44935016,625.509026243,529.275228913,409.2253277,821.259408819,655.00287281,759.966501033,577.338879999,465.425260048,661.084284628,529.571496023,378.903589967,1429.90585262,510.825481523,770.772579605,656.779334413,836.923569451,669.407668742,468.171622332,1070.19488684,634.158515133,672.699595257,863.983633682,723.619565495,681.672961473,749.129976725,703.241892347,608.411572158,557.626957741,1117.18535423,439.691450008,635.405815105,1100.67756552,1100.28934451
mix_10,636.33420358,593.987108341,538.359297643,480.078520092,717.355017805,693.869728116,774.931448965,627.727678275,494.794333432,690.264962159,532.587797088,412.656602431,1493.78099406,513.45211703,810.29454907,657.351816067,900.447800597,768.631376768,463.415071411,1112.51538611,661.034037058,679.408638923,870.482058822,740.379044797,756.265078315,799.750472872,738.673505154,641.829472798,596.852028198,1160.15709118,431.30514905,571.746735325,983.1715721,825.597686542
