Gene,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell
mix_57,1153.48130115,206.996777892,294.651160142,410.108507009,1143.90668686,478.045881492,175.368450115,1230.0793136,1989.76582862
mix_58,1087.81531399,223.748988412,338.406314658,426.268714561,1021.91158755,380.048947477,186.024396964,964.316494735,1583.14245529
mix_59,1042.7580113,234.431608191,348.162683552,451.768599243,954.762633313,242.634577737,203.863233367,565.751546502,825.91705725
mix_60,1101.88052332,190.764044794,319.462336798,460.758302836,968.319486137,294.528689121,216.654622505,1039.94729162,1321.64578648
mix_61,1088.20994217,243.269232412,359.622765983,417.726247037,1044.23415168,346.158348261,186.339348726,922.357264138,1479.96563674
mix_62,1036.03946151,234.754613001,368.806984779,456.124717207,928.664487506,301.176191076,200.047116731,680.968730119,1074.52005734
mix_63,1097.36614484,223.222757705,338.270323746,423.473502228,1028.37447183,378.652846102,189.927749149,1043.5032368,1644.34602799
mix_64,1047.50352725,264.317798674,340.612163097,447.420052498,801.1787564,185.559594449,190.002987663,147.948909756,304.824805786
mix_65,1052.42119784,217.994811529,350.384139463,479.288468342,931.023373943,278.006137249,216.138541867,624.896997189,896.888988361
mix_66,1080.45163864,183.356591189,297.315175109,472.843017164,1006.98350294,361.941608322,198.511801514,602.374915305,1092.10285807
mix_67,1112.56311816,216.015814362,327.027559754,446.75424073,1075.02681241,476.812039158,182.886501949,837.853694747,1655.02945842
mix_68,1064.72829776,248.940730187,324.482453345,429.489438756,975.732027281,269.165379987,187.451300244,769.622584827,1152.43393164
mix_69,1172.40603116,237.897612887,297.419705899,409.577787716,1076.72547513,345.9926604,184.328079119,1067.7134882,1552.18412972
mix_70,1045.31749843,246.75040094,375.639337365,443.270508966,886.100857997,227.821335992,202.535039441,702.453918309,886.823641211
mix_71,1061.58418304,216.536982488,342.966275163,445.264612832,961.263020001,346.110825248,195.12083551,696.24751057,1163.26400162
mix_72,1029.67439527,251.574633443,379.763831433,451.959930273,961.761433551,320.902733762,194.426874324,602.152097204,1075.88128802
mix_73,1044.39286595,294.537314174,393.08322875,417.316401344,902.85436722,224.66816284,191.073524925,728.048529413,974.139498951
mix_74,1186.94843542,144.352308483,243.400223552,450.14312892,1126.88042267,464.182515536,212.256062611,1484.7949035,2104.46917787
mix_75,1123.00824932,201.634663006,299.931099601,447.494545392,999.101236544,272.517283834,207.521435922,1045.40457755,1309.97798781
mix_76,1047.22903232,252.169728937,381.108554797,435.520234709,1029.90948982,411.482143278,180.10708927,683.980768052,1463.82915606
mix_77,1125.93876862,215.588153685,295.664397708,429.772788673,1052.26331261,382.58587895,188.060793452,1068.17742582,1632.05303776
mix_78,1078.89569543,218.469082829,333.232784966,438.979704635,936.386114372,291.259387549,202.468824885,836.347368715,1219.25996811
mix_79,1068.64724077,266.605161666,382.174313207,457.478590712,903.707262082,249.86556811,208.012795852,493.149312017,705.841404949
mix_80,1118.75340721,192.407824878,308.376749074,485.441849311,991.711729202,272.622463733,233.109152945,841.877532882,1066.77728318
mix_81,1059.8701124,178.218036257,316.412512433,520.770883891,912.357066177,316.368645965,233.889906072,531.683152621,706.822739236
mix_82,976.81534376,302.101441402,424.630409025,441.436068408,788.596462415,193.088095483,197.610901769,145.497178636,337.744135187
mix_83,1046.63110831,265.683182529,380.382686786,406.723886862,917.27247305,195.081414746,192.509643175,907.796160257,1069.69101733
mix_84,1061.1959775,244.894162236,346.30873472,421.391395516,988.617794611,344.817145827,176.571023276,748.234083859,1313.17320193
mix_85,1030.88678842,249.036143506,355.438569879,469.381891188,917.167383347,288.641105903,196.991543667,507.360313067,905.485499181
mix_86,1113.54228433,241.963884531,323.095980487,414.990294785,1024.9937856,357.691794991,186.767681605,992.773645465,1559.88033146
mix_87,1177.72878313,168.03678021,276.141619796,454.162284252,1224.23964729,629.42996997,202.961499979,1630.66922454,2503.71391119
mix_88,1135.11454571,168.954494216,303.844272927,462.338921315,1083.19076076,418.917232275,212.968965736,1173.9552131,1789.27880985
mix_89,1104.86294642,204.304853868,332.762858353,494.879665162,854.860464291,227.060478108,226.203819325,374.084198689,505.580013021
mix_90,1159.02272442,172.728591152,272.88719202,418.930710805,1187.11400613,560.25980043,177.380441852,1400.05169003,2302.74114885
mix_91,1088.11571588,211.531372946,332.789909636,421.664023207,1077.40035182,413.824750005,183.023176357,1085.40811124,1746.82596717
mix_92,1137.6851564,187.618634441,282.348530873,432.415104607,1033.2040807,346.697401313,200.023167777,1120.58088259,1589.31192298
mix_93,1025.58021256,338.72440151,425.70449998,398.375825958,860.164814696,166.467028527,178.936381704,418.474806925,649.178721372
mix_94,1143.93179633,204.454406133,308.425398541,413.755134418,1139.70034226,448.134812498,186.927184923,1361.21923318,2015.33475157
mix_95,1121.49241094,188.082398416,308.851381972,435.834229852,1036.56676009,358.342142254,205.881223858,1268.85957815,1710.91239296
mix_96,1109.4921583,178.114568705,292.296304598,476.963439216,1028.92750101,348.646945571,206.966544791,904.252504817,1376.69441585
mix_97,1155.15115029,145.380230758,302.756070899,438.559638363,1134.4281715,429.142638865,208.603990362,1317.81238667,1885.24872392
mix_98,1104.35724931,206.69355605,336.612118794,450.934156553,1042.5273828,319.783378416,215.712246549,1216.26222011,1514.04984394
mix_99,1036.39447033,309.878654457,393.774048505,425.623394457,879.36237304,166.415181117,186.747252999,229.801550228,417.326925356
mix_100,1081.16854026,245.66523357,367.351644944,401.656723693,1027.61443602,339.338471169,183.68782115,1046.16121894,1569.5158451
