Gene,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell
mix_1,1087.09533148,186.1255561,301.680234939,462.579145231,1101.68696829,553.658036191,188.870131371,882.339164182,1913.02594412
mix_2,1124.75638968,174.700824866,249.20167727,434.948989784,1030.46905077,402.483156248,183.117756196,672.426044665,1312.57384006
mix_3,1026.25824567,245.862465435,371.782443176,457.735604916,909.350864673,288.730220631,200.858851947,438.186753879,759.130172077
mix_4,1149.54394165,210.57966106,298.809910015,402.946178212,1107.87436968,388.228370683,173.84308901,1210.8195127,1826.7496555
mix_5,1075.27994213,258.405383109,359.215344401,412.161086768,1034.56127002,369.726463104,171.77327777,857.478936111,1522.56674903
mix_6,1146.78789611,226.552035313,310.781901638,402.933667024,1095.00313713,428.732388492,179.786712621,1129.20618689,1871.92458049
mix_7,1050.09800776,265.399389708,361.73830536,409.895200024,1003.45112809,343.051531827,171.052195861,629.425444647,1202.6046133
mix_8,1066.62766419,218.962897329,310.887297939,427.166620847,987.343091372,401.499210554,174.131326306,641.974743561,1348.42584393
mix_9,1170.97670676,211.669082071,293.339341616,402.284635477,1159.00481807,498.471445487,185.360427493,1350.19414385,2183.96953878
mix_10,1111.09391559,200.539101627,324.505109464,464.498127668,1009.42360615,284.915877158,218.004427066,1010.65717149,1239.59427586
mix_11,1153.33794568,154.373688509,253.593939579,479.741969122,1153.09562933,564.546682924,201.946727491,994.188754616,1879.7125583
mix_12,1083.48887507,236.878153494,354.914143694,418.267658913,1029.88905395,359.322674098,182.168689892,1019.98121256,1637.71092887
mix_13,1126.89983311,164.406386066,271.837766568,449.913517896,979.851198137,355.563541801,219.848404575,1282.33202172,1656.64957001
mix_14,1165.64739337,182.461916699,294.115677937,459.512463628,1117.63196511,421.802052659,215.702452353,1307.87757897,1868.31369783
mix_15,1090.9297817,226.152431599,323.245425436,421.943767168,1019.54595625,389.537256893,182.209609866,819.203544333,1486.86962102
mix_16,1048.70988015,278.741029262,366.804399125,433.317337991,874.073266465,238.038603849,194.598012053,387.996937651,690.960973359
mix_17,1042.8974869,255.570194867,360.588387588,427.615312224,863.389266463,212.181210925,193.821168659,494.105970232,692.381873328
mix_18,1114.98587899,158.155495013,278.022710453,482.128768641,964.00726563,232.226685022,239.523391009,1093.52547882,1099.37880948
mix_19,1014.22252202,231.102808756,363.499606878,466.948472278,899.133212078,303.136503171,199.575004765,514.807204621,876.590954357
mix_20,1164.45346126,172.501625463,258.413079747,433.96289373,1047.49974004,402.196109922,197.962577112,1102.40168681,1708.0585131
mix_21,1063.14454556,249.678417181,357.526794082,430.94587728,903.010774844,213.55308576,207.124927668,833.284922098,1035.57979764
mix_22,1104.86997565,196.304114261,320.724183416,446.262358086,1111.08563861,484.27063676,191.656240926,1111.46128319,1871.95595438
mix_23,1166.7132849,154.940211415,260.658033595,458.880291319,1099.53326963,475.918103255,205.115465066,1181.92328273,1832.94496471
mix_24,1082.04043172,255.816224316,345.431328151,411.306888535,993.710483983,325.748704644,182.083226137,932.35435189,1472.87262982
mix_25,1173.32004424,178.305706627,260.176965899,422.339560392,1115.92211635,450.891225071,193.710910999,1331.36100301,1977.77852489
mix_26,1044.85979692,229.598229213,361.375517668,462.066301048,890.074084942,220.921109278,222.151644577,774.03783312,884.753771168
mix_27,1137.03374521,174.51996828,274.774757267,445.754703752,1143.98917958,512.12248341,186.749095488,1076.19950469,1964.44140014
mix_28,1132.40831573,210.806642785,297.114853867,412.422084378,1069.55684439,382.243198177,185.548154302,1070.64136821,1681.17511061
mix_29,1109.71827236,173.747834441,277.041740344,449.245110267,1109.64480157,510.562960005,185.539001159,937.276858627,1810.43928466
mix_30,1145.22159716,202.909535474,295.15190417,418.677920402,1088.9608785,415.642092389,192.702910036,1269.33741672,1881.08838074
mix_31,1119.98930728,177.038100322,304.063079162,450.414946696,1047.5502048,375.080770545,203.592192359,1090.9237377,1565.86749511
mix_32,1177.96778481,178.674290428,288.99704903,465.036216924,1145.26072473,440.658521091,223.383870446,1379.2005334,1947.22981317
mix_33,1108.4866414,193.688560963,329.504801101,476.738872881,991.491233247,308.52124014,232.541666048,1093.01320132,1376.7524991
mix_34,1038.78175892,174.456294227,307.607052219,479.325131517,914.796018403,216.924061941,222.600752021,614.932318081,713.165785899
mix_35,1103.73352175,221.479786701,325.008432884,416.060713787,1076.10200702,398.988675094,188.686234122,1082.19922002,1744.02917423
mix_36,1079.50639343,231.641604091,352.064641206,438.151436051,1040.17171049,376.91467755,197.58026807,923.886027657,1513.61800701
mix_37,1037.44454505,248.967551323,359.770398262,432.977753762,930.708268586,268.114582142,190.844369884,610.662428547,1028.16185901
mix_38,1046.87050357,246.650122817,357.304754882,437.865157292,976.757968369,369.680171741,189.655294138,649.783438465,1243.09846525
mix_39,1133.86689118,197.231878995,290.253398404,410.33296315,1075.95651556,417.346219884,183.580372518,1033.16746386,1710.32219466
mix_40,1087.0337098,209.791507619,362.525599601,437.66649674,1049.63856563,339.753174899,207.418722881,1042.1051537,1511.88675304
mix_41,1058.21196415,225.208179437,348.778229868,476.106971784,931.10115566,246.433492577,211.895831958,724.361549794,921.861357322
mix_42,1195.44420152,171.522935691,249.448680836,429.358671139,1090.2026315,320.993125412,217.941970158,1456.91193189,1662.70150969
mix_43,1066.25702133,234.129426614,336.547643795,467.000636858,930.527834031,233.924026203,220.598826621,825.977153484,927.32046259
mix_44,1166.1651604,165.397629115,236.033337899,461.566283397,1082.63494789,439.829250919,209.118974613,1019.70147768,1703.46154071
mix_45,1095.57577257,227.015632474,313.907683853,404.233817617,1047.59396112,379.911171985,166.480001507,836.958197959,1529.43883424
mix_46,1054.30192434,218.94360273,360.081490065,480.17424151,965.325471358,316.258342346,214.802531181,864.343218393,1242.49646787
mix_47,1030.13493451,271.352208028,357.366223578,451.609215805,755.97119248,192.690530393,201.783883382,133.365209827,263.906047029
mix_48,1139.46947718,160.0693329,270.729340554,472.886418834,1029.71424878,292.950753287,224.01728629,1179.69645584,1348.18108645
mix_49,1092.63097004,166.967707761,366.313470783,493.977107438,1114.7748952,491.842781128,220.273011303,1041.69370602,1708.36677668
mix_50,1121.36539623,207.587230479,290.610132366,412.994923899,1086.42589337,414.820973203,182.087869393,1102.89671459,1805.60941654
mix_51,1046.93977592,252.923236296,369.52488159,451.860652781,879.164714013,195.262974096,207.39526682,627.338369602,709.251774178
mix_52,1058.10074518,223.704078752,337.068789955,458.808903575,932.271232754,264.456550075,207.831963497,728.688374498,966.804094072
mix_53,1113.91202914,175.917466804,282.158765101,486.100344686,991.730485707,280.764276358,216.172995757,702.410603661,968.199790466
mix_54,1112.07027968,217.898256008,328.87537624,438.373771098,1032.68309084,337.118687446,202.408939012,1048.38503261,1515.23883438
mix_55,1085.34934267,196.724537178,324.501364914,449.512791001,916.16153137,237.966421279,216.5236663,1001.18523509,1121.37245
mix_56,1129.14189853,203.116716292,322.837364077,458.324091664,1073.59153789,387.36205149,215.815564687,1296.17569535,1845.9111155
