Gene,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell
mix_1,2804.2328125,19.22,1010.44473684,583.976176471,427.783333333,188.64,137.690555556,159.925833333,704.646
mix_2,2852.4434375,15.595,1180.20473684,643.607647059,381.963333333,87.9758333333,160.656944444,122.886666667,566.289
mix_3,3358.111875,17.26,341.955263158,315.068823529,362.544583333,122.029166667,60.1288888889,464.128333333,1558.936
mix_4,3461.9275,21.515,622.590789474,424.833382353,391.585,147.9075,90.2102777778,275.329166667,1063.14
mix_5,3316.0234375,22.937,537.739210526,390.624264706,436.489583333,233.330833333,81.1477777778,245.670833333,1246.689
mix_6,3132.3040625,17.552,786.878157895,491.517941176,393.073333333,140.1175,110.696111111,218.555,999.847
mix_7,3494.78125,26.099,421.408684211,348.378676471,422.644166667,194.17,74.0472222222,300.166666667,1125.426
mix_8,3372.055625,22.925,914.610789474,539.714558824,330.77375,22.7916666667,132.620277778,215.513333333,650.112
mix_9,2912.1009375,16.511,809.916315789,487.809117647,438.945833333,216.361666667,111.498055556,238.5025,932.134
mix_10,3703.7284375,25.233,550.321315789,387.264264706,339.419166667,34.73,86.8794444444,236.436666667,1122.546
mix_11,2916.8,19.188,1120.00868421,609.388823529,366.8125,90.2558333333,150.923055556,175.4975,543.406
mix_12,2857.889375,12.467,973.719210526,560.123382353,367.145,95.1866666667,135.706944444,212.245833333,903.641
mix_13,3721.8415625,29.012,426.698684211,358.873529412,444.14875,235.186666667,78.0577777778,230.623333333,899.951
mix_14,3716.9040625,29.012,535.732368421,374.058823529,352.642916667,63.335,81.5830555556,194.796666667,1109.014
mix_15,3547.72125,33.187,305.91,304.701764706,539.36875,421.334166667,57.7577777778,190.979166667,1167.396
mix_16,3433.3871875,19.808,544.055,386.808382353,364.090416667,109.713333333,80.5736111111,364.351666667,1252.294
mix_17,4250.844375,38.604,85.7557894737,214.598676471,354.687083333,75.8541666667,46.1061111111,315.078333333,1486.503
mix_18,2911.6184375,20.501,1211.28947368,646.421176471,358.262916667,52.56,171.2925,104.671666667,480.207
mix_19,3300.2865625,20.609,765.378421053,482.284264706,381.351666667,108.663333333,110.036944444,177.299166667,934.491
mix_20,3258.2684375,18.414,118.041578947,223.138235294,415.508333333,229.434166667,30.3897222222,403.629166667,2099.938
mix_21,3498.6271875,24.633,495.687894737,368.163088235,364.585833333,101.570833333,75.9197222222,264.029166667,1358.036
mix_22,3365.164375,25.093,721.968684211,455.565735294,447.451666667,224.024166667,104.768611111,153.424166667,820.252
mix_23,3448.8078125,23.381,753.634210526,461.773823529,350.224166667,52.1725,111.896944444,256.931666667,821.454
mix_24,2782.27875,16.451,1289.55,705.816470588,401.429583333,119.643333333,176.848888889,86.3216666667,359.593
mix_25,3001.4675,12.417,792.199736842,494.371323529,332.876666667,35.235,109.414722222,327.855833333,1188.326
mix_26,3109.3446875,17.681,140.319736842,241.929411765,536.010416667,448.705,39.4427777778,483.070833333,1738.594
mix_27,3273.0525,28.045,1016.23342105,587.151764706,436.5,184.933333333,148.891388889,64.1375,261.162
mix_28,3444.9075,22.944,121.855,233.849705882,414.945416667,218.773333333,39.0,435.415833333,1866.111
mix_29,3101.2325,17.9,750.863421053,478.169264706,417.288333333,178.215,107.693888889,252.029166667,972.619
mix_30,3209.2184375,19.789,733.998157895,464.700588235,391.117083333,144.424166667,105.390277778,243.055,987.116
mix_31,3138.0909375,15.289,780.840789474,491.2575,356.855833333,93.145,108.175555556,313.9875,976.868
mix_32,3354.750625,19.729,601.115263158,408.096323529,391.64625,145.8775,87.6452777778,308.85,1192.725
mix_33,3180.02875,22.895,806.56,508.927941176,383.474583333,122.121666667,118.325555556,254.6825,774.301
mix_34,2861.823125,17.744,1078.24157895,602.852647059,402.005416667,126.703333333,148.149722222,170.591666667,635.586
mix_35,3010.0190625,16.459,882.400263158,525.923382353,401.605833333,140.626666667,114.743611111,168.7,963.021
mix_36,3626.065,24.56,439.664473684,357.809411765,358.63375,106.620833333,79.5461111111,400.211666667,1074.304
mix_37,3646.4878125,24.027,527.62,391.158970588,332.007083333,76.5816666667,88.1852777778,374.6975,1115.482
mix_38,3264.53,14.796,247.007631579,272.679264706,456.717916667,293.230833333,47.1897222222,508.3075,1623.531
mix_39,3624.5659375,26.757,286.760263158,301.519117647,491.920416667,308.29,54.7827777778,242.4075,1239.829
mix_40,3193.0240625,18.893,804.953421053,506.0675,356.13,74.3975,119.445,298.770833333,786.515
mix_41,2899.17875,17.712,956.741842105,573.827058824,422.207083333,173.2525,132.21,143.1425,795.49
mix_42,3821.6971875,26.593,158.306052632,243.160882353,388.950833333,166.135833333,47.7244444444,378.086666667,1603.85
mix_43,3026.4425,16.231,542.812368421,391.611617647,474.592083333,290.848333333,76.0883333333,308.676666667,1392.024
mix_44,3190.6121875,15.056,459.661052632,376.495147059,436.8075,242.135833333,72.7522222222,442.725,1294.757
mix_45,2926.883125,10.507,748.997368421,471.073970588,323.9925,34.7683333333,105.2925,393.304166667,1307.184
mix_46,3306.0325,19.084,321.128157895,305.473382353,433.9825,232.3325,51.0297222222,274.900833333,1725.775
mix_47,3261.4159375,19.029,805.751052632,491.352205882,352.350416667,58.6241666667,116.549722222,250.649166667,884.812
mix_48,3177.3571875,31.514,1023.94657895,604.262205882,442.192083333,198.49,152.6875,38.7458333333,171.642
mix_49,3200.4875,25.849,848.466842105,516.120588235,434.191666667,189.9025,123.8825,124.2325,649.813
mix_50,3604.5434375,20.92,327.708947368,302.093529412,325.523333333,48.7116666667,59.4211111111,440.440833333,1604.252
mix_51,3197.250625,27.741,967.210789474,571.882205882,430.24,193.3225,135.948611111,124.219166667,370.951
mix_52,3824.79,33.305,197.607894737,259.011764706,444.825833333,255.738333333,54.7019444444,347.834166667,1207.375
mix_53,3231.0715625,24.657,884.181842105,545.9775,399.72375,166.976666667,129.968333333,147.876666667,539.511
mix_54,3815.2121875,27.055,189.705789474,252.507647059,375.169166667,130.4075,45.7116666667,266.440833333,1758.273
mix_55,3252.661875,21.692,870.108421053,532.266617647,404.457916667,147.051666667,126.261111111,167.2025,619.921
mix_56,3291.12,16.274,595.263947368,408.492205882,318.705,30.0016666667,86.195,404.42,1372.519
mix_57,2864.923125,13.098,864.636578947,518.219117647,407.7525,162.395833333,117.0475,299.335833333,930.816
mix_58,3358.7615625,18.701,537.281578947,380.581617647,439.712916667,240.234166667,80.6755555556,283.478333333,1225.16
mix_59,2831.9296875,15.198,945.153157895,549.718235294,412.930416667,173.366666667,125.821111111,148.749166667,924.6
mix_60,3641.455625,23.904,660.329473684,432.502647059,336.60875,34.3566666667,98.2816666667,218.055,1051.295
mix_61,3653.5759375,21.16,130.860263158,234.502941176,328.3425,70.4733333333,43.1141666667,589.269166667,1753.844
mix_62,3498.6725,21.156,231.296578947,279.780441176,416.497916667,234.014166667,50.9738888889,492.036666667,1481.914
mix_63,2911.7125,14.779,935.032368421,537.469705882,385.074583333,112.174166667,127.408611111,250.4975,913.121
mix_64,3281.5428125,20.8,874.315,519.479264706,332.02375,22.1833333333,125.306111111,264.075833333,763.015
mix_65,3274.7721875,22.95,554.623157895,420.579117647,509.602083333,351.173333333,83.0783333333,254.94,978.731
mix_66,3180.64875,25.668,955.180263158,572.655441176,441.195416667,199.9,136.630833333,89.6875,415.907
mix_67,3642.3828125,29.298,190.417894737,260.972352941,467.725,283.940833333,48.0116666667,344.765833333,1352.697
mix_68,3105.4265625,19.755,319.858157895,311.599852941,503.96875,334.391666667,55.5986111111,291.858333333,1677.906
mix_69,3253.0359375,20.647,897.927368421,525.232058824,341.666666667,42.1825,128.063888889,229.873333333,750.975
mix_70,3457.8171875,39.514,689.783157895,456.070441176,568.427916667,416.158333333,103.496111111,61.8108333333,299.014
mix_71,3330.24375,27.48,1054.76131579,595.211617647,349.407083333,25.5633333333,155.597777778,87.65,361.047
mix_72,4056.5671875,33.543,336.502368421,311.507205882,341.71125,75.9466666667,72.1336111111,332.688333333,1000.223
mix_73,3479.454375,29.179,509.346052632,386.250588235,490.672083333,326.389166667,89.0219444444,153.515,757.747
mix_74,3451.00375,19.891,694.729210526,448.981029412,388.119166667,125.7225,104.706944444,294.416666667,844.483
mix_75,3177.7796875,24.219,1034.01473684,586.807352941,398.765416667,129.784166667,145.726388889,129.168333333,369.167
mix_76,3180.8184375,15.566,504.688421053,367.544264706,456.992916667,270.3475,73.5125,325.538333333,1417.14
mix_77,3268.6784375,18.058,165.068157895,254.049117647,399.546666667,205.933333333,39.3247222222,496.781666667,1978.722
mix_78,3162.1853125,21.732,881.128947368,534.338529412,407.069583333,150.508333333,124.959444444,143.501666667,737.448
mix_79,2925.934375,15.713,997.046315789,571.754117647,360.055416667,79.4708333333,138.837777778,210.670833333,825.821
mix_80,3574.0875,22.794,522.962894737,383.648088235,338.474583333,38.1383333333,84.4908333333,285.2825,1267.8
mix_81,3280.5590625,17.374,507.433684211,377.361029412,320.462083333,40.1325,77.9877777778,429.529166667,1468.663
mix_82,3267.6971875,22.758,783.419473684,492.816764706,367.605,91.8,112.137777778,186.0275,890.876
mix_83,3163.011875,23.392,1019.95973684,581.813970588,398.365833333,130.63,141.889722222,139.930833333,512.311
mix_84,3426.565,19.963,598.803947368,413.054411765,340.077083333,57.6775,88.4636111111,330.615833333,1261.783
mix_85,3301.265,15.306,602.864736842,411.901470588,337.597083333,54.0333333333,84.3094444444,352.5325,1376.664
mix_86,3178.716875,15.227,329.346578947,315.421323529,414.6125,217.4625,55.7725,467.728333333,1655.751
mix_87,3117.165625,13.957,740.377894737,469.871029412,322.946666667,22.4366666667,103.794444444,347.276666667,1180.848
mix_88,3338.331875,19.507,450.58,361.022647059,407.032083333,190.42,74.1186111111,332.506666667,1294.076
mix_89,3338.635,16.468,256.088684211,287.149264706,402.685,186.518333333,48.6866666667,424.330833333,1771.405
mix_90,3066.8403125,14.444,788.560526316,487.542058824,350.05875,46.7883333333,111.909166667,278.745833333,1138.824
mix_91,3079.57625,21.574,951.069473684,575.935735294,425.732083333,189.0625,131.982777778,143.718333333,515.686
mix_92,3217.6159375,17.078,770.25,485.676470588,343.046666667,56.3033333333,110.676111111,302.270833333,994.757
mix_93,2794.385625,17.006,1355.245,713.050147059,372.519583333,54.8483333333,185.459166667,103.954166667,326.2
mix_94,2802.4025,17.86,1070.30657895,592.727941176,439.333333333,210.043333333,145.345,108.9275,637.067
mix_95,3212.17125,29.823,924.429736842,539.141764706,458.066666667,235.076666667,137.02,90.1766666667,386.464
mix_96,3132.8978125,26.065,850.021315789,522.4475,503.55,315.993333333,125.5375,103.391666667,468.602
mix_97,3106.77,17.89,884.732631579,527.525588235,370.75125,86.2666666667,121.811111111,211.479166667,893.982
mix_98,3248.616875,19.889,842.252894737,511.255441176,349.773333333,67.9933333333,118.174722222,260.876666667,804.775
mix_99,3291.38,14.542,92.1742105263,220.123529412,346.449583333,108.3475,32.5805555556,616.753333333,2148.924
mix_100,3258.5159375,17.517,719.548684211,465.195441176,352.288333333,72.3816666667,103.660277778,304.718333333,1050.443
