Gene,B cells naive,B cells memory,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated
mix_1,360.667220837,197.833317366,416.877362928,1219.87718352,546.652294473,1891.47800124,258.043139872,350.372286559,351.141965067,266.042350532,237.09283259
mix_2,372.843204908,211.04371595,368.213707617,1013.84092931,411.01709707,1342.85640798,161.984428426,287.17210173,250.521649247,395.125638846,321.164501896
mix_3,274.187724352,188.927799494,280.209971031,753.816203418,296.534753351,789.240845702,339.518099728,367.350439344,410.630232998,273.270997622,262.540734464
mix_4,410.167289395,235.562970067,534.341006188,1422.39375487,658.244458337,1675.67625982,197.427684476,344.880093202,239.710252258,225.595936234,222.974965231
mix_5,345.339371891,218.337756464,422.942244391,1152.38857076,500.572447035,1448.21660691,270.50777545,347.395068268,291.372155502,234.344061423,235.126231429
mix_6,383.347291879,226.475788507,494.4097392,1382.32994176,618.137069513,1717.81153623,191.896620694,333.598591656,233.854661345,145.199090728,139.276875712
mix_7,327.07871713,201.732562261,359.856457326,983.845922795,391.89110512,1196.16357797,284.347638095,342.14031205,314.086772116,311.687839923,282.440298281
mix_8,311.153680295,159.613102853,345.045918787,980.287328617,400.906206344,1324.68427983,242.831306322,308.868096231,274.806016064,306.390170397,266.074790742
mix_9,426.850264161,271.998419945,578.756859834,1563.58759988,738.176668575,2004.90544545,176.775082023,352.914937853,233.495986554,125.806932443,129.58996982
mix_10,409.463108427,275.554186003,475.093185045,1194.46354316,524.318410363,1094.38220312,267.01138651,383.728133143,406.617446316,295.464812803,291.636802705
mix_11,450.517094679,300.736169214,461.169122808,1259.85585916,583.404219881,1897.45746567,209.356385659,347.853051066,355.740928871,346.036118434,307.955285313
mix_12,336.014321331,181.432598609,469.080549092,1269.18061334,562.510123268,1467.03612249,262.560466679,361.318336718,297.624280064,188.250121748,203.781000507
mix_13,368.872396319,192.927872886,525.453224712,1433.8248378,635.893016103,1449.6328379,185.209413773,339.714784085,305.812905416,143.380006132,142.47691552
mix_14,451.09048644,304.081224252,560.438331978,1472.9253041,707.836462049,1708.38517317,235.948599005,392.020697848,358.546258004,216.643658116,225.392258368
mix_15,323.454131072,192.985737086,406.901965936,1117.45387559,485.725215697,1410.00616656,229.393588095,330.857836708,271.707990354,168.456010343,152.790121135
mix_16,263.843258965,192.062629834,273.463792711,699.200621881,247.578074857,690.179356736,290.315365942,329.836843156,320.840791101,156.634301825,132.847794788
mix_17,267.991466526,160.136570877,295.356910722,762.050664306,279.634120309,661.898161077,269.549990617,328.903068211,302.752151743,225.427994888,197.736386493
mix_18,403.364830624,229.608812981,474.725530919,1228.21657992,546.680003978,922.511079862,223.001794077,371.761813728,397.806531367,342.835510548,321.289927053
mix_19,259.794080075,150.72729856,289.125748239,816.994192143,296.709385943,867.006466047,309.812146778,354.646945338,398.956784999,263.367612097,237.188566548
mix_20,387.08031401,240.024100575,485.587140729,1325.96192875,601.568015854,1542.48081089,146.42503089,313.109317695,234.367815374,120.694785201,110.503836822
mix_21,285.170305768,161.890321107,396.573272528,1059.30716168,438.149096493,871.406031662,237.727980641,347.014774337,311.055037506,128.952468387,129.828202891
mix_22,419.407208414,258.595252384,492.621837061,1347.82561005,633.344369453,1796.77891024,304.974188831,404.082767545,398.118610413,345.463354673,348.990172002
mix_23,425.382543639,264.217709773,519.328183627,1394.31439697,623.995301351,1713.94545485,181.704988527,354.164443496,323.839248447,214.467768877,193.489675509
mix_24,319.466735094,194.425459602,432.27199202,1180.85293411,504.215592092,1323.93049552,237.651121476,337.753354367,256.907550724,136.008972527,138.890149394
mix_25,422.792774262,255.893837075,571.891292421,1517.94085118,697.866390273,1798.96136292,164.379127898,347.176237569,245.256390884,108.473927784,114.193828407
mix_26,284.69472906,166.333572805,365.957857653,990.699225171,411.235593005,761.839921535,292.495329772,371.125519843,394.697925095,176.419314627,176.571187602
mix_27,410.999511887,269.819714412,488.537656164,1372.81417855,594.537846807,1892.44513051,206.830627444,350.540297232,311.471659869,186.57206375,167.548623534
mix_28,362.290047074,229.475663652,478.84126016,1299.25282856,595.24010885,1578.96271936,191.920310008,333.175690063,253.403956046,148.387446111,139.171731922
mix_29,400.032212668,235.277157983,438.715229836,1225.62715546,560.919584951,1785.25622421,237.338974794,342.455529317,328.664256154,370.486474104,327.302839438
mix_30,397.516977041,245.154369976,541.727600066,1457.44383812,667.507798164,1702.21544478,198.724942975,359.649474925,268.906773694,157.431110582,165.431910082
mix_31,375.657654712,211.958126447,479.251186355,1287.06943626,570.219648115,1429.34913348,232.67020491,364.657449874,346.498696587,283.300161968,271.194473926
mix_32,499.924291756,342.024746799,619.747409085,1555.77928898,744.333347196,1796.8623094,258.197075214,418.523487031,415.337981567,340.059442986,344.36713153
mix_33,340.814368762,218.342297816,467.370464974,1257.01824003,558.244476819,1169.64728408,260.412990175,391.775430132,400.752136907,112.849469793,127.866760791
mix_34,340.042165446,197.86103275,339.50861202,861.974353697,326.471729783,663.564430663,291.18271845,361.117711848,433.436269743,466.323672226,416.744239001
mix_35,373.513145879,194.713045456,490.015024856,1325.53455216,597.851712058,1600.08092966,252.180239811,362.273235341,303.072378521,298.184671898,287.811947436
mix_36,376.191286069,220.895138257,445.249472966,1207.79992368,531.500928359,1429.71529153,290.123965184,375.280333085,354.708224522,305.388529701,298.233317885
mix_37,273.645445643,164.033165902,335.792181908,909.937548576,367.935318543,948.952082202,270.742695134,335.376978789,318.518778917,190.744953843,173.205352866
mix_38,297.560888089,200.647325058,343.060558114,963.859589515,407.879466022,1197.70545324,289.222567666,351.134628447,352.009664522,172.304764003,161.891035209
mix_39,384.850599461,218.37546805,479.550941672,1289.04510821,569.643630069,1619.5700927,185.483156517,322.702728074,241.01607911,246.107198643,223.035123063
mix_40,383.908448275,227.357375221,463.36874566,1252.67758944,570.950837595,1386.81688146,297.880847156,382.106925648,389.838443904,306.755692659,313.888605985
mix_41,314.461395376,191.038773406,359.708804044,972.302654587,407.750449037,837.900003085,308.972222813,373.046218296,428.46443763,233.587013605,233.126568042
mix_42,507.73316942,299.899084517,623.154947517,1528.93474695,723.570294139,1443.05231469,151.926405578,359.853478294,274.535553383,435.991389471,413.921802922
mix_43,349.298180629,231.376609487,393.523651293,1021.57554449,432.203420412,822.97611913,276.295548016,375.831534317,410.033553536,271.464453068,261.709943506
mix_44,431.901602445,283.885749955,482.399357015,1283.50667552,568.949805885,1617.46478133,181.269534184,339.197181613,302.838553203,254.899274497,208.34977064
mix_45,382.076505258,209.537520204,414.932643442,1141.84293397,505.264700381,1446.05583934,243.681468459,326.76473741,289.213431391,436.235716419,394.919926952
mix_46,330.899852505,219.556627321,411.264851553,1106.16796899,472.89511857,1104.212631,328.869617063,409.314344325,463.508806931,221.435207024,223.270170644
mix_47,210.298489511,145.019786084,180.97579535,465.221480702,131.945888669,290.196298603,279.718254564,295.922864312,316.552818486,154.63376117,112.79976265
mix_48,451.886302729,286.561848274,519.942593533,1322.08353286,608.745054623,1223.23395555,228.167217004,382.922812021,385.85040758,338.076784576,326.719060071
mix_49,464.388286098,319.327066258,480.368994045,1257.98397568,617.814369361,1676.44033663,396.311357272,457.030764669,545.512920941,498.099589804,494.135896554
mix_50,389.599220248,210.743650875,492.365904777,1310.918828,603.911086333,1686.51007644,212.449893327,336.713705246,253.723756855,338.20443375,319.183491714
mix_51,290.264852352,187.159362097,334.925053976,861.073920552,347.469554514,644.422664994,305.599063087,364.678816379,388.996610244,228.688747648,224.433908185
mix_52,330.412978878,209.061296174,367.248614709,983.170917151,394.86010903,881.01891827,282.629756452,372.48015908,400.224902452,260.556586664,247.429122218
mix_53,407.131181248,287.395775617,391.317604308,1013.78083283,405.174064825,950.902183742,249.917965276,347.367293123,388.985234721,334.251142215,289.4449777
mix_54,357.403739091,231.196936807,468.463278074,1281.08857926,566.596012378,1366.06382882,238.650287294,362.253417769,319.773257977,113.418609472,130.730155549
mix_55,322.989291466,173.773304873,434.275074925,1171.74882217,500.470060012,908.25772129,227.18550525,356.635606622,344.300283128,178.752086889,176.717372577
mix_56,379.110284384,233.547549211,544.935280748,1467.51447633,691.802262371,1637.00006949,248.024454806,403.43562206,362.869971677,123.617201468,153.873605353
mix_57,423.205018346,265.927642377,547.924993652,1452.3206393,681.570943535,1876.2843735,224.009210178,346.906870018,275.549192494,230.662137654,227.667121622
mix_58,314.629622659,179.276979755,428.568298979,1206.88201135,530.684081178,1454.57016093,235.518781253,345.783303395,283.210754371,125.529064979,127.107087309
mix_59,355.666521419,249.418997393,330.503358496,852.438897614,346.91279991,821.75355208,324.389020115,362.448921697,422.558187565,383.226541769,349.289562846
mix_60,347.145940429,220.718403976,445.974837043,1234.56774624,544.479600569,1157.18511093,231.633081146,375.563611944,360.449942136,117.389363967,131.099908266
mix_61,353.326387327,228.437781466,441.391634627,1171.94352711,512.372472164,1390.42411277,276.898178366,363.474101742,331.830421595,214.364240732,219.380919493
mix_62,276.638249118,189.054402278,335.601265811,947.641844794,389.413632055,1025.31496378,316.86277159,376.772930499,399.246620045,161.759064229,164.257583474
mix_63,325.288340454,188.985080196,465.8049747,1282.00136806,571.379387794,1494.95659439,243.918006523,358.824279813,297.439903591,110.279845544,125.895313488
mix_64,269.7414999,185.58120413,205.178417881,506.681174234,137.104432473,372.234770067,270.974000084,292.727338638,299.904549236,303.083541952,231.826700984
mix_65,318.404421008,192.745860757,335.408344936,895.060539726,372.620342518,859.101428225,292.190302712,368.497163378,421.949825809,245.914705532,229.074288984
mix_66,396.466239407,256.352076307,357.809100598,928.027018969,374.374984031,1129.75464944,261.515633732,344.754511153,388.018393688,477.261321877,413.738949733
mix_67,376.450723789,270.148482773,408.794597972,1164.90485191,487.984501728,1650.75555516,280.700235289,360.62409622,364.357284999,148.820497181,139.372441393
mix_68,312.725241135,178.085535285,375.711087206,1048.50927007,418.556035023,1072.22087576,239.468938136,331.433762325,292.387684534,259.18867694,232.46947209
mix_69,416.293897209,252.702982461,505.592486476,1332.1469502,543.843387113,1394.8311238,194.167285915,328.739264005,242.37473081,188.687422068,171.441790627
mix_70,260.527578836,153.750490339,355.318660138,950.505315613,385.113406303,781.637758271,291.042985989,366.144432135,355.923405142,166.212119696,172.234256171
mix_71,304.368818369,189.242156439,352.743529989,992.384986481,399.56232448,1139.33284513,253.917476323,347.170144623,336.045676477,172.943535862,164.83163488
mix_72,273.614917189,209.918226067,339.582276241,903.71264509,392.292752203,1071.72450631,324.238931644,359.161430787,384.516516146,112.095230112,119.223554034
mix_73,258.761036904,180.311469371,360.892939164,977.083633976,424.763124127,834.669077668,299.061530524,364.874334982,323.981526229,88.2523569038,103.973887197
mix_74,446.01912099,270.767402174,614.893258967,1617.26267026,756.219178958,1861.66905973,144.207455371,355.032669218,274.845945724,182.402214285,181.471013596
mix_75,377.820671675,246.716368885,473.736146028,1226.90954468,549.472192283,1143.36283508,237.15562317,372.903996202,341.822418855,187.534761702,189.571462058
mix_76,319.808337173,208.908192357,367.853053571,1030.67893041,449.995885331,1450.08729773,325.626798976,374.093135497,380.224544694,234.777435194,227.728283115
mix_77,408.008349825,255.5896265,489.453794154,1314.52683471,598.816574451,1512.00114071,220.177633035,350.718456714,304.607303408,251.239815115,239.33673211
mix_78,304.154278143,185.101006183,395.179841272,1096.61425354,464.519215534,1067.87310206,248.876165841,343.766440747,317.419001674,102.4427199,111.525663028
mix_79,317.11204557,292.199695463,292.558451779,759.318714224,333.391113682,680.307941709,351.830117675,380.768954422,426.024662063,144.333392088,145.708521365
mix_80,423.160928273,307.02332133,428.946067129,1081.76270689,452.164228688,962.758684819,281.938640634,392.385635335,440.865787362,255.007625343,247.138407906
mix_81,343.960353693,261.658990777,304.610776182,786.985903264,285.298369031,724.514123348,303.020261483,379.151769394,490.435120563,273.750550259,232.721171492
mix_82,209.613346492,113.91795343,199.847513591,489.594169013,147.266905974,365.400116733,355.511206417,342.977409165,369.289813931,395.637414044,352.780682873
mix_83,300.673709635,147.729798587,427.121603072,1095.03742947,481.809483961,891.480965689,275.375423287,355.657788145,294.229939974,250.24061495,255.930433899
mix_84,320.119522787,182.357785292,378.403063659,1045.66302895,444.682382645,1267.9463327,276.263715175,342.143950584,313.541732739,273.826151617,257.305493299
mix_85,303.474540923,186.167990934,301.073239848,834.129213335,341.855170064,878.656466996,316.680908469,358.915007406,408.67119985,347.412808762,310.40417483
mix_86,346.041209886,223.524997068,455.878533921,1228.43167445,541.261815599,1434.6012655,237.444447922,350.439441352,276.436037313,113.03685849,122.839560269
mix_87,498.682008681,345.8031218,657.323460051,1744.10671172,858.443210011,2391.72373757,221.286773093,417.306177033,349.40104907,174.835707287,207.357174334
mix_88,389.325192146,252.67868133,509.758590865,1377.65505562,647.583301027,1645.66183428,245.75583097,380.136384462,368.560280468,204.756481734,208.286565013
mix_89,331.642990772,299.726793868,263.525495991,669.752493984,237.801018594,538.638184696,280.592054452,366.791854628,451.798083021,159.471246479,112.98456539
mix_90,435.078820343,231.820241791,582.484397964,1575.72462761,778.731289406,2162.36120996,193.555373362,350.567277672,273.261854742,302.615963381,296.171242939
mix_91,367.00327801,194.422950945,475.497725571,1305.38116805,605.772448918,1615.88360539,263.830110786,371.717017593,324.74472318,303.168439257,306.869451548
mix_92,381.772495095,217.899149684,491.539239271,1314.56510684,577.448052259,1421.46655259,184.391432043,338.192664803,279.114198499,237.097374329,220.03027578
mix_93,237.837119472,182.747475729,287.778900617,726.093304004,259.433770177,569.983261759,329.252572703,349.541622734,309.728205992,96.5924361076,102.866164203
mix_94,416.495008167,245.513469445,575.687690132,1519.57588541,722.211366509,1844.25434965,212.020493701,369.862436884,290.482881676,240.391535584,251.791484752
