Mixture	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	P-value	Correlation	RMSE	Absolute score (sig.score)
Mix_1	0.206599189605567	0.14085186085258	0.260802170606695	0	0	0.0794332431535047	0.143339639097545	0	0.160642106479929	9999	0.990981374271991	0.1906096562915	0.99166820979582
Mix_2	0.117473575086023	0.238076099542058	0.354354333565357	0.0252850237367619	0	0.0421167359972086	0.132721290227231	0	0.0921557793801921	9999	0.995498145951863	0.141244270164261	1.00218283753483
Mix_3	0.132463622023055	0.12648125107608	0.187662111533728	0	0	0.0732728848117935	0.231135143112824	0.100615781448514	0.151294562522946	9999	0.996947137288387	0.105005392792395	1.00292535652894
Mix_4	0.0919271986082268	0.168553617225139	0.274064772007229	0.00990448618638746	0	0.0681685721213948	0.233570498002189	0.0420120954697451	0.109154586206981	9999	0.997104633462586	0.106869946804712	0.997355825827292
Mix_5	0.0479561347748608	0.364126185344066	0.263574133388602	0.0167318733691099	0	0.00264623299569327	0.212014438887147	0	0.0897253100930484	9999	0.994859804152938	0.122979011735166	0.996774308852528
Mix_6	0.249637780096528	0.189630314179238	0.214739280870681	0	0	0.0680683218816596	0.117287849308306	0	0.153175476016691	9999	0.991325147355239	0.207516366416477	0.992539022353104
Mix_7	0.0634994708699101	0.195191143934583	0.320021223846026	0.0123841349598826	0	0.0583644134227112	0.17860548778221	0.0923110914805294	0.079623033704148	9999	0.99730613618073	0.0911762932695354	1
Mix_8	0.192277833239928	0.262512438658572	0.401166827718905	0.0334161128275995	0	0.0132348747744985	0.0540745635376118	0	0.0415695997628084	9999	0.996082661459487	0.173726868474459	0.998252250519923
Mix_9	0.11793273650327	0.250629604731175	0.338493601557175	0.0152442284827805	0	0.00480945871152613	0.17333506510671	0.000594822778074233	0.0936017810899381	9999	0.997019538088154	0.129652631288083	0.994641298960648
Mix_10	0.179176642377982	0.279720396158698	0.20288399558659	0	0	0.057484159123542	0.135922220906814	0.0575046594093593	0.0935902731192235	9999	0.995826579815694	0.155344906264442	1.00628234668221
