B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage	otherCells
S10001	5.15169523029105e-08	0.0514735309660886	3.74042455821701e-08	0.0276644639824128	0.0574196724078157	0.0448811547707879	0.818561088951697
S10006	6.1633512061905e-06	0.0518529266292846	1.14104636660483e-08	0.0293559651489078	0.0581215420720349	0.0444780556319467	0.816185335756156
S1001	2.09685918353458e-06	0.0523996957728905	4.94657687817388e-09	0.030677607239961	0.0568778369142299	0.0465667121535158	0.813476046113642
S10010	2.67619418653025e-08	0.0518947958596391	4.5028905751305e-09	0.0291117484543223	0.0564854187094991	0.0476731110584876	0.81483489465322
S10011	2.40504654786521e-10	0.0553430630080096	1.13929913026888e-07	0.028235502187419	0.0571822583885098	0.0451733174517105	0.814065744793933
S10014	1.15525047570754e-08	0.0511495358112972	1.90562545402349e-06	0.0282640855486228	0.0579411400767987	0.046057982302519	0.816585339082804
S10026	1.25549749118168e-05	0.0544752443431487	6.88397061396216e-09	0.0295933960278742	0.0568802985944297	0.0463444989943175	0.812694000181348
S10032	7.75254011367288e-08	0.0521510046310781	5.34410904454237e-09	0.0300432652214542	0.0573417915879651	0.0473833185879872	0.813080537102005
S10036	2.43491461176605e-07	0.052343163422144	6.3252285782908e-09	0.0305436771542859	0.0567958934615068	0.0440755835169857	0.816241432628388
S10042	3.25259592831007e-08	0.0532848690511504	3.73805015225076e-08	0.0307504043385935	0.0564649659645263	0.0461250149214681	0.813374675817801
S10044	1.02634054270436e-08	0.0548932990339382	7.75563611478711e-09	0.0298386984205475	0.0564993294023527	0.0461593812274397	0.81260927389668
S10049	1.10666909135135e-08	0.0549916210710558	1.61247341694886e-08	0.0284970632108938	0.05726014766653	0.0457917064426034	0.813459434417492
S10057	2.63183303613782e-08	0.0508320988366861	2.61525638958184e-08	0.0286795561930927	0.0585875593935614	0.0426852121232382	0.819215520982527
S10062	3.48639905464722e-07	0.0538706556210048	1.21581524648539e-08	0.0284599579519506	0.0574630574125436	0.046311966441088	0.813894001775355
S10066	1.0575565452206e-08	0.0512366154877059	1.62337428907631e-06	0.028522311624591	0.0568878656256789	0.0471695284686934	0.816182044843476
S10067	8.91309339096754e-09	0.0557514507133788	8.0900871270017e-09	0.0295243101138664	0.056638471865691	0.0448005531360588	0.813285197167825
S1007	6.2585252010879e-11	0.0510776618575024	8.68916448959242e-08	0.030318603132684	0.0566653020269148	0.045217247422948	0.816721098605721
S10073	1.01689511232152e-09	0.0566388328353243	6.47673203430099e-09	0.0292865055265184	0.0560171167834316	0.0456742578268187	0.81238327953428
S10077	1.26450571047688e-07	0.0508889438037009	1.79478996721021e-09	0.0305341682861468	0.0566399396017338	0.0453859997681757	0.816550820294882
S10080	1.4610314755432e-08	0.0527973555365405	2.8328684977905e-08	0.0297724862847165	0.0566097196788843	0.0462196452017316	0.814600750359127
S10082	1.39934831789386e-08	0.0559630481468609	1.22031929855252e-08	0.0289143861957713	0.0564688161556819	0.0456742542712674	0.812979469033742
S10087	6.93205251578356e-08	0.0542199221728999	1.00461876704113e-08	0.0283381669829149	0.0571577224115888	0.0463701901439885	0.813913918921895
S10089	1.22595602050231e-08	0.0520942047551337	1.51340539668246e-07	0.0282594186473015	0.0569667788303703	0.044248354607255	0.81843107955984
S1009	8.22730420024952e-08	0.0568824275248207	1.55865509355039e-08	0.0292625070202255	0.0564848783579011	0.0443921682861359	0.812977920951324
S10090	1.60720001626506e-08	0.0519873781084161	3.93117565343218e-09	0.0258508777107511	0.0587778809721699	0.0429435729777576	0.820440270227729
S10093	6.14708873280629e-08	0.0499071508584688	1.08562215272722e-09	0.0314959741839356	0.0578402002998485	0.0443816150784593	0.816374997022778
S10094	3.30666226581741e-08	0.0529831107126516	9.09249687387465e-09	0.029923777597363	0.0559508449862886	0.0471736944583645	0.813968530086213
S1010	1.61779896012328e-08	0.0527853865522646	8.54702008342729e-09	0.0286442886477221	0.0573713149955719	0.0454781861993947	0.815720798880037
S10111	3.91578972708181e-08	0.0551417880381313	1.64131875570471e-09	0.0298864644968011	0.0568076245096202	0.0461302968537005	0.812033785302531
S10116	1.96889719601845e-08	0.0553309659087052	3.06701361397212e-08	0.0288360839755469	0.056753373824083	0.0442613672133325	0.814818158719224
S10119	2.29723031567802e-08	0.0554182351935492	1.74979792625147e-08	0.0300952684847098	0.0565209293401007	0.0440130802624154	0.813952446248942
S10121	1.66834692664011e-08	0.0539902450037021	7.70316365127003e-09	0.0279931437447611	0.0570071700383203	0.0447711237553497	0.816238293071234
S10130	1.289501347527e-08	0.0510504696692658	6.55456570044228e-09	0.0296363124020637	0.0563663158277019	0.0444246397555687	0.818522242895821
S10140	2.77351593158149e-08	0.0504980137829979	1.52843557717376e-07	0.0321273732685162	0.0554949359145335	0.0479204601304425	0.813959036324793
S10142	1.19211280545114e-07	0.0528500651772917	1.78285427621824e-09	0.0299600602997521	0.0570730532205894	0.045011259634629	0.815105440673603
S10150	3.12156865147303e-08	0.0483657128650567	6.010084943836e-08	0.02980654685276	0.0568408862987345	0.0468369326801723	0.81814982998674
S10155	1.75473742286519e-08	0.0553770184577615	3.91392545517544e-09	0.0292106701181479	0.056690306588918	0.0451123378290862	0.813609645544787
S1016	1.75777577248779e-09	0.051787177207437	1.72176068154907e-07	0.0278505730188431	0.0581219424497638	0.0448270384797079	0.817413094910404
S10163	4.17073221826111e-08	0.0516985190640005	8.14591326031117e-07	0.0301030125171257	0.0563189336929035	0.045933776776008	0.815944901651314
S10167	6.12722889667572e-08	0.0524670983527206	1.23319143047021e-08	0.0311046384389836	0.056576689051202	0.044912100241213	0.814939400311678
S10168	4.80686659990862e-09	0.0556236056498716	6.31266794945751e-09	0.0288672764728842	0.0567230391850303	0.0442173783082232	0.814568689264456
S10173	1.27406727846894e-08	0.0578914297137935	7.0618131927152e-06	0.0296366149399924	0.0567937805638692	0.0427773188797241	0.812893781348755
S10175	2.83608888725472e-09	0.0526391548231189	4.60986126136279e-08	0.0305764319497291	0.0554078571604616	0.046028513662697	0.815347993469292
S10179	2.93890810432326e-08	0.0545296051983685	8.27323272821162e-11	0.0326827958896844	0.0561624702851225	0.0459078114786435	0.810717287676368
S10186	3.75989243512785e-09	0.0549540008425618	1.36449597336941e-05	0.0305748418446337	0.0564308357225274	0.0442372479680049	0.813789424902646
S1019	1.53524519504223e-08	0.0537345919678681	3.16596036421228e-08	0.0288708020763151	0.0572086492892591	0.0444875762214805	0.815698333433022
S10190	9.96901826127348e-08	0.0561433962547099	1.83091495280182e-09	0.0301433891626312	0.0567994497739458	0.0463217340550252	0.81059192923259
S10195	3.85796658938736e-06	0.051676799714519	1.11266988288345e-08	0.0278065979761353	0.0583100145321028	0.0467400464798206	0.815462672204134
S10196	5.33108410126373e-08	0.0534692640348734	1.71713122213866e-06	0.0297174604517318	0.0573451079665626	0.0460614142051427	0.813404982899626
S10200	2.50805114137134e-07	0.0520036251927824	6.96772553742366e-09	0.029333015584054	0.056730187121136	0.0466269577755627	0.815305956553625
S10201	9.20216193021461e-09	0.0469102755858447	8.91396444244516e-08	0.0277123164097776	0.0576629883348044	0.0459688266382566	0.82174549468951
S10202	6.34051337597898e-09	0.052882023153951	3.53344801868562e-08	0.0289916545248273	0.0566171285299323	0.0459402424013988	0.815568909714897
S10205	6.74442035153271e-09	0.0541443097050591	1.10700451944829e-08	0.0295445038076882	0.0568234661228952	0.0468712368316755	0.812616465718216
S10211	1.05921659504491e-06	0.0505429490102216	4.00140002679765e-09	0.0311978022063188	0.0572725502901713	0.0450473658788185	0.815938269396475
S10221	2.95322937386537e-08	0.0533970113258338	1.19415708645165e-06	0.0315142573757845	0.0565364227977846	0.0461522330700254	0.812398851741192
S10222	5.0810951025583e-08	0.0504987234571823	1.38643036399388e-08	0.0296868359001631	0.0569855962297219	0.0449644401282012	0.817864339609477
S10226	1.17175818271468e-08	0.053160712176174	1.68042893623366e-08	0.0285522076774207	0.0571165989884255	0.0463655960011913	0.814804856634917
S10227	1.50519551630524e-08	0.0521115232177775	1.00026396241546e-06	0.0295014792627524	0.0569286227504832	0.0464938959973725	0.814963463455697
S10228	1.20022796320433e-07	0.0532426628747337	4.58442941348091e-09	0.0281562998754895	0.0576043807012257	0.0459328604623871	0.815063671478938
S10232	3.6743410252328e-08	0.0552855237938163	1.19987398083409e-08	0.0303940868010679	0.0569745816515448	0.042816574335824	0.814529184675597
S10248	5.29152479874862e-08	0.0563377528743871	2.47024985471069e-08	0.0301160042543589	0.056535849073345	0.0442029074095055	0.812807408770657
