Gene,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated,Plasma cells,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,Dendritic cells resting,Dendritic cells activated,Eosinophils
Mix_1,447.359972107,194.724511259,405.523185834,557.262184222,2297.45720238,228.194503872,127.317856751,365.620016154,63.947215005,245.8298675,125.648040716,127.393061957,505.529748856,85.1755937514,50.1444008333,153.473316002,556.655265011,700.274420046,1106.36544314,527.389804584,45.3396237518,106.054534172
Mix_2,775.73611062,310.165158718,193.949282598,462.05097696,1809.15742148,161.252245407,152.617573228,435.761790442,75.7235693375,198.382746835,61.2071406851,114.082673031,260.114757708,43.536618898,31.3298140097,186.560175528,666.899425861,1000.73767132,868.604315159,494.419932805,53.7926995294,89.5559777829
Mix_3,404.787483364,132.4442831,175.504116646,688.530082174,2900.84115148,146.667576872,167.086272145,452.12825223,74.648809795,585.013722095,57.3290758163,93.5009144063,252.087360958,57.0454557205,31.7654509783,147.921116701,719.911004001,786.53181797,1604.15527447,290.565639097,35.2949455283,80.1195263585
Mix_4,510.223878743,168.659807159,115.16591282,640.723893212,2634.09217036,134.998677033,180.411659542,494.979025788,78.8124705025,458.759156612,40.5225251909,92.5555183388,180.246201185,43.1872173072,26.7749544405,150.399064165,752.096147041,925.614961687,1409.38206832,287.802752945,40.8906207969,78.1122886311
Mix_5,1050.55356991,417.826380166,54.2752247359,588.128947554,2536.28450744,120.732627559,109.242606299,307.224133668,65.58608027,258.123852635,19.8241434054,99.7938948583,109.472459518,34.8188650143,18.7388800795,181.361971786,641.173572467,1008.21620625,1212.83602894,510.845505598,55.5413652857,85.1268493757
Mix_6,634.245159458,299.362864467,471.217354316,474.793924847,1980.70199546,250.001353492,92.5206721508,276.236786678,52.3220352875,314.357594117,148.397688927,141.596854767,584.18092305,93.4777825562,55.7250944967,153.775737858,469.047904107,639.523768315,1108.65288184,687.949687487,49.1316672817,114.42786579
Mix_7,607.76584859,209.51069075,77.447327999,497.764603338,1884.06134034,124.683988439,211.704285593,572.331965947,74.53745728,591.97215835,26.2208129459,93.4272868492,143.11742783,28.3152803225,21.0406035603,174.099802624,806.929530095,1052.88482547,1258.51907994,293.225432597,41.0366381518,74.1270909057
Mix_8,761.327517624,317.470469416,286.236445175,205.653774169,526.645743466,195.639765298,192.790883494,533.52031288,66.994718835,382.65452024,89.4987363689,134.107524734,371.465520082,54.9990428293,33.9500264425,203.156958199,694.391207382,1030.76395413,532.336414537,571.416667258,55.0744873381,93.4380172067
Mix_9,718.331709801,278.613438128,164.199420486,527.643805008,2144.15515839,151.826661728,156.598772005,431.888148192,75.7177067575,357.623219108,54.7523920683,108.299448048,239.055234688,46.6088400871,28.0692642885,171.707659951,686.276185191,955.331582107,1150.32003471,449.281495699,47.1863969624,87.9041568927
Mix_10,842.110583114,359.532130879,277.439589781,428.26954356,1800.17215175,193.061561979,114.673018372,327.836191485,52.2887233425,428.118638147,89.3791164624,125.028409813,367.675218797,61.456226785,36.0663921445,180.543228279,567.525052638,812.460989894,1107.79658882,616.6749436,53.2696084843,97.5226189319
