naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	otherCells
A	0.0212595339848278	0.00041774378597746	0.0324942697378735	1.54169873321018e-06	3.15870296371571e-06	0.15030667715839	0.157107493655863	0.0609946297539691	0.00015768303691243	0.00882466841783752	1.84628785218327e-05	4.29768918588901e-05	0.0833717180734851	8.08976404288724e-07	2.16025012922435e-05	6.50686017112648e-05	2.93394444543284e-05	1.80014422443864e-05	2.73484621215762e-05	0.27580142678528	0.209035846009278
B	0.00221881675623665	0.0244904917225066	0.0383377004330905	1.19736348215904e-05	1.65990252059176e-05	0.14819494415934	0.155705094430476	0.0598452797275935	0.000449032736013143	0.00774934047691308	1.75311852292958e-05	4.75196016832073e-05	0.0805187425171786	2.70321432322388e-05	1.54080789847978e-06	5.04423580550104e-06	8.89223349554694e-05	2.82793499421442e-05	3.81035504249561e-05	0.273109339218958	0.209098671952495
C	0.000504401341560197	0.0140092869221408	0.00857629641078121	0.000111890047487118	6.09995608733292e-06	0.152583552751477	0.140345224599118	0.101312364376132	0.000220662020407782	0.00790937932385618	0.000125491575047061	2.14494517068632e-05	0.0972262029569804	2.50920235961833e-07	2.71542859042398e-05	0.000248487568054102	2.4124776004379e-05	9.54541507108091e-06	2.68014747471973e-05	0.273596065549215	0.203115268277986
D	0.014157118858419	0.00178626572092227	0.0129448765357805	7.97228344160787e-06	1.56016568948918e-05	0.157560900569514	0.136829980798645	0.0977803363968471	0.00017509448924094	0.00490775238979045	1.82942593364522e-05	4.23571169319572e-05	0.0978488372732809	6.21929277437416e-06	3.06036239489212e-06	0.000142469366601676	3.88328497355395e-05	1.55318185774736e-05	4.35208829995101e-05	0.2734811261393	0.202193850938572
E	0.000317578947491251	0.0185616757002154	0.0208396213087692	1.08448357448208e-05	5.52151847164261e-06	0.16352395275771	0.145095124165374	0.0574517935857157	0.0155837840071318	0.00787911870146038	4.7484496294014e-05	1.58615134036638e-06	0.0868129741771986	2.56158118122083e-06	1.36990920896971e-05	0.000184585286838088	6.15869744362381e-05	5.6220613849658e-05	1.44245823105976e-05	0.279700038948506	0.20383582256787
F	0.00539926710534409	0.0169838205323972	0.0223646990333348	2.01360512644764e-06	2.30511053070433e-06	0.185623862234476	0.155244971703606	0.0467777294306045	8.13821088285557e-05	0.00882815632888643	0.000116053774392187	8.41428694815221e-05	0.0859027155161297	5.70576930229363e-05	3.35495724631028e-05	7.12792403136853e-05	7.52961861537171e-05	1.07298164306224e-07	0.000166179955399461	0.272853153767732	0.199332256933613
G	0.0008123531576937	0.0267010365993718	0.0249106544775696	3.19618907636693e-05	7.75837068930037e-06	0.123516903481842	0.199419897663821	0.0510034588353978	4.02841296258832e-05	0.0169747928976988	2.01280021972488e-05	1.64794129652349e-05	0.0748307654166228	3.60924296242132e-05	2.06301249741835e-06	2.99254702792887e-05	9.82088753811071e-06	2.36084334025637e-05	5.01671521681608e-05	0.272435594308755	0.209126253969477
H	0.0175435516103708	0.00523873187217656	0.0468251251318162	3.94735149366854e-05	9.74856289232901e-06	0.12577405134292	0.160860614164403	0.0469069800584813	4.99772711386526e-05	0.0192324803076044	0.000194823573687424	7.22502577411935e-05	0.0846775675952572	4.18595434166315e-05	5.67180594965253e-05	0.000143596545449531	2.52695021971199e-06	1.79590004867265e-05	9.60539718454933e-05	0.282910621528644	0.209305289137015
I	0.0028609392732852	0.0203195788302514	0.0475934066123496	8.95916744249058e-06	4.08210221323565e-06	0.127166656782648	0.157380015356434	0.050423745710216	2.63530079837201e-05	0.0152779989106372	3.99012763212645e-05	0.000102126636060553	0.0813264906849852	7.69928096650599e-05	5.07004785586651e-05	0.000102721445248159	3.1907388074175e-05	1.96636791328747e-06	5.17689334066303e-05	0.287223485648417	0.209930202577889
J	0.00176471898821365	0.0162679574826028	0.000489669746427585	7.00638285062795e-06	1.66441612556535e-06	0.136022779481299	0.116737250340213	0.124013180327285	2.00172549240088e-05	0.00761264776316703	8.14618189398685e-05	6.90167061646363e-06	0.100967671507296	1.20933482501531e-06	5.97316541382442e-05	5.9472186288142e-05	1.76191475006077e-05	3.90752222815088e-06	0.000220081093887633	0.295069065625655	0.200575986255516
K	0.000211789912514912	0.0213396574392316	2.35910495637688e-05	1.08347042301898e-06	3.77062224452967e-06	0.178554143774722	0.115251434787055	0.0864751985018551	0.00860431949434441	0.00742583461807733	6.0586485053858e-05	1.17841198328298e-05	0.100450936580722	3.95394760612724e-06	5.81633152811902e-06	0.000590410356064309	0.000144946448667095	7.53630100924832e-06	6.82014159871515e-05	0.276947763988837	0.203817240354661
L	0.000144862758815712	0.00933163012839473	0.00220151863735262	5.44326707167481e-05	2.43600263727891e-06	0.12661935955613	0.143739092225725	0.123200785566768	7.70766143263267e-06	0.00752155371591521	8.06046692385364e-06	9.1002356822401e-06	0.104136871741506	7.88235048944197e-05	5.99522550431359e-05	0.000135948456547887	3.1544994092765e-05	4.44940844818533e-06	0.000125270789915517	0.280478796818546	0.202107802404511
