B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
Mix_1	5.21195668177085e-05	6.14819572723122e-05	0.000102473482678065	0.000104057356133278	6.60343597064366e-05	5.12520366960737e-05	6.86140845052234e-05	0.000107463833063871	0.000111437813188315	7.33623594050865e-05	0.00011949722028595	5.17568500912048e-05	6.69894324596427e-05	3.5930432434894e-05	8.23026986341076e-05	5.56432261184905e-05	4.91746369116441e-05	6.27469450313413e-05	8.45947419007251e-05	3.81812954124219e-05	6.28228917242733e-05
Mix_2	4.39138272347311e-05	3.15591765531815e-05	2.60809920302131e-05	2.36014765522978e-05	2.35490336484479e-05	2.12117682474968e-05	2.82140373734981e-05	2.0932014802165e-05	2.51196620632864e-05	2.72021169902391e-05	1.66601567733046e-06	3.10923207399953e-05	2.2800285182462e-05	1.12243214575176e-06	2.91281846678163e-05	3.20927723276911e-05	3.33644269444459e-05	3.10923991943348e-05	4.10552568918573e-05	3.13308065627413e-05	2.68623445496641e-05
Mix_3	0	0	0	0	1.31716476093241e-06	5.42163828724439e-06	0	0	0	2.16333038626078e-05	0	1.60628062152326e-06	5.29809054770647e-09	0	0	1.33559359105088e-05	9.91656175817106e-06	1.91171719929801e-05	0	8.68089671948368e-06	0
Mix_4	0	1.74927356969048e-06	0	0	2.43890134176041e-06	5.98124438242921e-06	1.8248030056032e-06	0	0	2.33943136115125e-05	0	5.89288930589422e-06	2.80559364644699e-06	0	0	1.90144419961373e-05	1.82159950991064e-05	2.25489878602781e-05	8.57209036499522e-06	1.76399496114921e-05	3.80594005186661e-06
Mix_5	7.87982459019317e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mix_6	4.55775451899306e-05	4.68245515033411e-05	9.00914728709043e-05	7.6788597319976e-05	3.7785518775088e-05	3.04601499778002e-05	4.34350411871034e-05	9.36181163260846e-05	9.60764089478072e-05	3.34780973701764e-05	8.3320795021224e-05	3.4158731998345e-05	3.81647257260952e-05	3.8298268812411e-05	6.69701584966668e-05	2.78153089773933e-05	1.94676492783126e-05	3.20524908934804e-05	4.54302954767308e-05	1.17362457129712e-05	3.28470603524633e-05
Mix_7	0	0	0	0	0	3.57671070203495e-06	0	0	0	0	0	2.00427640856471e-06	0	0	0	6.62905241687396e-06	1.02672465588549e-05	4.25993466230003e-06	0	1.39889751240897e-05	0
Mix_8	4.4384910296204e-05	3.93310990706234e-05	3.25139662687832e-05	8.5162113144174e-06	3.50865383767878e-05	3.43368896167989e-05	3.8995567266511e-05	2.79201941547874e-05	2.94218322921268e-05	0	0	3.57472802433285e-05	1.13425658596273e-05	2.0090872280258e-05	3.40907996911738e-05	2.39046164366118e-05	3.04069488469065e-05	1.56798484672455e-05	1.9887679969275e-05	3.213973124448e-05	3.87754661319619e-05
Mix_9	1.84482103013352e-05	1.18546064427038e-05	0	0	3.50229495002977e-06	6.66785275384035e-06	6.79834092676516e-06	0	0	1.27981884650921e-05	0	1.25222950430317e-05	3.52571784501304e-06	0	6.82131696780653e-06	1.66337148587742e-05	1.59849618612942e-05	1.70445695687922e-05	1.18104830698448e-05	1.55359359194984e-05	5.08760079431868e-06
Mix_10	1.73058322176397e-05	8.26960510325053e-06	3.46990280778039e-06	0	0	0	0	0	3.16469020256998e-06	0	0	3.96251708297605e-06	0	6.14573778096845e-06	8.1380734074693e-06	0	0	0	0	0	0
