Mixture	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells	P-value	Correlation	RMSE	Absolute score (sig.score)
S21726	0.0685573266649688	0.0886036107962539	0.342490338584972	0.162011106833726	0.339268005411145	0	9999	0.363223073013823	0.994609600439475	1.00093038829106
S21740	0.0647438588804415	0.151728434948313	0.31898274184357	0.108681808068737	0.356793544550003	0	9999	0.363821166507752	0.988799676480423	1.00093038829106
S21750	0.0759269097029842	0.160454046588953	0.336429791945535	0.150140770605995	0.277442556834415	0	9999	0.39295142936663	0.973210874230856	1.00039407567788
S21753	0.0571498124047924	0.110689328557572	0.399117966691214	0.131231396398956	0.302476337560467	0	9999	0.371059189866634	0.982934936648623	1.000664841613
S21754	0.0645478975247296	0.140837353484677	0.300976777582825	0.205562946785707	0.288874147979183	0	9999	0.402536077455246	0.978492450723014	1.00079912335712
S21761	0.0604210909525318	0.110829824173153	0.346933229537487	0.100370023599072	0.382855715965062	0	9999	0.364966527219233	0.985708971606725	1.00140988422731
S21773	0.0522002796089422	0.120623131719238	0.349544948903136	0.12565184340574	0.352980592706904	0	9999	0.372146969333303	0.983796836986408	1.00100079634396
S2178	0.0702283582620009	0.164991976301695	0.346994203344729	0.159552747724789	0.259303918763643	0	9999	0.382324217051511	0.98285401097244	1.00107120439686
S21780	0.101381227903443	0.151912591228846	0.460927249718116	0.130369500321761	0.155409430827833	0	9999	0.378126481918751	0.975591303200084	1
S21781	0.130006297021524	0.217954789380772	0.321109292667252	0.119478962002875	0.213197700617039	0	9999	0.392110063811975	0.969637967957582	1.00174704168946
S21783	0.0455410490931384	0.143610240560886	0.389038399047533	0.17180885564409	0.250931843945417	0	9999	0.350455545282301	1.00724457166454	1.00093038829106
S21791	0.063148502854251	0.181511942205417	0.451735537954793	0.138496674734664	0.165906465607997	0	9999	0.339779258443582	1.0071197097403	1.00079912335712
S21797	0.067707316991735	0.150180898491184	0.33657128850534	0.181418609325823	0.26478672829892	0	9999	0.38697505504909	0.983804064534687	1.000664841613
S2180	0.0671595956483824	0.131378729265696	0.445086925207336	0.141639557236871	0.215665580932779	0	9999	0.317907233807028	1.02023109447646	1.00093038829106
S21805	0.0516904414029976	0.123891439402985	0.367491023738074	0.133443676519448	0.32441380722756	0	9999	0.353294928716719	0.997516429120999	1.00093038829106
S21811	0.110134044939942	0.130172456698953	0.587106555412546	0.129847223489577	0.0451612776112949	0	9999	0.397003551525586	0.959593000259555	1.00242155815231
S21822	0.0702494936719668	0.133697231155406	0.382732870841858	0.07979030493341	0.334738141383805	0	9999	0.373979193265837	0.975406025426873	1.00120804198645
S21828	0.0918477279730765	0.0965433002081074	0.376980245540282	0.0968594501042364	0.33850125865936	0	9999	0.381151829829079	0.971205456482144	1.00073198248506
S21829	0.0595548941339359	0.183585169136769	0.332461223117635	0.17582513886354	0.248967650426002	0	9999	0.384706698525349	0.986670793158217	1.00039407567788
S21832	0.0475764292550002	0.171074201150034	0.361844290856771	0.137156603798242	0.28341967933681	0	9999	0.361826933619016	0.994019208978947	1.00107120439686
S21834	0.0662211198191047	0.105315070397383	0.382365790920434	0.1563048495367	0.290723557617442	0	9999	0.372816420786877	0.985753243180646	1.00093038829106
S21836	0.0683988862443613	0.141590619851464	0.450005816162861	0.094772412903994	0.245964247322382	0	9999	0.37605688839778	0.973016109018476	1.00073198248506
S21838	0.059075315636745	0.0982202855846883	0.399284828295254	0.154534233913313	0.290361526822245	0	9999	0.361617157717577	0.992965383122802	1.00147619025225
S21839	0.0655854877447791	0.102647745025148	0.407180752114634	0.191229504080675	0.23483270128701	0	9999	0.394894747343882	0.975842071790973	1.00147619025225
S21845	0.0703264371865108	0.157943811550329	0.312696454822733	0.165461105089376	0.294304173836113	0	9999	0.379354228598222	0.987099685148261	1.00073198248506
S21857	0.0673525148833529	0.120498795888901	0.339509340702185	0.140834675250915	0.333348991536206	0	9999	0.358885041602951	0.995094282569116	1.00154431826156
S21859	0.0388568070170693	0.139392892361881	0.355229749897224	0.123523878035091	0.343390748366616	0	9999	0.376320258925861	0.981237122593981	1.00039407567788
