Mixture	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells	P-value	Correlation	RMSE
A	0.0429981256558173	0.229868972042947	0.291461319832025	0.00267228035513821	0.432999302114073	0	9999	0.663220172843816	0.75460732265258
B	0.0464476121534113	0.226348328485784	0.287424443232218	0.00392024141105708	0.43585937471753	0	9999	0.689778219929475	0.727514255296948
C	0.00953793709207644	0.0562219207668052	0.405090436080496	0	0.529149706060622	0	9999	0.681923817486083	0.739014625101393
D	0.0170025433589648	0.046806318390056	0.404407429501781	0	0.531783708749199	0	9999	0.672718793493313	0.749165163508628
E	0.0142588076293538	0.0892687580625443	0.433934056358738	0	0.462538377949364	0	9999	0.662331357444928	0.755834493546822
F	0.015929256649779	0.0873566625287661	0.604171415602586	0.00203250102792948	0.290510164190939	0	9999	0.632356534846435	0.778148030157758
G	0.0297334879359652	0.408974969161563	0.183385791816861	0.0828744798655454	0.295031271220066	0	9999	0.674650246267496	0.743103854372172
H	0.0305494874593849	0.560652683068966	0.181796442912367	0	0.227001386559282	0	9999	0.694080367005667	0.722243843754894
I	0.0527601796051155	0.639016523175024	0.101929237283686	0	0.206294059936175	0	9999	0.706012159318039	0.711554450971056
J	0.0189264847954863	0.0354887639804533	0.418468050652828	0	0.527116700571232	0	9999	0.670240545313544	0.75162643427517
K	0.0254549352576736	0.0340095519377861	0.522519950760868	0	0.418015562043673	0	9999	0.644831183053413	0.771574283117212
L	0.0122733914109648	0.073795737304416	0.394394628991011	0	0.519536242293609	0	9999	0.674673239444977	0.746121773136446
