Mixture	B_cells	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	T_cells_(CD8+)	P-value	Correlation	RMSE
A	0.0328613910421544	0.441906482916592	0.0475074497463804	0.145032376476951	0.0160326100176864	0.316659689800236	0	9999	0.670130695272739	0.793002612521317
B	0.0424425389373449	0.407495873369166	0.0611671602531386	0.150001036950354	0.0127998098285213	0.326093580661475	0	9999	0.672788300751372	0.78960911409567
C	0	0.0933971239787522	0.0333171186544943	0.0672416944685614	0	0.673615608886104	0.132428454012088	9999	0.664674872955656	0.804703992526287
D	0.00139388499060003	0.102683084063551	0.0313185781070794	0.0639654578198339	0	0.657170622028421	0.143468372990514	9999	0.682386461840604	0.782758336365449
E	0	0.180379490395857	0.0345175318709855	0.154329085120832	0	0.475054951409202	0.155718941203124	9999	0.662324059496175	0.805038474244676
F	0.00708451941210679	0.249733346595035	0.0852601373020232	0.366801030828893	0.0178276770037941	0.273293288858148	0	9999	0.632827702254632	0.840009014454131
G	0.0101803301558855	0.543958006864376	0.0793451538682237	0.0985233628027165	0.135658664565271	0.132334481743528	0	9999	0.660786529923571	0.799158189182742
H	0	0.719391866684649	0.120403490150159	0.0743945540790539	0	0.0858100890861376	0	9999	0.69059227754595	0.781240118300116
I	0	0.72485957783445	0.111917518057971	0.0714861682896467	0	0.0917367358179328	0	9999	0.688130646764482	0.784194716088215
J	0.011405770029832	0.013809346703574	0.044278634053134	0.0697586940978513	0	0.712108250249238	0.14863930486637	9999	0.670385574522709	0.799787196475097
K	0	0	0.0483531665417871	0.150295491650526	0	0.528125039617398	0.273226302190288	9999	0.6737287357173	0.795583506874294
L	0	0.136413928715057	0.00498184792896275	0.0820329368164015	0	0.634102342343224	0.142468944196354	9999	0.676697732907702	0.78947159189395
