B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..	otherCells
Mix_1	0.431578555982127	0.000207166950975599	4.3164957382308e-09	0.00232960639137707	1.04858642157661e-08	0.151112505276561	0.414772150516214	8.03854754844145e-11
Mix_2	0.510131414530969	2.86092909860551e-09	0.00291490698009641	0.0049781809218478	1.11494586643366e-07	0.00973000259916618	0.472245060298807	3.20313597964422e-07
Mix_3	0.803266006471665	2.32341965119798e-05	2.59349312886579e-05	0.00129912567657727	8.90039384176472e-05	0.0172751134559363	0.178014690185344	6.89114425979495e-06
Mix_4	0.488214202211803	0.000154830224678876	8.55769122388656e-06	2.97759696053684e-05	3.43644871765313e-06	0.270103431779153	0.241485720725035	4.49497832129404e-08
Mix_5	0.433861737705318	2.97142220935015e-05	4.84382771356012e-07	0.0090296510215266	4.99041455388076e-07	0.000660551559485416	0.556414969528093	2.39253925613409e-06
Mix_6	0.589519663653403	9.57928486900835e-05	5.71846267035706e-06	1.75316378653522e-05	1.22729503428045e-08	0.204739913016519	0.205619426042489	1.9420654137167e-06
Mix_7	0.499412501897467	4.75636011580742e-06	1.37477150331292e-08	2.92594811053619e-08	2.96074273881139e-06	0.262776816255338	0.237802910414496	1.1322648505644e-08
Mix_8	0.403480676731872	0.000356059802740942	1.51074587921775e-07	0.00658670085592046	1.54791390745197e-07	0.0746409191276132	0.514935334907728	2.70814720108432e-09
Mix_9	0.494314475503353	2.71437879676014e-07	0.000472565911940578	2.90578879265577e-05	1.41347728021648e-06	0.258801965844123	0.246380203455761	4.6481736298566e-08
Mix_10	0.479274751347031	5.42743885865162e-05	7.62515073111039e-06	0.0129357777899349	2.67318683481744e-06	0.274874250437173	0.2328506462757	1.42400933890214e-09
Mix_11	0.467677847325942	2.76183467202545e-07	8.27209230135815e-06	0.000239423528896153	0.000239216024508601	0.264532295175497	0.26730254120236	1.284670288373e-07
Mix_12	0.46601260911189	2.92135286758019e-05	0.00106490960984003	2.67935487011469e-09	3.72097807232729e-09	0.147342957618674	0.385550297790853	5.93973368996639e-09
Mix_13	0.516866611777968	4.33510841422045e-06	2.49604826149111e-05	9.58976016485479e-06	0.000102093763423157	0.238785790008691	0.244204257905088	2.36119363560756e-06
Mix_14	0.489435886082433	0.0011071880997845	0.0313819530101545	0.00130310441942878	5.22468474952247e-05	0.191433679005314	0.285280773543441	5.16899194810682e-06
Mix_15	0.49152759963988	0.0632753270964714	3.20434365862378e-07	0.000142286056821432	1.28914436369521e-08	0.0068103915283135	0.438244049404118	1.2948585646501e-08
Mix_16	0.334549954032408	1.90947987787453e-06	0.00160703656396967	0.22337860372144	0.000224399829341612	0.00382964982179411	0.436408243080542	2.03470627681474e-07
Mix_17	0.438808489890035	2.2450126611886e-07	0.0142458173999171	0.0347968219263973	2.35161067806593e-08	0.259875270476138	0.252273351971334	3.1880619859801e-10
Mix_18	0.221127456487234	2.60993829458166e-06	0.0524915073223644	0.0526795526720259	4.02736520290543e-05	0.0190560964586765	0.654602054352519	4.4911685671441e-07
Mix_19	0.707353052857463	2.51763569848471e-05	6.98788334393425e-07	1.98814327318318e-06	4.6070957014234e-08	5.55516069779331e-05	0.292562940124172	5.4605183708569e-07
Mix_20	0.539816941863115	3.46458519942639e-05	0.000223890134740668	1.58603223586742e-05	5.09352880490171e-05	1.94002471181723e-05	0.459836848892707	1.47739991695563e-06
Mix_21	0.450490434171592	3.18703814984199e-05	1.473226839042e-05	1.45708525213158e-05	4.3921270795725e-05	0.0378324472959167	0.511571392469766	6.31289518938352e-07
Mix_22	0.421114348284309	0.00991598342024902	0.000804558638814969	2.03492717317328e-07	2.5700858369124e-08	0.277330580853548	0.290834289044172	1.05653306491467e-08
Mix_23	0.509304298571479	2.92765906681022e-05	2.99729596342694e-05	0.000679764795657313	8.75445388262535e-05	0.293259689440344	0.196609385061066	6.80423239701483e-08
Mix_24	0.287986531562897	7.77684984277656e-06	3.1800895003877e-07	2.32795859751998e-08	5.55328993478798e-08	0.22269272660547	0.489312487937884	8.02224714340557e-08
Mix_25	0.505915858352041	9.50904102137935e-06	5.2416103177585e-05	0.0083975480892994	3.0637113753324e-08	0.0253277340949275	0.460296901722686	1.95973322402862e-09
Mix_26	0.471773584573137	0.000259047882787563	4.61894486929048e-06	0.0158403731305218	3.3470341191778e-06	0.271327546537042	0.240791479522034	2.37548832381339e-09
Mix_27	0.613484851596838	2.09597698069263e-05	0.009539245161578	3.34066312914659e-05	5.28791121594057e-05	0.00934652113818781	0.367510628984941	1.15076051976146e-05
Mix_28	0.517720627578435	0.00319834196455431	2.13758618543287e-07	0.015490912342304	3.73459120457786e-06	0.145227007420366	0.318359155861338	6.48317952588655e-09
Mix_29	0.51134083084101	7.54215471823324e-07	6.54249266694637e-05	0.000292297705802691	1.20262426163496e-07	0.102746363256601	0.385554202962602	5.82941725309529e-09
Mix_30	0.635328823154497	0.000356432104619464	1.09059057579959e-09	0.0267782838888056	1.13497895560631e-07	0.000356081865523283	0.33717904431047	1.2200875992937e-06
Mix_31	0.509740227519936	6.08467032231117e-07	0.000132173809735008	0.00505783656910815	3.22996238722098e-05	0.160201529389547	0.324835294415388	3.02053816651109e-08
Mix_32	0.507449237052812	3.67569224834852e-05	1.4575459479835e-05	1.99015959323943e-05	4.36196824635503e-05	0.000183171499678453	0.492250197323241	2.5404639094861e-06
Mix_33	0.520909506389754	0.00123443377181028	1.42238996005078e-05	3.16224396251759e-05	0.000163059548337399	0.0147662542924182	0.462877823102955	3.07655549861622e-06
Mix_34	0.393979836227638	5.74902939122579e-09	1.33243408235723e-07	0.000494929828004932	1.09112229776825e-07	0.203678428835801	0.40184654929702	7.70686813115909e-09
Mix_35	0.441115634513892	5.76648266105942e-07	0.0161035183257795	0.0319020352839544	3.64916347573162e-07	0.26080109559843	0.250076774582594	1.30737277663879e-10
