Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE
mix_1	0	0	0.0450794510911197	0.0290261430241941	0.029043083579153	0	0.0971796530967791	0	0.0808456665775348	0	0.00457829568190423	0.0332904967811724	0	0	0.0596039122528325	0	0	0.509538663825376	0.111814634089934	0	0	9999	0.667966872470472	0.794654964982806
mix_2	0	0	0.0307516818578432	0.0272606309261206	0.0159168114878947	0	0.116538076920711	0	0.0727228354346736	0	0.00538693172843802	0.0928842998288351	0	0	0.0584817567235516	0	0	0.461878276785992	0.0965291848745828	0	0.0216495134313577	9999	0.669412380262139	0.789645807325878
mix_3	0	0	0.0300826577325204	0.0247204162581485	0.102459898552178	0	0.119655119244774	0	0.11540809566997	0	0	0.0733610033359653	0	0	0.0841873899413351	0	0	0.374667673066473	0.0754577461986358	0	0	9999	0.671150961711027	0.786923357285939
mix_4	0	0	0.0334612349109638	0.0302130035540488	0.0750402995323545	0	0.0700622660678269	0	0.0632308059386286	0	0.0161484473546078	0.0686527102667128	0	0	0.0609321410731665	0	0	0.469340394375499	0.112918696926192	0	0	9999	0.664659890763274	0.795495812031879
mix_5	0	0	0.0216347740449442	0.0224415616065614	0.105417040825366	0	0.0890253715930728	0	0.067287236905542	0	0.013805356950557	0.0732722902967999	0	0	0.0714302124603805	0	0	0.435558149990091	0.100128005326686	0	0	9999	0.664169993426087	0.795482936472592
mix_6	0	0	0.0343327747884038	0.0223406878043663	0.0721595501802592	0	0.0905300101982897	0	0.0609306223891615	0	0.0160194128888797	0.0713573838939228	0	0	0.0604800820930152	0	0	0.460029122761639	0.111820353002063	0	0	9999	0.664124175034393	0.796410211028097
mix_7	0	0	0.0241470886925364	0.0242222343395882	0.110355182141185	0	0.0961759872605276	0	0.0779209147216701	0	0.00808100891595653	0.0764320436510561	0	0	0.0792157563031206	0	0	0.417293172809331	0.0861566111650279	0	0	9999	0.665112860341494	0.793769323001829
mix_8	0	0	0.0260512684085404	0.0245462599250071	0.081535026156314	0	0.112314271862623	0	0.0795917687926399	0	0.00238449865948032	0.0602418796626591	0	0	0.0800317308767708	0	0	0.44355999403192	0.0897433016240452	0	0	9999	0.665336406453824	0.794870805892102
mix_9	0	0	0.0431556240623551	0.011834422506276	0.0456363730632633	0	0.0479689566387909	0	0.0672668116793772	0	0.0169182524206818	0.0635704345605457	0	0	0.0451478244465372	0	0	0.555963596924665	0.102537703697508	0	0	9999	0.6650606311791	0.797116159526531
mix_10	0	0	0.0463497331283602	0.029211900338903	0.0511267157772898	0	0.0858822045302312	0	0.108510254082475	0	0.00905560043678993	0.0917169147509147	0	0	0.0639112089551881	0	0	0.411860136632313	0.102375331367535	0	0	9999	0.675387336239738	0.781664966051026
mix_11	0	0	0.0501699532424066	0.02861395422328	0	0	0.078544506360275	0	0.073438360724677	0	0.00712853740509226	0.0864284677644811	0	0	0.0335392900041076	0	0	0.509089083710985	0.11182714194469	0	0.0212207046200055	9999	0.672179484845001	0.788251358307675
mix_12	0	0	0.0375840865806742	0.0245739284855577	0.104625669858721	0	0.0889208969068606	0	0.078693040554674	0	0.0118177813889612	0.0368780968786812	0	0	0.0770079999159302	0	0	0.435349808064669	0.104548691365272	0	0	9999	0.663549225576954	0.798011034628026
mix_13	0	0	0.0466372489352245	0.0314757324980126	0.028455331263073	0	0.100993007252437	0	0.096959746170408	0	0.0129475090845167	0.0393088869987132	0	0	0.0597715812330926	0	0	0.463280462773403	0.109256176855972	0	0.0109143169351471	9999	0.664397011168282	0.79772855460912
mix_14	0	0	0.0553598609866909	0.0308885956515642	0.0313581403718101	0	0.0681131583564923	0	0.0798483718229231	0	0.0146732733201218	0.0776652756462058	0	0	0.0449163649721249	0	0	0.477339050521632	0.119837908350435	0	0	9999	0.670526654357573	0.789409253982927
mix_15	0	0	0.0310850785389267	0.0221534859059915	0.0842309867995719	0	0.101383237484795	0	0.0706399704760949	0	0.00957962484137987	0.0673908275293235	0	0	0.0779118610622824	0	0	0.435489287882891	0.100135639478743	0	0	9999	0.666807307350521	0.792871471721884
