Gene,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
mix_1,661.7136,3311.6126,701.2651,664.4713,596.0357,827.5413
mix_2,605.6327,3633.5975,371.5495,782.1588,454.4878,508.9915
mix_3,1116.0153,954.2512,654.7436,220.4153,1236.9768,1086.1172
mix_4,1219.3338,1874.0951,612.3394,404.7339,856.9602,884.415
mix_5,1017.3451,1610.6849,907.3736,342.2204,964.7481,1166.7858
mix_6,944.4938,2462.5908,557.0558,521.4193,754.5055,794.6073
mix_7,1417.9319,1292.9974,768.8558,287.2604,945.3374,1045.6172
mix_8,1258.2752,2845.1818,180.7606,604.0781,544.4432,405.9898
mix_9,719.9187,2504.1191,815.8413,532.5783,791.6773,1004.6798
mix_10,1573.6404,1597.7438,254.0895,365.1086,793.4965,588.6062
mix_11,683.2443,3545.6482,390.1234,742.6132,487.1376,536.329
mix_12,601.6062,3079.9931,407.4113,645.0442,673.9642,643.2114
mix_13,1698.3036,1327.0482,819.374,293.2471,810.916,1019.5718
mix_14,1673.743,1561.6709,343.6512,348.0251,794.58,654.3492
mix_15,1477.6233,949.1531,1449.6361,194.0142,1004.823,1597.493
mix_16,1129.5593,1560.0496,527.5828,346.4621,1007.9321,890.1328
mix_17,2199.167,252.7114,411.6271,65.2088,1068.2257,836.9748
mix_18,679.1423,3685.8779,241.7168,808.0834,379.6648,375.94
mix_19,1171.0235,2468.9031,476.7089,511.7603,702.964,712.625
mix_20,970.3704,334.6485,979.9556,65.7269,1508.6481,1476.3913
mix_21,1306.7377,1386.8278,488.6548,317.6521,974.2082,864.0326
mix_22,1272.292,2209.4533,808.4463,466.5467,693.767,955.5051
mix_23,1342.6593,2221.5846,288.5046,492.6293,680.518,552.4425
mix_24,595.9548,3792.3911,437.1776,845.7866,351.5534,502.2069
mix_25,715.4856,2350.0121,292.3267,530.8585,877.3921,649.7057
mix_26,769.6338,416.7103,1658.1425,79.2696,1507.7544,1997.0838
mix_27,1338.0173,3331.1244,612.701,674.3182,342.7826,639.5426
mix_28,1213.4137,347.8619,931.4733,74.1819,1422.131,1409.7113
mix_29,897.5241,2311.8315,691.5248,492.7252,805.1846,919.8867
mix_30,1036.041,2212.1158,574.2375,483.374,786.3395,821.477
mix_31,879.0095,2398.6363,433.8422,520.1721,815.8909,723.1471
mix_32,1021.1768,1806.6999,637.4476,392.4459,938.9894,937.7553
mix_33,1076.7994,2573.9788,492.8301,542.4368,685.6424,706.0932
mix_34,598.7184,3400.352,516.0103,715.3602,558.0971,664.7461
mix_35,839.5409,2704.0843,584.173,574.0152,718.998,803.3227
mix_36,1496.5985,1320.35,492.5187,291.2891,959.7677,827.9443
mix_37,1419.8479,1505.4975,373.2219,341.0622,926.8936,727.1724
mix_38,944.1207,729.4627,1152.4255,151.0834,1396.8482,1538.3538
mix_39,1544.118,888.0928,1156.2644,186.0804,1031.4823,1388.0854
mix_40,1103.2329,2525.2921,367.5359,542.1762,704.1506,613.4932
mix_41,715.4429,3187.8892,646.6238,637.8741,619.6047,799.8499
mix_42,1639.2851,486.0416,712.8331,104.1319,1208.3926,1124.6811
mix_43,642.5178,1600.6486,1113.6511,343.273,1119.41,1389.0426
mix_44,784.523,1365.1622,945.2741,302.7025,1171.333,1276.5522
