ID,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
S1007,6.458288,6.076024,6.062006,6.590796,6.289816,5.699308,6.212636,6.19497,7.255936,6.500194,7.488086,5.601408,6.278318,5.120066,5.31644,6.675062,6.698588,7.132884,6.613368,6.307924,6.46877
S10073,6.649408,6.117394,6.200796,6.645318,6.378432,5.77817,6.246288,6.30607,7.39884,6.920014,7.785478,5.640728,6.315748,4.957642,5.34381,7.022086,7.110382,7.58916,6.89525,6.464384,6.605876
S10077,6.402034,5.942618,6.097632,6.834908,6.378788,5.749412,6.298438,6.248214,7.406312,6.555772,7.609158,5.487526,6.194538,5.086344,5.318108,6.77633,6.622764,7.241302,6.620522,6.286048,6.472936
S10080,6.482632,6.076452,6.231746,6.836596,6.470256,5.782228,6.338336,6.364818,7.499618,6.735634,7.770226,5.54371,6.30559,5.12829,5.319204,6.81752,6.790888,7.352152,6.76274,6.356038,6.55581
S10082,6.664712,6.192716,6.1836,6.718262,6.373618,5.802476,6.150984,6.273418,7.46352,6.874116,7.767496,5.574966,6.214166,4.9932,5.292946,6.906702,7.020822,7.466724,6.802118,6.393562,6.569228
S10087,6.841676,6.222552,6.170568,6.726564,6.382118,5.71361,6.135534,6.285066,7.503368,6.949436,7.771758,5.531692,6.282154,4.942596,5.325146,6.861928,6.983314,7.444448,6.87073,6.440242,6.635486
S10089,6.40705,5.861422,5.984124,6.678474,6.211756,5.6628,6.085668,6.097312,7.168264,6.494466,7.602856,5.382096,6.154674,5.13755,5.292656,6.686566,6.61428,7.16244,6.516226,6.235612,6.371014
S1009,6.65379,6.177126,6.1006,6.725028,6.399964,5.80046,6.324136,6.305608,7.344762,6.793372,7.490758,5.516864,6.214408,5.080588,5.352768,7.079826,6.976572,7.495806,6.855786,6.447034,6.500324
S10090,6.333648,5.875122,5.97108,6.640098,6.130192,5.59224,5.98286,6.115266,7.110052,6.441206,7.61418,5.481718,6.115674,5.102166,5.306138,6.649538,6.62606,7.096434,6.466612,6.24739,6.404374
S10093,6.236912,6.05898,6.009224,6.594198,6.351292,5.718154,6.199548,6.227482,7.092912,6.440004,7.356946,5.557564,6.24828,5.223732,5.28824,6.552904,6.622426,6.933092,6.474342,6.124986,6.376942
