Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
mix_1	0.15185640232724	0.283746066167803	0.264505688973831	0.0448260401334065	0.0295362838662869	0.225529518531433
mix_2	0.137884122825069	0.270249286073314	0.230563224637763	0.0470445810355466	0.0325549516490605	0.281703833779247
mix_3	0.212602379585517	0.387118105413095	0.262400963425852	0.0362935690207477	0.0251959770829324	0.0763890054718556
mix_4	0.246349533373665	0.315099853538459	0.251196655430641	0.0379072255220215	0.0258002582355076	0.123646473899707
mix_5	0.211010402018585	0.322415961665347	0.285673708574935	0.0387652239466311	0.0268567253545774	0.115277978439925
mix_6	0.207256183283784	0.30441932872789	0.251684341701437	0.0415731727956099	0.0275062660830063	0.167560707408272
mix_7	0.272455636743519	0.313313647404827	0.261771480990486	0.0354782570612456	0.0251190137462651	0.0918619640536567
mix_8	0.285966342479551	0.270159867089259	0.17289765773611	0.0416646334400094	0.0274708042936123	0.201840694961459
mix_9	0.156705703391827	0.315278937101904	0.283905635184495	0.0429549342664963	0.0276911741817112	0.173463615873567
mix_10	0.320501489286362	0.299864286332486	0.193753626080859	0.0388433042973054	0.0260967955916428	0.120940498411345
mix_11	0.163618199311986	0.279140686266759	0.222663077150992	0.0465253108718445	0.0312641552050715	0.256788571193347
mix_12	0.130622261069197	0.317968894690463	0.245669544496334	0.0461566475419262	0.0316101028977034	0.227972549304376
mix_13	0.308263130200573	0.286004078303477	0.256479853389349	0.035677733547461	0.0242860066208797	0.0892891979382605
mix_14	0.323938552295752	0.288300321163945	0.212945326579557	0.0379175818467125	0.0260520773683468	0.110846140745687
mix_15	0.264707490242853	0.306710027506435	0.307701050499063	0.0341304371085093	0.0255924889560612	0.0611585056870794
mix_16	0.231490919532362	0.344825810290495	0.250545922079146	0.0383266847290193	0.0256655767892027	0.109145086579775
mix_17	0.366833287079389	0.32172972356577	0.226891936547672	0.0339370076772198	0.0244334367215322	0.0261746084084158
mix_18	0.170211946789601	0.253758647273568	0.202683503427306	0.0470171130487138	0.0309996252058249	0.295329164254986
mix_19	0.247062077289702	0.283857101790405	0.235325104116083	0.0413480535783962	0.0270362227343908	0.165371440491023
mix_20	0.179394333265123	0.403035131295841	0.322629589441847	0.0353857762583401	0.0271019298622569	0.032453239876592
mix_21	0.261430641998524	0.330463246549255	0.241205703262127	0.0361807403078174	0.026518331409042	0.104201336473235
mix_22	0.257466211418064	0.269346621452483	0.264645284515748	0.0387121908622588	0.0268949735743115	0.142934718177135
mix_23	0.287331215107993	0.290034404561254	0.200508701336873	0.0402303864480501	0.0262005490437457	0.155694743502084
mix_24	0.131324160885036	0.244696408910552	0.232234337361188	0.0482354134952432	0.0331027168154091	0.310406962532572
mix_25	0.163358029697518	0.356879186899718	0.221529999983386	0.0436349292631109	0.0299424353681818	0.184655418788085
mix_26	0.137221794059524	0.406153792365881	0.359807291901976	0.0354270450805494	0.0251498859210452	0.0362401906710255
mix_27	0.286576483484085	0.200748800291725	0.224682453534395	0.0409961060567935	0.0275223022387749	0.219473854394227
mix_28	0.21748978708003	0.391692737480025	0.298659124832053	0.0339179229844908	0.0239302973578066	0.0343101302655948
mix_29	0.199865579658153	0.314637123667783	0.260856059733796	0.0411304870110101	0.0275138869858929	0.155996862943365
mix_30	0.21996118807644	0.306795625659106	0.250767685793871	0.0405578612152947	0.0269405073024795	0.15497713195281
mix_31	0.198667169670506	0.327359676536599	0.231966793341107	0.0412485700035616	0.0276350815493384	0.173122708898888
mix_32	0.216395821232105	0.329351969594664	0.26232266953602	0.0378021728387965	0.0266778947994963	0.127449471998918
mix_33	0.228021003290617	0.296732376995144	0.23115756603041	0.0402882031463909	0.0271505948766115	0.176650255660827
mix_34	0.135393582172091	0.293176090293561	0.246324238280616	0.0460625428978653	0.0312396531107019	0.247803893245165
mix_35	0.193826267780073	0.29569348503017	0.255980303663677	0.0427379427658867	0.0287752055421716	0.182986795218021
mix_36	0.281753051104948	0.332420836701419	0.230213890975781	0.0364244838960325	0.0237107066114696	0.0954770307103488
mix_37	0.280402939672794	0.326783861729441	0.220720395836259	0.0376832468589206	0.0249325006182661	0.109477055284319
mix_38	0.17543327763958	0.39563865130359	0.317301714203663	0.0358192354474559	0.0241022689982561	0.0517048524074551
mix_39	0.280330995740661	0.30122277612714	0.296201050270722	0.0357840160758539	0.0253206078323172	0.0611405539533057
mix_40	0.24076468987177	0.308650375083612	0.212186594890183	0.0404306733824832	0.026806323191807	0.171161343580145
mix_41	0.162903865783847	0.284327858048572	0.262669687010739	0.0440309510348269	0.0294592502275811	0.216608387894434
mix_42	0.289102123259176	0.348612606704516	0.266555756206448	0.0334327097336735	0.0231953882396678	0.0391014158565191
mix_43	0.130629145735667	0.360709471294549	0.325104678035705	0.0382907954238575	0.0280668490314937	0.117199060478727
