Gene,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
Mix_1,486.795553408,722.016473127,1431.24350331,181.232697201,600.873191703,1329.09568971
Mix_2,716.050583884,399.749510656,1141.02473262,113.922297276,658.451016382,1097.21501231
Mix_3,418.202750584,397.385791743,1830.28293126,99.2776227765,788.14319268,1750.53047234
Mix_4,489.759848631,302.760878118,1667.45005797,82.3145001091,809.204100058,1597.74555317
Mix_5,881.659243264,235.724982308,1558.87224009,71.3900685497,579.547979829,1419.47523055
Mix_6,646.981108497,816.70868636,1239.98119039,204.31116705,473.118813728,1163.97386306
Mix_7,585.000406548,229.208277056,1255.73903433,72.9347900471,837.380207874,1296.88908287
Mix_8,749.598477089,502.496604664,413.791975556,145.976060353,664.316010687,552.271870077
Mix_9,664.569287458,378.831107654,1356.86130503,104.029544939,692.250433521,1305.24158144
Mix_10,775.70207902,538.116607042,1147.34587782,143.728345344,527.10654857,1109.84286621
Mix_11,632.967124932,293.103929174,1182.99864544,92.892196549,796.916128427,1174.74828056
Mix_12,379.276665372,617.551878204,1563.44460494,154.675336639,719.974298789,1490.33362756
Mix_13,840.970915221,318.231181049,1115.76649397,96.0707977206,636.106478423,1114.02266396
Mix_14,419.148298675,194.739053744,1806.46167723,55.0654008015,897.855276712,1757.69050458
Mix_15,543.548479204,323.111500073,1005.25144559,98.6255551275,858.783632826,1080.50983484
Mix_16,698.710580671,410.42298569,779.157692245,119.969603214,713.032319804,873.563491899
Mix_17,579.675407917,304.673161395,1056.77577251,91.8660643621,841.765479131,1135.76577948
Mix_18,569.858631468,352.43277114,648.306789486,109.914178012,893.394718297,793.490939018
Mix_19,456.7509602,649.199217279,1571.69244788,162.318813434,641.40548105,1495.71302435
Mix_20,742.213066109,519.476190621,894.389107121,142.77110177,604.548862222,926.061389955
Mix_21,727.510608036,649.221879848,732.727506602,174.907100004,571.320894183,794.942547217
Mix_22,471.983546932,739.367875863,1331.86847333,184.733531824,617.115830905,1287.88636453
Mix_23,880.636425183,355.551117159,826.604783725,110.689943211,624.916037104,841.81826052
Mix_24,372.751641609,442.070459482,628.172447472,127.840799506,947.305018568,841.344763881
Mix_25,817.410566015,220.616055898,1075.89725838,71.6774189852,703.174679562,1101.59233311
Mix_26,686.858369021,277.902208151,834.820946388,90.3327522727,809.118868002,953.980723399
Mix_27,807.795542224,556.279302174,414.139347354,155.029810588,585.621301115,586.886850571
Mix_28,625.148088063,585.698781412,1055.84007173,156.064707617,625.991349574,1053.43294342
Mix_29,762.21279108,268.844053681,756.452803906,89.1936888211,767.111650632,874.025432963
Mix_30,547.854850827,222.472730312,1867.10360098,59.733201052,791.130477833,1774.64412811
Mix_31,714.7007196,391.346230441,913.193052006,112.049300763,703.540508193,967.9053082
Mix_32,576.943215728,425.092214319,551.99329978,127.957965431,841.842626189,711.280206583
Mix_33,466.072962372,467.047300068,991.373846726,128.87830481,820.333292392,1080.51098356
Mix_34,696.271557019,738.347502666,1148.29671987,186.998182271,502.933534884,1092.86376119
Mix_35,574.795906942,311.382532761,1508.68467881,87.4114253774,762.042424649,1432.90606197
Mix_36,668.816463038,362.056229652,1221.19148086,102.80101945,708.493176102,1215.30469125
Mix_37,434.357690149,420.905713624,1870.09684022,104.605698776,751.014837079,1762.53204673
Mix_38,398.956362519,560.38310023,1381.78233778,143.284192638,755.610058093,1350.88612241
Mix_39,866.016941358,713.624380688,394.363467257,195.927164975,486.279385518,478.087159463
Mix_40,600.844500873,327.863867966,1820.54780851,84.5044260209,700.317081936,1697.45880514
Mix_41,531.561653477,425.156823635,1886.27304364,109.796464501,687.052686967,1720.08294434
Mix_42,729.281399795,286.394577381,623.689199779,91.9360902819,813.114112557,788.668547662
Mix_43,721.218201837,529.81121236,1300.30636125,138.365364463,548.527040494,1232.83795204
Mix_44,431.959587858,560.04937191,1657.48874655,140.323240511,699.519451781,1537.8871882
Mix_45,524.645324311,484.335238268,1142.46791294,128.937679314,744.030465354,1212.62384152
Mix_46,765.975281217,412.968412784,463.175563886,125.834104921,701.440604981,654.736278425
Mix_47,613.61184291,639.797158194,1253.85459708,168.042098473,579.117473618,1201.30048578
Mix_48,678.384949269,348.8554682,1179.37906588,98.8357979928,722.107114395,1172.76147912
Mix_49,428.947363514,237.761186896,2009.99011286,63.4275674999,844.213548209,1867.90498637
