Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE
mix_1	0	0	0.0189723275990136	0	0.175349257779906	0	0	0.391255305391122	0.180207160684175	0.0558988523772511	0.0129498967635041	0	0.110857740042897	0	0.0336580745917836	0	0	0.0174580603984045	0.00339332437194328	0	9999	0.784084331175594	0.6866090944275
mix_2	0.00579275564589164	0	0	0	0.221426004727849	0	0	0.396009333163978	0.117665626096291	0.0413109037667773	0.015727870206548	0	0.127731545582566	0.00728369404807964	0.00253193717009982	0	0	0.0295410056341906	0.0349793239577282	0	9999	0.767032386467313	0.696336142802943
mix_3	0	0	0	0	0.286138388410979	0	0	0.332187993089361	0.0520411420310706	0.119754197451097	0.0190406413024658	0	0.0745816843571185	0.00308531762244298	0.0132636850483011	0	0.0348405232509201	0.0419026493241169	0.0231637781121268	0	9999	0.701931864850625	0.738243066559842
mix_4	0	0.00419974325598253	0	0	0.230630335911949	0	0	0.460921018875658	0.13472396883662	0.050483880484058	0.0267951590420127	0	0.0339143367411624	0.00154250241945804	0.0460874629347689	0	0	0	0.0107015914983309	0	9999	0.775165330272415	0.680212288414385
mix_5	0	0.00816047586091768	0.00154793618679639	0	0.204715133046353	0	0	0.467526782784255	0.114622520852598	0.0535593364262775	0.00934397595554295	0	0.107216973034579	0	0	0	0	0.00183128427390854	0.0314755815787718	0	9999	0.759835955852209	0.702013627775173
mix_6	0.000160234486414038	0.00307611547051197	0	0	0.245284209828214	0	0	0.427600078910802	0.157452270478412	0.0582276627480648	0.0202202421575394	0	0.0240200886618099	0	0.051290907154166	0	0	0	0.0126681901040661	0	9999	0.773837497765038	0.678378348155628
mix_7	0	0.0106666105766625	0.00325244454839514	0	0.26364774501918	0	0	0.39205316559924	0.0988244488869412	0.0781988702155911	0.00629935051517579	0	0.0914922460091239	0.00561906620109565	0.000790676710046829	0	0	0.0141497936650449	0.0350055820535038	0	9999	0.731704520568676	0.717617349227089
mix_8	0	0	0	0	0.222883927954273	0	0	0.422442235789368	0.120036258504711	0.0768103385284712	0.00436659879753394	0	0.109063564790004	0.00188749380487331	0.01351461203682	0	0	0.0134889003983109	0.0155060693956344	0	9999	0.738094179652388	0.717951117606393
mix_9	0.000999803137222381	0	0	0	0.212798822495102	0	0	0.478037317159751	0.172212863544849	0.0354640392910714	0.0220400860314944	0	0.0130725261212844	7.48748245568975e-05	0.0365815685463704	0	0	0	0.0287180988482986	0	9999	0.797133271816366	0.656771211795551
mix_10	0.00337468268579226	0	0.01409707747897	0	0.193426995974006	0	0	0.498138000426598	0.0518256494180373	0.0637495817107097	0.00140926701388705	0	0.1214762656255	0	0.00624343950048206	0	0	0.0142961334813047	0.031962906684712	0	9999	0.780652132482403	0.697055811351216
