B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage
A	0.2977	0.1991	0.3538	0.0227	0.0144	0.1124
B	0.3032	0.1948	0.3548	0.0223	0.0156	0.1092
C	0.1059	0.4885	0.3524	0.0299	0.0181	0.0053
D	0.1108	0.4776	0.374	0.0184	0.0176	0.0016
E	0.1148	0.278	0.5534	0.0152	0.0154	0.0232
F	0.1498	0.0539	0.6763	0.0311	0.0156	0.0732
G	0.3407	0.137	0.2252	0.0304	0.0186	0.2483
H	0.3196	0.0591	0.229	0.0451	0.0168	0.3304
I	0.3265	0.0679	0.2074	0.0452	0.0183	0.3347
J	0.0994	0.5434	0.3114	0.0272	0.0187	0
K	0.0862	0.2702	0.6097	0.019	0.0148	0
L	0.0793	0.4743	0.3919	0.0272	0.0168	0.0105
