Symbol,T_cells_(CD4+),B_cells,T_cells_(CD8+),Endothelial_cells,Fibroblasts,Macrophage
A,7.15461212698,5.16095010187,5.81016,7.08212171485,6.40735481275,6.98516
B,7.14658,5.06639037598,5.88798,7.03227404768,6.50638593964,6.97057434103
C,7.4186396703,5.12270257883,5.949216509,7.02755024939,6.43856,6.6648
D,7.49298,5.10088,5.98298,7.0201,6.37557743723,6.60608
E,7.21468690549,5.16568,5.90006058035,7.00738225759,6.47940320103,6.72012
F,7.19126214177,5.03367418019,5.87567453546,7.02984447586,6.51504507228,6.75662671866
G,7.1238,5.1501,5.60416789331,7.11106,6.40995481275,7.13376
H,6.86,5.19398,5.71032,7.09226548102,6.45896111928,7.25267330839
I,6.8008,5.04054358357,5.70719454096,7.17408078874,6.401,7.21126
J,7.40296235016,5.13366,5.92572,6.99724,6.41373943972,6.59482
K,7.41309973413,5.12678518049,6.04374314143,6.98856,6.38682018007,6.5295
L,7.39934,5.17603130823,5.8631800968,7.088,6.55965586313,6.59564
