Gene,Bcells,Monocytes,NKcells,Neutrophils,CD4_Tcells,CD8_Tcells
mix_1,2700.19250155,4309.35458105,3834.54247879,4998.46418452,5092.14159253,2633.99653192
mix_2,2635.10555585,4179.79200099,3593.18477019,4795.92647995,5340.39508155,2416.4034391
mix_3,2392.92710702,4373.78464576,3260.83729642,4766.69847928,5465.11920219,2055.4965925
mix_4,2584.97062103,4144.84359195,3725.11834641,4981.01672248,5225.86674806,2732.54226886
mix_5,2474.89506095,4257.38198766,3589.77663572,4908.73998201,5303.28471441,2526.70535028
mix_6,2581.25334467,4122.96416591,3745.95930819,4909.05460478,5218.93566003,2695.79549273
mix_7,2425.97445197,4291.79590542,3454.08298958,4825.96303578,5404.56543954,2357.40100317
mix_8,2454.27295692,4256.93645352,3546.57012062,4804.86187689,5304.5047598,2361.56275894
mix_9,2670.09658648,4068.32952145,3853.13817083,4998.6212962,5112.84421439,2858.05630008
mix_10,2674.67181122,4323.90322124,3494.88343634,5078.48099859,5328.14477859,2459.5961405
mix_11,2844.08741728,4238.79476193,3817.08983957,5042.04918826,5035.00151522,2725.05983287
mix_12,2477.23534462,4242.02811392,3644.23482984,4945.21018623,5279.05876981,2570.06302728
mix_13,2663.86619345,4100.44006949,3653.71071985,5013.84576324,5237.50307399,2624.34975111
mix_14,2768.17035832,4200.02640794,3742.03543832,5115.25902884,5093.93765083,2771.7578555
mix_15,2508.69898038,4207.5089602,3596.12021871,4852.68415016,5302.65996809,2472.23570319
mix_16,2267.69410368,4223.63698748,3151.03857993,4542.53522034,5498.73143936,1977.08460032
mix_17,2262.49929099,4215.69726532,3156.88809715,4605.54449848,5504.84373132,2026.34316913
mix_18,2693.13871199,4258.21884705,3446.82109111,5066.75654135,5324.96865583,2407.13583216
mix_19,2386.53042371,4374.39573081,3345.17196827,4777.68919752,5392.85604104,2079.88351597
mix_20,2676.0923895,4081.61540258,3675.61329977,4876.46008323,5256.88893793,2611.41599175
mix_21,2389.66211341,4202.86110662,3354.95554434,4795.94655332,5477.64688068,2240.58401579
mix_22,2702.26753442,4335.63277977,3787.05897473,5163.57759291,5029.18717992,2714.89898337
mix_23,2790.70098377,4174.27406782,3773.1652056,5006.68553084,5149.66926993,2711.9890564
mix_24,2438.30043836,4186.079564,3547.54481548,4827.37830939,5393.36562004,2477.54461134
mix_25,2706.46629551,4072.13793625,3791.87181808,4981.42374106,5182.1469343,2793.81612925
mix_26,2430.24773979,4322.1409853,3316.76135561,4861.96039064,5461.68907657,2164.97661624
mix_27,2738.3121459,4178.76937109,3823.11390153,4997.71745189,5098.02282387,2741.58567074
mix_28,2588.25087556,4146.41964749,3675.27402843,4912.23612664,5249.90378422,2628.34565442
mix_29,2710.67716218,4280.33749794,3776.47140293,5024.73118791,5093.03687623,2651.41501743
mix_30,2641.50765997,4143.71604207,3751.91275461,4997.84805112,5195.81411635,2740.41829326
mix_31,2660.78057581,4271.93163723,3654.40683422,5040.59018707,5220.74241008,2597.38541323
