Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_1	0	0.016435084595968	0	0.044382211070115	0	0	0.0426664554367643	0	0.467515938335549	0	0	0.0394147256985935	0	0	0.0473179648591957	0.093193931366219	0	0.623797880231244	0.0794983853126208	0	0	9999	0.285945497525666	1.1590056937091	1.45422257690627
mix_2	0	0.027649288789843	0	0.0458373868853897	0	0	0.039703302555183	0	0.54900240422019	0	0	0.0380883210953901	0	0	0.0508557379076944	0.0543318307211971	0	0.57947938605947	0.0754601017458819	0	0	9999	0.283008490277517	1.16232369276894	1.46040775998024
mix_3	0.048537462937045	0	0	0.0416525062562837	0	0	0.0449133136079105	0	0.304039823163271	0	0	0.0268530323092497	0	0	0.0258622919595659	0.131138854505364	0	0.775470099907485	0.0501252163912754	0	0	9999	0.297365079053208	1.14985261212128	1.44859260103745
mix_4	0.0543385267767052	0	0	0.0427590230555099	0	0	0.0424300621517198	0	0.393021195976769	0	0	0.0409882664091496	0	0	0.0453450309381949	0.121103576437681	0	0.64641174524507	0.0717404817667294	0	0	9999	0.292983210506994	1.15208114448357	1.45813790875753
mix_5	0.0181839845938862	0	0	0.0366466988964818	0	0	0.0545547546902694	0	0.3617277334797	0	0	0.0427626263712269	0	0	0.0369406532895089	0.135820063004314	0	0.694530669748651	0.0715748402851556	0	0	9999	0.295120769721587	1.15098437562525	1.45274202435919
mix_6	0.0219708484426558	0.0118258340231144	0	0.0472457576121502	0	0	0.0414315869219409	0	0.443434974571816	0	0	0.0357312198356908	0	0	0.0413964454298089	0.101154509005897	0	0.641538238376443	0.0724084945380121	0	0	9999	0.290638049717068	1.1548750828899	1.45813790875753
mix_7	0.0899452438253064	0	0	0.0378587828875584	0	0	0.0447973507674923	0	0.354310027288613	0	0	0.0312130104062949	0	0	0.032324479679359	0.136000953930548	0	0.659678321523454	0.0643565434423479	0	0	9999	0.293238245538854	1.15237885961667	1.45048471375097
mix_8	0.0776045840337335	0.019207272790021	0	0.0578612469230664	0	0	0.0417335400256426	0	0.502076614372338	0	0	0.0372092759567768	0	0	0.0507120444123291	0.0447242790283392	0	0.553516749379122	0.0721914980967775	0	0	9999	0.286911228499102	1.1573805040702	1.45683710501815
mix_9	0	0.00332886680188289	0	0.0402207248055376	0	0	0.0490795525358141	0	0.433027552181923	0	0	0.0427785410192989	0	0	0.0421949069052178	0.109108745603305	0	0.669083501954004	0.0746889802502468	0	0	9999	0.29074972222198	1.15492181076696	1.46351137205723
mix_10	0.128754959180883	0.0150485381460473	0	0.0491232558417714	0	0	0.03999392408843	0	0.384555490744613	0	0	0.0361783086721064	0	0	0.0418483542221511	0.0859316897184195	0	0.612530981810463	0.0616243814794269	0	0	9999	0.290949754548534	1.15292068600084	1.45558988390431
mix_11	0	0.0163522003528311	0	0.0438966133500793	0	0	0.042022182354347	0	0.5479425747599	0	0	0.0361022843441095	0	0	0.0591978266445472	0.0536304372192875	0	0.5767476483519	0.0770687676892165	0	0	9999	0.283809712225503	1.16175425778419	1.45296053506622
