naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
S10001,0.122069610065765,0,0.126020695533158,0,0,0,0.406152172592755,0.294242853001734,0.012880105453689,0,0,0,0,0,0,0,0,0,0,0.0386345633528975
S10006,0.13786015253893,0.000578144276391607,0.0602176777901162,0,0,0.0313300922167815,0.410393463697928,0.281282830998345,0.0212901291033933,0,0,0,0,0,0,0.00346041379067424,0,0,0,0.0535870955874402
S1001,0.039131236325448,0.0578178283050645,0.110449877692693,0,0,0.0647640600195131,0.380959030541412,0.243769678253922,0.0292091279218274,0,0,0,0,0,0,0.0462705583763049,0,0,0,0.0276286025638146
S10010,0.00102317865055079,0.0599010250800233,0.104119183469147,0,0,0.0346935287261373,0.497268758072816,0.227529879212623,0.0327380153493871,0,0,0,0,0,0,0.0344751482683208,0,0,0,0.00825128317099488
S10011,0.0935862831072818,0,0.134318478916402,0,0,0,0.400672024202253,0.300019726120026,0.0165179233453901,0,0,0,0,0,0,0.0220125179076515,0,0,0,0.0328730464009955
S10014,0.0866063044292296,0.044461137799688,0.0840887400404759,0,0,0.0252627814568354,0.426839389433479,0.274054230790346,0.0273870248098886,0,0,0,0,0,0,0.0038146206961354,0,0,0,0.0274857705439221
S10026,0.00412915931102514,0.0995641984385207,0.0812111964166075,0,0,0.046529540560438,0.445059284744896,0.266420389150179,0.00641835732225998,0,0,0,0,0,0,0.0506678740560737,0,0,0,0
S10032,0.109624508894781,0,0.182536381674695,0,0,0.0447332747960192,0.369917055075098,0.250286770382876,0,0,0,0,0,0,0,0.0304602586547375,0,0,0,0.0124417505217936
S10036,0,0.108080149584773,0.0497456861442132,0,0,0.0261968000573654,0.443219451933703,0.289819391117414,0.00959919200460625,0,0,0,0,0,0,0.0337818777694666,0,0,0,0.0395574513884575
S10042,0.106881366510758,0,0.109362577351857,0,0,0.0596623845732422,0.406799132815751,0.242391490429558,0.00770139650718003,0,0,0,0,0,0,0.066422546932704,0,0,0,0.000779104878948639
S10044,0.0298844019238068,0.0750222004503089,0.0763824092720994,0,0,0.0484673946791224,0.432164191842178,0.279711631999101,0,0,0,0,0,0,0,0.0583677698333834,0,0,0,0
S10049,0.0899908246862624,0.0382539502438637,0.0932953018864877,0,0,0.0483910804994816,0.383791959043229,0.28826776611921,0.0171508546979698,0,0,0,0,0,0,0.0408582628234958,0,0,0,0
S10057,0.081179711745075,0.0417097576498156,0.109467036019237,0,0,0.000386009269114244,0.336538963640566,0.281356259775853,0.074270504329862,0,0,0,0,0,0,0.0244157112283512,0,0,0,0.0506760463421264
S10062,0.0589337349633093,0.0457457651822996,0.161095088165805,0,0,0.0154402334752276,0.363768268972844,0.285887109404985,0.0308879114658151,0,0,0,0,0,0,0.0300295893411524,0,0,0,0.00821229902856233
S10066,0.0304601439432347,0.0508620191179075,0.1206951107155,0,0,0,0.475764998563823,0.271469058689154,0.0209691694857037,0,0,0,0,0,0,0.00610618913520071,0,0,0.00112930183714664,0.0225440085123305
S10067,0.097868517599027,0.0302545494519408,0.121729625113509,0,0,0.0938052736448289,0.300263793210507,0.297637696978895,0.0145005925253817,0,0,0,0,0,0,0.0385969003893092,0,0,0,0.00534305108660083
S1007,0.119542308242866,0,0.129316690226315,0,0,0.0109791592837521,0.363165881542615,0.295879809739409,0.0132884679200999,0,0,0,0,0,0,0.0261550840169962,0,0,0,0.0416725990279469
S10073,0.0941416239541953,0,0.105624688431242,0,0,0.0321898121532482,0.382184596876401,0.307748667415648,0.031326633321019,0,0,0,0,0,0,0.0467839778482469,0,0,0,0
S10077,0.14660269799133,0,0.173552616884777,0,0,0,0.335337207090148,0.271769545194218,0.0268283864556605,0,0,0,0,0,0,0.0100427709839317,0,0,0,0.0358667753999346
S10080,0.109070193026185,0,0.154233226624851,0,0,0.00313443742283183,0.378107676396436,0.260767858474783,0.0455484829677147,0,0,0,0,0,0,0.0219822299920783,0,0,0,0.0271558950951203
S10082,0.0850756372671482,0.0321983681512661,0.119223680065013,0,0,0,0.385364039960714,0.308849335107476,0.0111047160284779,0,0,0,0,0,0,0.0581842234199038,0,0,0,0
S10087,0.150467067158046,0,0.135155963898743,0,0,0.0249011981042158,0.351247169010422,0.28690065357914,0.0203127835312778,0,0,0,0,0,0,0.0310151647181539,0,0,0,0
