Mixture	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage	P-value	Correlation	RMSE	Absolute score (sig.score)
A	0.218424239154063	0.942356757350013	0.129922828564075	0.0247809980688403	0	0.371465479622868	9999	0.643838830818133	0.814397236230681	1.68695030275986
B	0.25251398887336	0.966826938378973	0.135344964547457	0.00928206759370537	0.000605634649602655	0.339948231025975	9999	0.647283958561835	0.81098316821245	1.70452182506907
C	0.0271328639055329	1.3154230957247	0.183891354554779	0.028526020841992	0.00320890868138936	0.0984259198132093	9999	0.662740057836634	0.80622580234564	1.65660816352161
D	0.0262937407283494	1.32243200541668	0.185741075638809	0.0322958469119984	0	0.099106944795688	9999	0.680539267382879	0.784783883964879	1.66586961349152
E	0.0231813795447397	1.15056006377431	0.308699366502436	0.02579312741802	0.00767052733832677	0.162665586490484	9999	0.655656442872563	0.810683181654385	1.67857005106832
F	0.0142197083385836	1.00130733162026	0.31412113563818	0.0372736418794991	0	0.334843872600493	9999	0.60342965108931	0.863435041935862	1.70176569007701
G	0.293957608713497	0.791458147026812	0.0410972916117284	0	0.00371724417849216	0.576198501795824	9999	0.583211681475463	0.876197837037023	1.70642879332635
H	0.36841501111605	0.493402271996859	0.1418363879907	0.00905653816982544	0.0029071304566456	0.659708546232434	9999	0.618252454282196	0.836942804673843	1.67532588596251
I	0.401191988100558	0.493228639697623	0.109129881745158	0.0113527900787858	0.00475861243138999	0.65203819354602	9999	0.612356725502046	0.842940564875009	1.67170010559954
J	0.019002389523319	1.21562334743531	0.340012998247949	0.0357368996763837	0	0.0158461186050512	9999	0.669711391284733	0.801018804782085	1.62622175348801
K	0	1.11156645256234	0.436057225911603	0.0497684809535434	0.000528574484411503	0.0436843679948803	9999	0.670417064692729	0.798131359467249	1.64160510190678
L	0	1.24865904308796	0.244232021110204	0.0578633120372439	0.000560946158331638	0.111525008696187	9999	0.674512034684431	0.791075257158036	1.66284033108993
