Mixture	B_cells	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	T_cells_(CD8+)	P-value	Correlation	RMSE
S10001	0.018794916202313	0.0371736946214014	0.0804887620919019	0	0.476176064371139	0.387366562713244	0	9999	0.542391328704714	0.917161248080972
S10006	0.070710984476339	0.123295889078269	0	0.0652017415944523	0.460766500543484	0.280024884307455	0	9999	0.507540934816853	0.948170936362225
S1001	0.0439497162548433	0.256678282915422	0	0.0809407962040774	0.360452095194587	0.195748349833701	0.0622307595973691	9999	0.544201300295511	0.912103371717137
S10010	0.00121882375671087	0.175414909286788	0	0.0508217101130205	0.521108905267262	0.251435651576219	0	9999	0.598045823219724	0.870979981145211
S10011	0.0280067832015299	0.19759291642693	0	0	0.394794981484628	0.379605318886912	0	9999	0.569290576761833	0.886328392112275
S10014	0.0290738673910788	0.198984507319276	0	0.0716651549504114	0.422051815909049	0.278224654430185	0	9999	0.562643421358784	0.896698735998601
S10026	0.0540741862365129	0.204831313512655	0	0.067987867116263	0.392405752522139	0.21555443238829	0.0651464482241399	9999	0.550875333076345	0.904107229531241
S10032	0.0473100765914678	0.258646368291948	0	0.0710048174318339	0.364004575054152	0.259034162630599	0	9999	0.560841619843419	0.896458931856727
S10036	0.053664087003226	0.222471685662037	0	0.0229604122321414	0.430520750797015	0.144392256809643	0.125990807495938	9999	0.569235144125245	0.889476337069941
S10042	0.0720542268662058	0.214114369413036	0	0.0697498947531854	0.405318386517235	0.238763122450338	0	9999	0.576020837461242	0.880898737607546
S10044	0.0641920546834464	0.1665419075596	0	0.0599774451454369	0.413936505139583	0.266611282973363	0.0287408044985715	9999	0.560877372359523	0.893594549631427
S10049	0.0660910728012963	0.147050596637108	0	0.0611440858364031	0.406696994616197	0.319017250108996	0	9999	0.544548730372298	0.908279261382776
S10057	0.0502496376766578	0.194049635435863	0	0	0.377190793901281	0.305862633445581	0.0726472995406172	9999	0.542958724670729	0.908863633560333
S10062	0.0451073513798988	0.223310395839515	0	0.0415632804260339	0.39697020798476	0.293048764369792	0	9999	0.575353995549939	0.881868037921941
S10066	0	0.142817900274437	0	0.00862419077382962	0.557883081585135	0.290674827366598	0	9999	0.605782468498775	0.86481232084748
