	B Cells	Basophils	CD4+ T-cells	CD8+ T-cells	Endothelial cells	Eosinophils	Fibroblasts	Macrophages	Mast cells	Monocytes	NK cells	Neutrophils
S10001	0	0	0.2829	0	0.0394	0.7143	0	0.0271	0	0.0475	0	0.1738
S10006	0.0892	0	0.2681	0.0031	0.0448	0.4519	0	0.0124	0	0.0726	0.0871	0.1488
S1001	0.0159	0	0.3076	0.0641	0.049	0.4202	0	0.0557	0.0064	0.0979	0.1367	0.1303
S10010	0	0	0.2349	0.0773	0.0035	0.4493	0	0.0203	0.0092	0.1676	0.0686	0.1918
S10011	0.0183	0.088	0.3043	0.0645	0.0592	0.3414	0	0.0268	0.0039	0.1287	0	0.169
S10014	0	0	0.2755	0	0.0463	0.7834	0	0	0.0095	0.0088	0.0919	0.151
S10026	0.1182	0	0.3616	0.0741	0.019	0.2239	0	0.0554	0.0042	0.1447	0.0849	0.1669
S10032	0.1681	0	0.2483	0.0399	0.0126	0.2033	0	0.06	0.0256	0.2072	0.0694	0.1463
S10036	0.0012	0	0.3305	0.0237	0.0209	0.5883	0	0.0011	0.0082	0.0459	0.0668	0.1662
S10042	0.0457	0	0.272	0.0743	0	0.5869	0	0.0347	0.0183	0.0805	0.09	0.1414
S10044	0.0589	0	0.3347	0.0748	0	0.4532	0	0.0237	7.00E-04	0.0717	0.0216	0.1638
S10049	0.0941	0	0.3538	0.0956	0.0088	0.4859	0	0.0312	0	0.0404	0	0.1327
S10057	0.0092	0.0091	0.2934	0.0594	0.0793	0.495	0	0.0076	0	0.0529	0.1235	0.1475
S10062	0.1079	0	0.3137	0.0847	0.0058	0.2733	0	0.0529	0.0055	0.1485	0.0444	0.1673
S10066	0	0	0.2384	0.0175	0.0129	0.6502	0	0.0529	0.0059	0.125	0	0.2061
S10067	0.1208	0	0.37	0.0914	0.013	0.2904	0	0.0321	0.0029	0.065	0.1415	0.14
S1007	0.0559	0	0.2577	0.0341	0.0577	0.576	0	0	0.0083	0.0712	0.0857	0.1638
S10073	0.0929	0	0.3957	0.1134	0.0188	0.1837	0	0.0605	0.0081	0.1024	0.1056	0.1698
S10077	0.0115	0	0.2545	0.0446	0.0391	0.7497	0	0.0258	0.0069	0.0357	0.0368	0.1575
S10080	0	0	0.2362	0.0555	0.0211	0.6988	0	0.0522	0	0.0586	0.1159	0.1422
S10082	0.1308	0	0.3669	0.0951	0.0254	0.2827	0	0.03	0.0047	0.1254	0	0.1665
S10087	0.1671	0	0.3935	0.0802	0.0173	0.3254	0	0.0361	0.0034	0.0992	0.034	0.1477
S10089	0.0016	0	0.2717	0.042	0.0441	0.6553	0	0	0	0.0277	0.0264	0.172
S1009	0.1898	0	0.3823	0.1285	0.02	0.3473	0	0.0436	0.0188	0.0863	0.0794	0.1473
S10090	0.0169	0.064	0.333	0.0572	0.0232	0.4381	0	0	0.0098	0.0706	0.0528	0.1814
S10093	0	0	0.1796	0.0011	0.048	0.6073	0	0.01	0	0.0681	0.074	0.1414
S10094	0.0152	0	0.2927	0.0289	0.0114	0.4433	0	0.0384	0.0058	0.1129	0.0852	0.1537
S1010	0.066	0	0.2567	0.101	0.0469	0.4619	0	0.0698	0.0219	0.1043	0.0109	0.1437
S10111	0.0465	0	0.3508	0.0743	0.0235	0.362	0	0.0342	0.0107	0.0566	0.0818	0.1238
S10116	0.0589	0.0819	0.3488	0.1308	0.0623	0.1968	0	0.043	0.0176	0.097	0.1582	0.1174
S10119	0.1232	0	0.3637	0.1154	0.0439	0.4038	0	0.05	0.0224	0.0855	0.0453	0.1649
S10121	0.1175	0	0.3	0.0775	0.0444	0.2068	0	0.0296	0.0295	0.1343	0.1161	0.1619
S10130	0.0103	0.1157	0.219	0.026	0.0578	0.3295	0.001	0.0213	0.0103	0.144	0.1178	0.1846
S10140	0.106	0	0.1918	0.0272	0	0.4571	0	0.0427	0.0149	0.13	0.0428	0.1642
S10142	0.1615	0	0.3094	0.0481	0.0378	0.3234	0	0.0267	0.0241	0.1219	0.2462	0.1178
S10150	0	0.0446	0.0973	0	0.0407	0.5471	0	0.0171	0.0023	0.149	0.1093	0.1856
S10155	0.0227	0	0.3544	0.0995	0.0044	0.72	0	0.0125	0	0.0206	0	0.1353
S1016	0.03	0	0.2882	0.0577	0.0403	0.426	0	0.0388	0.0014	0.1155	0.1187	0.1582
S10163	0.0059	0.0255	0.2435	0.0645	0.0337	0.6177	0	0.0272	0.0014	0.0465	0.0102	0.1537
