Bcells	CD4_Tcells	CD8_Tcells	Monocytes	Neutrophils	NKcells	otherCells
Mix_1	0.135446455821175	5.97490410842924e-08	0.0555255664557015	0.0426994294801428	6.30256402707485e-07	0.359499104474781	0.406828753762756
Mix_2	0.279258554188609	0.0658001876689138	2.05461480512538e-07	0.0155653508347404	3.97350882421406e-08	0.262837165182983	0.376538496928185
Mix_3	0.0944575861450361	1.3464253376621e-09	0.200629690098421	0.0098012644835174	2.54022517472228e-07	0.388759170611524	0.306352033292559
Mix_4	0.141482149033028	3.3874095606366e-09	0.159936991021739	0.00416991377543232	8.36976058372829e-08	0.354580618107621	0.339830240977163
Mix_5	0.388445741083487	7.96947201344292e-07	0.015474334660973	0.000260110670938751	1.51943801482137e-07	0.344775273265653	0.251043591427946
Mix_6	0.230896032588816	6.83970270664185e-08	0.0715770382365297	0.0496325320011276	2.27681767147612e-07	0.294799125784198	0.353094975310534
Mix_7	0.173928144474669	5.39806277920148e-10	0.237327859571684	0.000425273871648647	3.73746297791721e-05	0.221411117045379	0.366870229867034
Mix_8	0.25493249636695	0.0107776860514567	0.188731486379514	0.0268971024416718	1.16573256667674e-07	0.0512244715877513	0.4674366405994
Mix_9	0.243220464815205	1.8257570960362e-08	0.119422755864056	0.0108735006505826	5.19881229155713e-07	0.288336948244252	0.338145792287104
Mix_10	0.302287955060035	3.3261812247697e-09	0.120617371001062	0.0240120287861379	2.97982789669003e-07	0.233821638744312	0.319260705099482
Mix_11	0.220215751114407	0.112830184407025	0.00180961640742098	0.00617307301963887	1.78552970252062e-08	0.257774761445219	0.401196595750993
Mix_12	0.0623236819423897	4.52605106737981e-09	0.155018235979072	0.0314791410403375	2.3478091325765e-08	0.359659467936789	0.39151944509727
Mix_13	0.325349875184339	1.53104403613393e-08	0.14183905015867	0.00625871163343838	8.51458597818381e-07	0.209383978530613	0.317167517723901
Mix_14	0.0970368555763235	2.22334996286235e-08	0.230124324676307	3.65562221661446e-10	0.000205679217108812	0.365433832691664	0.307199285239535
Mix_15	0.142273824107176	0.00701492612526996	0.22491109233383	0.0105316816782485	5.36776716662922e-08	0.17702494507163	0.438243477006174
Mix_16	0.230526577265981	1.11756504953784e-07	0.217581230801782	0.0164789369462126	1.45631490031167e-08	0.127043734003479	0.408369394662891
Mix_17	0.163265451424516	3.90591633020132e-08	0.25669107068758	0.00671958912010785	2.10350418136758e-06	0.179911325214514	0.393410420989937
Mix_18	0.147788487365228	0.133602608320169	0.101513304952012	0.0142382388295424	9.24532393207456e-08	0.103425363719754	0.499431904360055
Mix_19	0.108886524213573	1.76102610855831e-08	0.169502937138653	0.0334141296244008	4.11917987672526e-08	0.349208204807389	0.338988145413925
Mix_20	0.271888160328796	3.80886261338326e-09	0.147508407930814	0.024740764209125	7.85428635769887e-07	0.171616638115821	0.384245240177946
Mix_21	0.250451906989299	2.26721624084382e-08	0.171582729718242	0.0350352636232368	1.23547957854354e-07	0.133438850781861	0.409491102667241
Mix_22	0.109630168615888	7.8430704632787e-09	0.171443210592997	0.0419810598572319	9.15989328769617e-06	0.289804976275716	0.387131416921809
Mix_23	0.356645560042244	0.0525087193211802	0.0276370973164493	0.0124597934004995	3.64577811126946e-08	0.166410477655729	0.384338315806117
Mix_24	0.0147282108078712	3.58010713083651e-07	0.377988423943834	0.0207099324898854	2.74855385961132e-09	0.0607074787969026	0.52586559320224
Mix_25	0.309450366173305	8.67204397356856e-06	0.171958136661227	0.000259200683045407	1.1944978232974e-06	0.191238835027321	0.327083594913306
Mix_26	0.218388918000057	2.96733380980883e-05	0.256027368236997	0.00469955198965328	2.96044797471892e-08	0.119478158179167	0.401376300651548
Mix_27	0.270043566254316	2.03201209500028e-08	0.293214878757926	0.0256463058594827	1.3743014119895e-07	0.0250200988163495	0.386074992561664
Mix_28	0.207104107627	1.77402924251493e-08	0.136212698602906	0.0309931941582343	1.20804358334923e-08	0.224229257404331	0.401460712386801
Mix_29	0.255558297919866	1.94768858005471e-08	0.246930116512442	0.0057544965677128	4.83300808717017e-09	0.107856049996923	0.383901014693162
Mix_30	0.178407310963794	6.58477962280292e-09	0.192471055122745	7.81036324803855e-09	2.82868835410753e-05	0.377212405355243	0.251880927279534
Mix_31	0.244605803440436	9.51133919808184e-08	0.184658200340444	0.0146484318158349	4.84814552204859e-08	0.162524007256881	0.393563413551557
Mix_32	0.144060207454714	0.0701926089852574	0.177897269152443	0.0226094237978439	3.51182159798869e-07	0.071591283737487	0.513648855690094
Mix_33	0.0916579627671027	1.7400124569174e-08	0.26788906533018	0.0208169391957708	2.77182973850632e-08	0.174181784008178	0.445454203580346
Mix_34	0.255413149208344	8.28252271602336e-09	0.0960681123198729	0.0419350625423284	1.42870633905019e-07	0.255570155660905	0.351013369115393
Mix_35	0.194417393904954	0.00791594591033007	0.101595603424374	0.0067398314670417	4.75093339858631e-08	0.330379044195455	0.358952133588511
Mix_36	0.232534757712699	1.49777735213981e-08	0.167258089071732	0.0100878698172145	1.57932789160182e-07	0.239374515481084	0.350744595006707
Mix_37	0.107375650765354	2.94102132718127e-08	0.172445837520482	0.0119890516287676	5.01919118517832e-08	0.40563310200517	0.302556278478101
Mix_38	0.0706435067967177	2.60540741414322e-07	0.172644808510751	0.0284209341322421	5.22703026431221e-08	0.306363670230217	0.421926767519028
Mix_39	0.330081136982195	1.1240960105804e-06	0.123052730350304	0.0431003818330473	4.43219649005341e-07	0.0604859690255975	0.443278214493196
Mix_40	0.215604347534093	4.2247971565254e-09	0.137239353048654	0.00360480562470189	1.42606256008755e-07	0.388842602680291	0.254708744281207
Mix_41	0.181702035877549	4.41174570332649e-07	0.0421927775356489	0.0130943165829945	2.06758668869329e-07	0.446597079101048	0.31641314296952
Mix_42	0.227134490308172	2.62722594861022e-09	0.283010566354475	0.00706909521819075	0.000451852499440203	0.0693950818714695	0.412938911121027
Mix_43	0.280510243765082	6.45544016803305e-09	0.10759928611212	0.0222821233109455	8.16878398913298e-07	0.280162287530252	0.309445235947761
Mix_44	0.108332623271854	2.80976470833056e-07	0.0845622642437515	0.0272544923338284	6.13791600300223e-08	0.406937134307867	0.372913143487068
Mix_45	0.125566218624148	4.61380747645974e-09	0.294685129898833	0.0194661321898444	4.36697947371655e-08	0.192901939802523	0.367380531201049
Mix_46	0.240930690047748	3.49229978506627e-08	0.313770751128001	0.0163234159476467	1.15491174982862e-08	0.0301638533289655	0.398811243075524
Mix_47	0.201060402133023	1.06466913546415e-08	0.118534136273219	0.0323477703194944	8.69516695220905e-08	0.274404077837342	0.373653515838561
Mix_48	0.238430406202563	1.9018953172688e-07	0.139209617974269	0.00911426006715058	7.16409374533111e-08	0.238749290224036	0.374496163701513
Mix_49	0.119318514162004	3.26376085246478e-08	0.116602714313022	2.60661730423802e-08	1.37126549908095e-07	0.457600373199277	0.306478202495365
Mix_50	0.0973749704354631	4.97680151280229e-09	0.363623327885147	0.0157308772436158	6.72280952777095e-08	0.0738458460802606	0.449424906150617
Mix_51	0.232161420125569	0.00252149066446174	0.162704059843617	0.0137683449187061	7.2798151029015e-08	0.177072073080672	0.411772538568823
Mix_52	0.05578831302728	3.52077935669704e-09	0.293223309470871	0.0107264276666051	0.000367888653747594	0.292678346702578	0.347215710958138
Mix_53	0.213062035474124	1.96582879457895e-08	0.210993214385886	0.0283769839417551	6.30441360113309e-06	0.144056861203781	0.403504580922565
Mix_54	0.11203189732182	2.46486422517483e-09	9.43330278660703e-09	0.0338580129491012	2.89976453896536e-07	0.601539871447767	0.252569916406691
Mix_55	0.0666999359543575	2.6350180530956e-09	0.153903628056694	0.00921727512920566	6.7155089522082e-08	0.476033165351379	0.294145925718257
Mix_56	0.111365295396243	2.13368897906748e-09	0.324670347117311	0.0223530902951253	6.99380100416452e-07	0.128984828109058	0.412625737568474
Mix_57	0.0178280405732505	0.0386473104415638	8.13420426938836e-10	0.0142235563957393	5.5628070052523e-07	0.609607412952067	0.319693122543258
Mix_58	0.137994269204227	5.47029318448433e-07	0.229686924973259	0.00853759071175314	8.42855517860855e-10	0.186818485210124	0.436962182028462
