T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
S10001	7.41566153846154	4.022	6.31844	5.2263	6.4482	6.21721428571429	4.93948	8.55617142857143	5.05564285714286	5.3935
S10006	7.37786923076923	3.9155	6.76024	5.835775	6.6387125	6.03244285714286	4.87656	8.5372	5.18926071428571	5.3804375
S1001	7.45956153846154	4.3622	7.45916	6.177125	6.1311625	6.49101428571429	5.09446	8.46221428571429	4.99186785714286	5.221175
S10010	7.21879230769231	4.386	7.0028	5.79725	5.7280375	6.35148571428571	4.94434	8.9914	4.86049285714286	5.321725
S10011	7.58114615384615	4.3611	6.71752	5.625125	6.3032125	6.24881428571429	4.7518	8.46395	4.96025714285714	5.3876
S10014	7.26723076923077	4.3356	6.87594	5.921675	6.2182125	6.06771428571429	4.91422	8.4558	4.97505357142857	5.3312125
S10026	7.5181	4.1908	6.98464	5.834775	6.3352375	6.58917142857143	4.97258	8.67305	4.90066428571429	5.0737875
S10032	7.27686153846154	3.9553	7.07602	6.1354	6.806775	7.08224285714286	4.92738	8.49064285714286	4.86343214285714	5.1699875
S10036	7.39687692307692	4.1785	6.72064	5.84365	6.0447125	6.02325714285714	4.90836	8.56917857142857	5.04717142857143	5.44
S10042	7.53450769230769	4.3767	7.2053	6.330975	6.5270375	6.33412857142857	4.89828	8.60678571428571	5.05574285714286	5.334575
S10044	7.61145384615385	4.3415	7.03434	6.083175	6.5521625	6.33545714285714	5.1588	8.88892857142857	4.91129642857143	5.2010625
S10049	7.6128	4.9521	6.85612	5.833775	6.796725	6.36664285714286	5.10324	8.53833571428572	4.95246785714286	5.1534625
S10057	7.40311538461538	3.6633	6.91232	5.952075	6.3848875	5.97447142857143	4.90438	7.9869	5.13602142857143	5.54975
S10062	7.55620769230769	5.1588	6.88954	6.0853	6.4688125	6.39482857142857	4.88872	8.64202857142857	4.93859285714286	5.2592125
S10066	7.37451538461538	3.3016	6.56074	5.569775	5.9344625	6.13254285714286	4.85576	8.97768571428571	4.93194285714286	5.3138875
S10067	7.69083846153846	4.5865	7.22078	6.2545	6.618775	6.30344285714286	4.9708	8.27327857142857	4.90379642857143	5.1619375
S1007	7.40832307692308	3.9902	7.07332	5.938025	6.4542	6.16325714285714	5.05394	8.45552857142857	5.064525	5.4372
S10073	7.87409230769231	5.278	7.42264	6.079175	6.3973875	6.33412857142857	5.01256	8.58693571428571	4.85413214285714	5.174675
S10077	7.27294615384615	4.1211	6.69368	5.816775	6.6283625	6.19292857142857	4.77582	8.25472857142857	4.97084285714286	5.4482625
S10080	7.51046153846154	4.7054	7.42758	6.130475	6.5748875	6.33204285714286	4.99956	8.67521428571429	5.04784285714286	5.54825
S10082	7.73249230769231	3.9871	6.53264	5.590325	6.62815	6.22558571428571	4.9998	8.59662142857143	4.797825	5.28705
S10087	7.63283076923077	4.1983	6.93022	5.938475	7.1047	6.71492857142857	4.93368	8.45204285714286	4.85498571428571	5.1862
