Sample	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	Other
S10001	S10001	0.07890831635558	0	0	0	0.442784393794089	0.0134954039270839	0	0	0.464811885923247	0	0
S10006	S10006	0.108775826616072	0	0	0	0.285700900035224	0.0329238461590107	0	0	0.572599427189693	0	0
S1001	S1001	0.0799098880814907	0	0.0298526265381053	0	0.413392331449957	0.0650857673401014	0	0	0.411759386590346	0	1.11022302462516e-16
S10010	S10010	0.0485178093522212	0	0.00572887326565373	0	0.711053866172206	0.0357043732128088	0	0	0.19899507799711	0	0
S10011	S10011	0.123433008020156	0.00371593302429554	0.0178846457004039	0	0.548917774894446	0.0488566395505884	0	0	0.25719199881011	0	4.44089209850063e-16
S10014	S10014	0.083506034125732	0.000165298384540531	0.0127183760019331	0	0.51786072242347	0.0514437087375044	0	0	0.33430586032682	0	2.22044604925031e-16
S10026	S10026	0.0718359524218764	0	0.0176320782235993	0	0.492794205018672	0.035774959494702	0	0	0.38196280484115	0	6.66133814775094e-16
S10032	S10032	0.11917468436322	0	0.00195521233762826	0	0.460083374289259	0.0388214105588569	0	0	0.379965318451036	0	0
S10036	S10036	0.0580523615989232	0	0.0117705828768652	0	0.545692924781595	0.0503802585183931	0	0	0.334103872224223	0	2.22044604925031e-16
S10042	S10042	0.095596274002264	0	0.0220350231224757	0	0.538708557721927	0.0498573770757182	0	0	0.293802768077615	0	3.33066907387547e-16
S10044	S10044	0.0671161417996809	0	0	0	0.530463250671213	0.0356783860705012	0	0	0.366742221458604	0	0
S10049	S10049	0.0931364926064002	0	0	0	0.403703988618016	0.0331654762866282	0	0	0.469994042488956	0	2.22044604925031e-16
S10057	S10057	0.111358507232687	0	0	0	0.231257356237827	0.0635585906228991	0	0	0.593825545906586	0	0
S10062	S10062	0.0874214595903975	0	0	0	0.46190692757154	0.0365783325408921	0	0	0.41409328029717	0	3.33066907387547e-16
S10066	S10066	0.0395174145457329	0	0	0	0.704596326499352	0.0165235664571042	0	0	0.239362692497811	0	2.22044604925031e-16
S10067	S10067	0.0963508864118167	0	0	0	0.356403704237563	0.0660755191509006	0	0	0.48116989019972	0	1.11022302462516e-16
S1007	S1007	0.116968393391249	0	0	0	0.336628263241009	0.0387967696458968	0	0	0.507606573721845	0	1.11022302462516e-16
S10073	S10073	0.0897418061768466	0	0	0	0.428810878409802	0.0454267172099733	0	0	0.436020598203378	0	4.44089209850063e-16
S10077	S10077	0.117422960441725	0	0	0	0.497826111799957	0.040938472023287	0	0	0.343812455735031	0	2.22044604925031e-16
S10080	S10080	0.114421537152432	0.00043685092586534	0.0082372998196699	0	0.582014789349471	0.0513529991720511	0	0	0.243536523580511	0	1.11022302462516e-16
