Sample	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	Other
S10082	S10082	0.0900913519271036	0	0.0139006368293576	0	0.569563377549251	0.0397443549116374	0	0	0.28670027878265	0	8.88178419700125e-16
S10087	S10087	0.139954677901654	0	0	0	0.304700721383782	0.0323289174153869	0	0	0.523015683299177	0	1.11022302462516e-16
S10089	S10089	0.107486804554971	0	0	0	0.465757082079377	0.0575303451960545	0	0	0.369225768169598	0	1.11022302462516e-16
S1009	S1009	0.169612128953774	0	0	0	0.36790189665409	0.0527585896369825	0	0	0.409727384755154	0	0
S10090	S10090	0.0680705096601186	0	0	0	0.38535931023198	0.0179053713219266	0	0	0.528664808785975	0	0
S10093	S10093	0.079119762355909	0	0.0392746558787122	0	0.394988367644347	0.0468362553831405	0	0	0.439780958737891	0	7.7715611723761e-16
S10094	S10094	0.0590044456169342	0	0	0	0.457028370064761	0.0253991558234268	0	0	0.458568028494878	0	2.22044604925031e-16
S1010	S1010	0.124449517987785	0.0102406056380768	0.00838843287896932	0	0.41733325644736	0.045222705129319	0	0	0.394365481918489	0	2.22044604925031e-16
S10111	S10111	0.0915687267643566	0	0	0	0.355518656044509	0.0516552277791874	0	0	0.501257389411947	0	2.22044604925031e-16
S10116	S10116	0.139865341197167	0	0	0	0.147793027161141	0.0692524338449801	0	0	0.643089197796711	0	0
S10119	S10119	0.137922921201776	0.00135644265563105	0.0134437052337641	0	0.329365509209496	0.0626891727453596	0	0	0.455222248953973	0	0
S10121	S10121	0.0959770565022966	0.0020977143954452	0	0	0.544821259630828	0.0641997654007123	0	0	0.292904204070718	0	4.44089209850063e-16
S10130	S10130	0.0752057999891121	0	0.00905692539470134	0	0.597753046526753	0.0655478886234473	0	0	0.252436339465986	0	0
S10140	S10140	0.0940184466224767	0	0	0	0.611521142537831	0.0183119668590506	0	0	0.276148443980642	0	0
S10142	S10142	0.146565319878358	0	0	0	0.180659533586486	0.0823404471267935	0	0	0.590434699408362	0	2.22044604925031e-16
S10150	S10150	0.0452797533394326	0	0	0	0.712958711716564	0.0248320585728638	0	0	0.21692947637114	0	0
S10155	S10155	0.137763657763667	0	0.017987781092388	0	0.375875500166599	0.0616562583866457	0	0	0.4067168025907	0	3.33066907387547e-16
S1016	S1016	0.0808185273151093	0	0	0	0.506795659561771	0.0516304125098568	0	0	0.360755400613262	0	2.22044604925031e-16
S10163	S10163	0.104395982099338	0	0	0	0.545813994192325	0.0184148345955895	0	0	0.331375189112746	0	3.33066907387547e-16
S10167	S10167	0.0896413968371361	0	0.00671406620766349	0	0.443243843097489	0.0599184676665553	0	0	0.400482226191156	0	0
S10168	S10168	0.119866570243769	0	0	0	0.326896247874908	0.0833585431291448	0	0	0.469878638752178	0	0
S10173	S10173	0.162228177301113	0.00280052601889979	0.0132461529207063	0	0.474062370356982	0.062595822599743	0.0655870550516474	0.00606478068352367	0.213415115067385	0	5.55111512312578e-16
S10175	S10175	0.0850100400646614	0	0	0	0.372525421531911	0.0281396658824087	0	0	0.514324872521019	0	0
S10179	S10179	0.0648575546621448	0	0	0	0.182344865972014	0.0615198535991522	0	0	0.691277725766689	0	0
S10186	S10186	0.214607704378951	0	0	0	0.0193338023293692	0.0934498946109335	0	0	0.672608598680747	0	1.11022302462516e-16
S1019	S1019	0.113945273529685	0.000233479660974297	0	0	0.411294119769505	0.064470744938661	0	0	0.410056382101175	0	2.22044604925031e-16
S10190	S10190	0.109540885695727	0.000782100471361806	0.048833074764568	0	0.476684941800915	0.0565875703448786	0	0	0.307571426922548	0	4.44089209850063e-16
S10195	S10195	0.0562533582633191	0	0	0	0.377331359494641	0.00230054498598195	0	0	0.564114737256058	0	0
S10196	S10196	0.0739245711571213	0	0	0	0.425830986376535	0.0401985933024211	0	0	0.460045849163923	0	0
S10200	S10200	0.0540731147968433	0	0.0155355051648149	0	0.556645468701866	0.051939939343455	0	0	0.32180597199302	0	5.55111512312578e-16
S10201	S10201	0.0478705884827918	0	0	0	0.679256172639097	0.0103401312927098	0	0	0.262533107585402	0	0
S10202	S10202	0.104396740686152	0.0169290645375455	0.0139468373317648	0	0.55026841162625	0.0620126105027703	0	0	0.252446335315517	0	5.55111512312578e-16
S10205	S10205	0.115678132230256	0	0	0	0.418148042827601	0.0198764933204713	0	0	0.446297331621672	0	2.22044604925031e-16
S10211	S10211	0.0907298234393637	0	0.0397226576087286	0	0.409423612480747	0.0465188875097634	0	0	0.413605018961397	0	2.22044604925031e-16
S10221	S10221	0.0901260681717033	0	0.00611099168406112	0	0.441237210018865	0.0437889382035042	0	0	0.418736791921866	0	0
S10222	S10222	0.0912358080519478	0	0	0	0.531459790775644	0.0322244901879618	0	0	0.345079910984447	0	2.22044604925031e-16
S10226	S10226	0.0901601660058613	0	0	0	0.439887010869901	0.0355839338133521	0	0	0.434368889310885	0	1.11022302462516e-16
S10227	S10227	0.0505332544891996	0	0	0	0.428576411239241	0.00958351220265666	0	0	0.511306822068903	0	0
S10228	S10228	0.0961178366951216	0	0	0	0.427493982747579	0.051828783083313	0	0	0.424559397473986	0	0
S10232	S10232	0.201076721188364	0.00413631691220005	0	0	0.261614590663126	0.089225404265063	0	0.00873052884918355	0.435216438122062	0	4.44089209850063e-16
S10248	S10248	0.0796567444391579	0	0	0	0.488858179025392	0.042871428999013	0	0	0.388613647536437	0	5.55111512312578e-16
S10249	S10249	0.0638834614601496	0.0226854631117831	0.00408157805895482	0	0.718592658988405	0.0233466270495888	0	0	0.167410211331119	0	5.55111512312578e-16
S1025	S1025	0.130038544968823	0	0	0	0.321982921706687	0.081396614476628	0	0	0.466581918847861	0	0
S10266	S10266	0.0853747660167577	0	0	0	0.480502708128459	0.0258753898441645	0	0	0.408247136010619	0	0
S10269	S10269	0.118704323590257	0	0	0	0.538596809086971	0.0412076956353862	0	0	0.301491171687385	0	4.44089209850063e-16
S10272	S10272	0.056775223255624	0	0	0	0.518441817738226	0.0289379892615006	0	0	0.395844969744649	0	0
S10273	S10273	0.128670994314846	0	0	0	0.540366556972613	0.0271086118130538	0	0	0.303853836899487	0	0
S10274	S10274	0.0649900916163526	0	0	0	0.441588923371657	0.0333763652641462	0	0	0.460044619747844	0	0
S1028	S1028	0.0796181638179978	0	0	0	0.484311704352535	0.0427728183191922	0	0	0.393297313510274	0	4.44089209850063e-16
S10280	S10280	0.144458265182962	0.0186020734033191	0.0116425674163953	0	0.519745349946116	0.0753157588190375	0	0	0.230235985232169	0	4.44089209850063e-16
S10283	S10283	0.118465168660399	0.00396999652502663	0.00619486147661408	0	0.335886392541345	0.0817660850656112	0	0	0.453717495731003	0	5.55111512312578e-16
S1029	S1029	0.11312407653594	0	0	0	0.37787944513622	0.0371634940442081	0	0	0.471832984283633	0	0
S10292	S10292	0.114703949746855	0	0	0	0.363545869253787	0.0392127211311705	0	0	0.482537459868188	0	0
S10294	S10294	0.118068700191391	0	0.0150209750564969	0	0.377310377246979	0.0679871624221085	0	0	0.421612785083025	0	0
S10302	S10302	0.0886924733394508	0	0	0	0.337868367613596	0.0496234458714812	0	0	0.523815713175472	0	1.11022302462516e-16
S10303	S10303	0.149657597453507	0	0	0	0.445072959585322	0.069132634901758	0	0	0.336136808059412	0	7.7715611723761e-16
S10323	S10323	0.106633158569975	0	0	0	0.384238775800598	0.0416911547983048	0	0	0.467436910831123	0	0
S10326	S10326	0.0877013881647462	0	0.00504707770477129	0	0.473379932876965	0.0533795102940437	0	0	0.380492090959473	0	3.33066907387547e-16
S10328	S10328	0.0943570092975469	0	0	0	0.388759199643149	0.0686468950453077	0	0	0.448236896013996	0	0
S10329	S10329	0.123006506159835	0	0	0	0.374707991256923	0.050381600453097	0	0	0.451903902130145	0	0
S10336	S10336	0.0875944173322692	0	0	0	0.475933761691133	0.0613639081269958	0	0	0.375107912849602	0	0
S10340	S10340	0.112536322093129	0	0.00708953524200258	0	0.540714674935271	0.038327089871063	0	0	0.301332377858534	0	4.44089209850063e-16
S10347	S10347	0.12092592791183	0	0	0	0.351179531629087	0.0540076484593989	0	0	0.473886891999683	0	3.33066907387547e-16
S10353	S10353	0.11042716109408	0	0	0	0.369032645054882	0.0284280752587371	0	0	0.492112118592301	0	1.11022302462516e-16
S10356	S10356	0.146319818613811	0	0	0	0.221411535517348	0.029604572479541	0	0	0.602664073389299	0	3.33066907387547e-16
S10358	S10358	0.063409482266599	0	0	0	0.429254908586831	0.0155154272926395	0	0	0.49182018185393	0	0
S10365	S10365	0.078904030312872	0	0	0	0.518328173451458	0.0316306928150499	0	0	0.37113710342062	0	0
S1037	S1037	0.130303542789804	0	0	0	0.216630423085588	0.0822513704820878	0	0	0.57081466364252	0	2.22044604925031e-16
S10373	S10373	0.121729224548836	0	0	0	0.287136732934059	0.0417296528973465	0	0	0.549404389619758	0	0
S10374	S10374	0.0783685719488385	0	0	0	0.245717156311138	0.0357887184413952	0	0	0.640125553298629	0	0
S10375	S10375	0.0920893122435724	0	0.0326724641572504	0	0.554066699746758	0.0589243482127714	0	0	0.262247175639648	0	0
S10377	S10377	0.140687835115661	0	0.0139865469294623	0	0.29522293798463	0.0632685131798692	0	0	0.486834166790377	0	0
S10378	S10378	0.120459182664881	0	0.0176507994298286	0	0.478353842594333	0.0662425912181804	0	0	0.317293584092777	0	4.44089209850063e-16
S10390	S10390	0.157592413015714	0.00527214512997002	0	0	0.480190307276801	0.0606382626805146	0	0.0186812620831264	0.277625609813873	0	6.66133814775094e-16
S10391	S10391	0.0664333473130878	0	0	0	0.0639106724366229	0.0110713037271897	0	0	0.8585846765231	0	0
S10393	S10393	0.0787345660075554	0	0.0403980328133032	0	0.496073506111636	0.0689083092155967	0	0	0.315885585851908	0	6.66133814775094e-16
S10400	S10400	0.0927483222218114	0	0.0335189503582137	0	0.507625389101511	0.0425276050888814	0	0	0.323579733229582	0	4.44089209850063e-16
S10401	S10401	0.123956760698172	0	0	0	0.44214742655734	0.0472848196902886	0	0	0.386610993054198	0	5.55111512312578e-16
S10406	S10406	0.0439321275689291	0	0	0	0.565299540741839	0.00891960732305446	0	0	0.381848724366177	0	0
S10408	S10408	0.0988506597942732	0	0	0	0.468297139386503	0.0374905448045463	0	0	0.395361656014678	0	0
S10409	S10409	0.10066792767001	0	0.0391884432086506	0	0.39290786308997	0.059322629110214	0	0	0.407913136921155	0	0
S10418	S10418	0.0489239454560018	0	0	0	0.447640821944012	0.0116508130271922	0	0	0.491784419572794	0	0
S10431	S10431	0.087389768431526	0	0	0	0.425994491682998	0.0632153075242651	0	0	0.423400432361211	0	4.44089209850063e-16
S10438	S10438	0.102049359982367	0	0	0	0.439192895927274	0.0507477137396988	0	0	0.408010030350659	0	3.33066907387547e-16
S10439	S10439	0.0870861221273507	0	0.0548775773473044	0	0.47490622774076	0.0454766557260224	0	0	0.337653417058562	0	4.44089209850063e-16
S10441	S10441	0.0758527007585547	0.0185120307515663	0.0150070093102919	0	0.624676633030298	0.0385018237816995	0	0	0.227449802367588	0	7.7715611723761e-16
S10442	S10442	0.0930695276546694	0	0.00306598338899777	0	0.504678028258001	0.0401938288983149	0	0	0.358992631800016	0	1.22124532708767e-15
S1046	S1046	0.0678263208609984	0	0	0	0.548984608205323	0.0173195318997264	0	0	0.365869539033951	0	9.99200722162641e-16
S10478	S10478	0.0510919617414372	0	0	0	0.681584820574686	0.00527476446589657	0	0	0.26204845321798	0	1.11022302462516e-16
S10480	S10480	0.209670179566941	0.0031844971558042	0.00233300170088368	0	0.271516008213858	0.101291126786477	0	0.0028597355098792	0.409145451066157	0	4.44089209850063e-16
S10484	S10484	0.0866454131484821	0	0	0	0.446352352367839	0.0347716362647991	0	0	0.43223059821888	0	0
S10492	S10492	0.0884434907554651	0	0.00253895034600956	0	0.394192689244401	0.0495673838578721	0	0	0.465257485796252	0	7.7715611723761e-16
S10496	S10496	0.132878719326965	0	0	0	0.363895903122597	0.0557745326325611	0	0	0.447450844917877	0	2.22044604925031e-16
S10510	S10510	0.0698521744051566	0.00328544907102972	0.00062190868802056	0	0.495373277354162	0.0477313496293201	0	0	0.383135840852311	0	1.11022302462516e-16
S10513	S10513	0.0588213151880949	0	0	0	0.451763162770567	0.0331567194430039	0	0	0.456258802598334	0	2.22044604925031e-16
S10516	S10516	0.126207620759454	0.00220671145092835	0.00754347358057488	0	0.374232376795881	0.0546543758529208	0	0	0.435155441560241	0	5.55111512312578e-16
S10534	S10534	0.0999642252877199	0	0	0	0.416759599131158	0.0416967913717831	0	0	0.441579384209339	0	0
S10535	S10535	0.110114246955501	0	0.00381811647953027	0	0.418088846019677	0.0583235763979044	0	0	0.409655214147386	0	5.55111512312578e-16
S10537	S10537	0.118463635933845	0.00328384311152761	0.0482776780341354	0	0.555799126562917	0.0515387135119246	0	0	0.22263700284565	0	3.33066907387547e-16
S1054	S1054	0.0910337605800439	0	0	0	0.175885595666946	0.0472071001325214	0	0	0.685873543620488	0	2.22044604925031e-16
S10543	S10543	0.10777605891732	0	0	0	0.378845367709298	0.0533376292321836	0	0	0.460040944141199	0	3.33066907387547e-16
S10546	S10546	0.0816301972524393	0	0	0	0.338791362325367	0.0399505380750598	0	0	0.539627902347134	0	1.11022302462516e-16
S1055	S1055	0.0486685887134055	0	0	0	0.571103833972191	0.0114428516325505	0	0	0.368784725681853	0	2.22044604925031e-16
S10551	S10551	0.101988426344015	0	0	0	0.223435016600297	0.0413384737301393	0	0	0.633238083325549	0	1.11022302462516e-16
S10552	S10552	0.0504715586313636	0	0	0	0.45890784198585	0.0169248780469772	0	0	0.473695721335809	0	0
S10555	S10555	0.106232024008246	0	0.000472913362932666	0	0.394621026503297	0.0930792363541475	0	0	0.405594799771377	0	2.22044604925031e-16
S10559	S10559	0.0768474472843205	0.00342851318166969	0.0266136713789116	0	0.51217223839231	0.0538264061818735	0	0	0.327111723580915	0	1.11022302462516e-16
S1056	S1056	0.136681899920707	0.00426056932944169	0.015708534359986	0	0.450660498006946	0.0498245459980571	0	0	0.342863952384862	0	4.44089209850063e-16
S10563	S10563	0.0945243891200689	0.00558353059522352	0	0	0.528795086284101	0.0303216137873026	0	0	0.340775380213304	0	5.55111512312578e-16
S10574	S10574	0.0794209695538656	0	0	0	0.38299797711416	0.0630981014109686	0	0	0.474482951921005	0	2.22044604925031e-16
S10576	S10576	0.0576507656686368	0	0.0173064749610501	0	0.689309071755243	0.0289691466922982	0	0	0.206764540922772	0	2.22044604925031e-16
S10578	S10578	0.0640826073638325	0	0.0169557277071016	0	0.552140919302744	0.0438473812994747	0	0	0.322973364326847	0	2.22044604925031e-16
S10579	S10579	0.0456432586895313	0	0	0	0.523181740079512	0.0246659828916364	0	0	0.40650901833932	0	0
S10582	S10582	0.0776098428002232	0	0	0	0.527355350237889	0.0387629054272969	0	0	0.35627190153459	0	2.22044604925031e-16
S1059	S1059	0.108827791228328	0.00674528438007108	0.00908630386212795	0	0.553159687512906	0.0431914083517658	0	0	0.2789895246648	0	2.22044604925031e-16
S10599	S10599	0.0663580305802645	0	0.0388230633356319	0	0.650011637588898	0.0249504738404907	0	0	0.219856794654715	0	0
S10611	S10611	0.0631457901820164	0	0	0	0.449338287727244	0.0260940047439794	0	0	0.46142191734676	0	0
S10614	S10614	0.0523082246131987	0	0	0	0.706746823276756	0.030238410716094	0	0	0.210706541393951	0	0
S10624	S10624	0.129502370567425	0.00864775697210099	0	0	0.355968027025471	0.0171028833387039	0	0	0.488778962096299	0	2.22044604925031e-16
S10632	S10632	0.0784691312973008	0	0	0	0.493334286669464	0.0289145836155886	0	0	0.399281998417647	0	0
S10634	S10634	0.106921823911515	0	0	0	0.513520788672034	0.0456387676951768	0	0	0.333918619721273	0	3.33066907387547e-16
S10638	S10638	0.128507192697331	0.0343261487582693	0.0300597983614533	0	0.571922881814651	0.0458980001508523	0	0	0.189285978217443	0	1.11022302462516e-16
S10644	S10644	0.118106459552141	0	0.016351884206381	0	0.368789920533186	0.0715417106772661	0	0	0.425210025031024	0	6.66133814775094e-16
S10649	S10649	0.0364938514845138	0	0	0	0.659586046965254	0.0182824001400149	0	0	0.285637701410217	0	0
S10652	S10652	0.089438707101521	0	0	0	0.487648505446004	0.0313192769341408	0	0	0.391593510518334	0	0
S10654	S10654	0.106566768624143	0.000881628744223651	0.0237853905425727	0	0.506657850970407	0.0772161654984127	0	0	0.284892195620241	0	0
S10655	S10655	0.0804676562482505	0	0	0	0.526374109836558	0.0549020219954148	0	0	0.338256211919776	0	2.22044604925031e-16
S10656	S10656	0.0776242548855719	0	0	0	0.470502816497789	0.0721702450225177	0	0	0.379702683594121	0	6.66133814775094e-16
S10657	S10657	0.131994235125668	0.00905346354737774	0.00936286239977514	0	0.40672076776645	0.0671306825936493	0	0	0.375737988567079	0	1.11022302462516e-16
S10658	S10658	0.0903023303070838	0	0.000669785665892139	0	0.589458766877368	0.0520631112311488	0	0	0.267506005918506	0	4.44089209850063e-16
S10660	S10660	0.139464386400368	0	0	0	0.124730713419419	0.0932119234842595	0	0	0.642592976695954	0	2.22044604925031e-16
S10661	S10661	0.123980457097187	0	0	0	0.310737872128604	0.0326108889704354	0	0	0.532670781803773	0	0
S10676	S10676	0.0750752553153501	0.0141271831701133	0	0	0.520744145307626	0.0265279909401907	0	0	0.363525425266719	0	2.22044604925031e-16
S1068	S1068	0.148850122045878	0.00320282142355947	0	0	0.369477820445623	0.0539395278343904	0	0	0.424529708250549	0	2.22044604925031e-16
S10681	S10681	0.0879731708885561	0	0.0402090104273018	0	0.511196471170811	0.0557506211991291	0	0	0.304870726314201	0	3.33066907387547e-16
S10686	S10686	0.0682231464599475	0	0	0	0.313945653926204	0.0299482244637556	0	0	0.587882975150093	0	0
S10688	S10688	0.120480108992895	0	0	0	0.399482604186074	0.0526701355697762	0	0	0.427367151251254	0	3.33066907387547e-16
S10690	S10690	0.104923496608077	0	0	0	0.343577811227135	0.0577346090305376	0	0	0.493764083134251	0	1.11022302462516e-16
S10698	S10698	0.121082697414828	0	0	0	0.395848600401455	0.0672184026348453	0	0	0.415850299548871	0	3.33066907387547e-16
S107	S107	0.094273177343856	0	0	0	0.442808379706144	0.0709582857490678	0	0	0.391960157200932	0	3.33066907387547e-16
S10703	S10703	0.114099634711594	0	0.0244358042967503	0	0.360868979986354	0.0775122120257634	0	0	0.423083368979537	0	6.66133814775094e-16
S10726	S10726	0.121966836164089	0	0	0	0.37888852190655	0.0348124419343642	0	0	0.464332199994997	0	2.22044604925031e-16
S10729	S10729	0.0719064125123202	0	0	0	0.434551385408002	0.0299598365760699	0	0	0.463582365503608	0	0
S10733	S10733	0.069039220133362	0	0.0172970874056739	0	0.512509623686762	0.0490254186281377	0	0	0.352128650146064	0	3.33066907387547e-16
S10734	S10734	0.0936456322564644	0	0.0458292074468904	0	0.343288702379401	0.0466867752223281	0	0	0.470549682694915	0	4.44089209850063e-16
S10735	S10735	0.128575478306539	0	0	0	0.391502350911845	0.0238891418229433	0	0	0.456033028958672	0	0
S10740	S10740	0.0693823039382492	0.00642233213404641	0.0181391304092581	0	0.61599543346557	0.0268083896443842	0	0	0.263252410408492	0	1.11022302462516e-16
S10745	S10745	0.0735564461947422	0	0.00348545854890344	0	0.618609612386552	0.0336237151603203	0	0	0.270724767709482	0	4.44089209850063e-16
S10748	S10748	0.117287669242577	0	0	0	0.369575505218407	0.0367596191554825	0	0	0.476377206383533	0	1.11022302462516e-16
S10753	S10753	0.0925449547167735	0	0	0	0.551231730294439	0.0189624455020149	0	0	0.337260869486772	0	4.44089209850063e-16
S10756	S10756	0.10861194819087	0	0	0	0.313982040982255	0.0384114054530253	0	0	0.538994605373849	0	1.11022302462516e-16
S10757	S10757	0.162950475935541	0.00617394824123616	0.0146546846896738	0	0.371440659671259	0.0829733420157774	0.101708545692319	0.007241249531998	0.252857094222195	0	3.33066907387547e-16
S1076	S1076	0.143137660330728	0.00862072072439825	0.0105380336037454	0	0.562591431338801	0.0534557683304228	0	0	0.221656385671903	0	5.55111512312578e-16
S10764	S10764	0.0978699573767217	0	0	0	0.385524164111518	0.0351163673887264	0	0	0.481489511123034	0	0
S10767	S10767	0.160410569257912	0	0.0297180409187832	0	0.204050161612781	0.0937589597650793	0	0	0.512062268445444	0	5.55111512312578e-16
S10776	S10776	0.070528776075453	0.00248182661096231	0	0	0.651239117804034	0.0357943634735228	0	0	0.239955916036028	0	0
S10778	S10778	0.085173529492594	0.00303746000213822	0	0	0.653892001673286	0.0367220539836985	0	0	0.221174954848283	0	4.44089209850063e-16
S10784	S10784	0.073096675665785	0	0	0	0.669859705336174	0.031336216759115	0	0	0.225707402238926	0	0
S10787	S10787	0.111934140915794	0	0	0	0.41480035561226	0.0538976255202236	0	0	0.419367877951723	0	1.11022302462516e-16
S10800	S10800	0.231541478670677	0	0	0	0.401453336750644	0.0165220381043462	0	0	0.350483146474332	0	0
S10805	S10805	0.082277201918817	0	0	0	0.456222011582162	0.0122501066343857	0	0	0.449250679864635	0	2.22044604925031e-16
S10813	S10813	0.0897841897550237	0	0.0291513470039024	0	0.492276542605112	0.0559566161390519	0	0	0.332831304496909	0	6.66133814775094e-16
S10814	S10814	0.0681185593610353	0	0	0	0.329278569702496	0.0282381011146693	0	0	0.5743647698218	0	1.11022302462516e-16
S10815	S10815	0.0792182430270731	0	0	0	0.416106485967673	0.0342576675870611	0	0	0.470417603418192	0	0
S10817	S10817	0.114852150460194	0	0	0	0.306660001333594	0.059293102655373	0	0	0.519194745550839	0	0
S1083	S1083	0.106823447997415	0.00219687942704893	0	0	0.405828135322566	0.0603217680974313	0	0	0.424829769155539	0	0
S10835	S10835	0.0646927168865895	0.0100812250721024	0	0	0.441106712336935	0.0236367476056748	0	0	0.460482598098698	0	0
S10838	S10838	0.0460826793494997	0	0	0	0.461831166985732	0.0345680498348854	0	0	0.457518103829882	0	3.33066907387547e-16
S10844	S10844	0.116699180172775	0	0	0	0.334472847873913	0.0490404384341415	0	0	0.49978753351917	0	0
S10845	S10845	0.0548924103472547	0	0	0	0.435528162239815	0.0284362664068296	0	0	0.4811431610061	0	0
S10846	S10846	0.194573071159531	0	0.01371817217122	0	0.309407626233248	0.0697087065315079	0	0	0.412592423904492	0	3.33066907387547e-16
S10853	S10853	0.0418806286931528	0	0.0236689329806388	0	0.595980167993823	0.0243843300081222	0	0	0.314085940324263	0	0
S10854	S10854	0.157905921931709	0.00370463359321272	0	0	0.37459998320648	0.0618133589987965	0	0	0.401976102269802	0	4.44089209850063e-16
S10865	S10865	0.0918708410341707	0	0	0	0.383181164736442	0.0437952344119251	0	0	0.481152759817462	0	0
S10866	S10866	0.0802750879177034	0	0.00874475703354655	0	0.476580516874256	0.0446509949634728	0	0	0.389748643211021	0	0
S10869	S10869	0.0349473719704735	0	0	0	0.556111301719259	0.0183056285893439	0	0	0.390635697720923	0	0
S10873	S10873	0.0665057164277448	0	0	0	0.289921065132028	0	0	0	0.643573218440227	0	2.22044604925031e-16
S10876	S10876	0.110633935571449	0	0.0381738685899476	0	0.411223920287822	0.0443637285643145	0	0	0.395604546986467	0	3.33066907387547e-16
S10883	S10883	0.0928403422350233	0	0.00645462816385859	0	0.495200502182948	0.0390826476265329	0	0	0.366421879791637	0	0
S10885	S10885	0.0962719296575546	0	0.00697807970610739	0	0.43804549839085	0.0343395854457582	0	0	0.424364906799728	0	1.11022302462516e-15
S10893	S10893	0.072081525635365	0.000506253890844809	0.0116930017979777	0	0.572214693067326	0.0396653221209643	0	0	0.303839203487522	0	2.22044604925031e-16
S10895	S10895	0.0341035652367725	0	0	0	0.450292853997534	0.024189245789515	0	0	0.491414334976178	0	4.44089209850063e-16
S10902	S10902	0.111941317107315	0	0	0	0.326761361184788	0.045810607793136	0	0	0.515486713914761	0	0
S10903	S10903	0.0376803450049341	0	0.0439458650767133	0	0.562548522829182	0.0471274713903403	0	0	0.308697795698829	0	8.88178419700125e-16
S1092	S1092	0.0439054578261235	0	0	0	0.708544127598943	0.015924156082478	0	0	0.231626258492455	0	0
S10925	S10925	0.120334132931153	0	0	0	0.397165659918503	0.0456129294113529	0	0	0.436887277738991	0	0
S10927	S10927	0.063309305564059	0.000120946174983961	0.00874214877653394	0	0.548944552150099	0.0343547275354112	0	0	0.344528319798912	0	5.55111512312578e-16
S10936	S10936	0.113660048947571	0	0.00798154346404891	0	0.312282485792952	0.0616656712135221	0	0	0.504410250581905	0	3.33066907387547e-16
S10945	S10945	0.0868329834127415	0	0	0	0.694838031949301	0.0302337558816518	0	0	0.188095228756305	0	4.44089209850063e-16
S10947	S10947	0.0801984896127313	0	0	0	0.371590400615656	0.0324645341977212	0	0	0.515746575573891	0	0
S10949	S10949	0.0754532904983383	0	0	0	0.43676520807776	0.0453287741022197	0	0	0.442452727321682	0	4.44089209850063e-16
S1095	S1095	0.0800055091948283	0	0	0	0.438910991728791	0.0333659826136112	0	0	0.44771751646277	0	0
S10961	S10961	0.0380762410217304	0	0	0	0.432912657513462	0.0105129043069856	0	0	0.518498197157822	0	0
