	Mix_1	Mix_2	Mix_3	Mix_4	Mix_5	Mix_6	Mix_7	Mix_8	Mix_9	Mix_10	Mix_11	Mix_12	Mix_13	Mix_14	Mix_15	Mix_16	Mix_17	Mix_18	Mix_19	Mix_20	Mix_21	Mix_22	Mix_23	Mix_24	Mix_25	Mix_26	Mix_27	Mix_28	Mix_29	Mix_30	Mix_31	Mix_32	Mix_33	Mix_34	Mix_35	Mix_36	Mix_37	Mix_38	Mix_39	Mix_40	Mix_41	Mix_42	Mix_43	Mix_44	Mix_45	Mix_46	Mix_47	Mix_48	Mix_49	Mix_50	Mix_51	Mix_52	Mix_53	Mix_54	Mix_55	Mix_56	Mix_57	Mix_58	Mix_59	Mix_60	Mix_61	Mix_62	Mix_63	Mix_64	Mix_65	Mix_66	Mix_67	Mix_68	Mix_69	Mix_70	Mix_71	Mix_72	Mix_73	Mix_74	Mix_75	Mix_76	Mix_77	Mix_78	Mix_79	Mix_80	Mix_81	Mix_82	Mix_83	Mix_84	Mix_85	Mix_86	Mix_87	Mix_88	Mix_89	Mix_90	Mix_91	Mix_92	Mix_93	Mix_94	Mix_95	Mix_96	Mix_97	Mix_98	Mix_99	Mix_100
Adipocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astrocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B-cells	0.0923	0.2141	0.0655	0.1234	0.2817	0.1563	0.1681	0.2121	0.1982	0.2263	0.185	0.0313	0.2599	0.0895	0.1231	0.1982	0.1488	0.1295	0.0725	0.2139	0.2	0.0781	0.2706	0	0.2559	0.1928	0.2285	0.166	0.2271	0.1582	0.2115	0.1237	0.0765	0.1862	0.1667	0.1973	0.0939	0.0457	0.2416	0.1793	0.145	0.2089	0.2135	0.0791	0.1185	0.2215	0.1658	0.2027	0.1059	0.0924	0.1964	0.0334	0.1772	0.0643	0.0279	0.0991	0	0.1144	0.0803	0.2838	0.2421	0.2728	0.0315	0.1729	0.183	0.2136	0.2715	0.1338	0.2613	0.1312	0.1508	0.1114	0.0294	0.2262	0.141	0.1429	0.1298	0.0617	0.0505	0.1709	0.153	0.2003	0.2191	0.1578	0.1662	0.1136	0.3032	0.234	0.0049	0.1559	0.3148	0.1727	0.1188	0.2543	0.1358	0.0775	0.1866	0.2422	0	0.1593
Basophils	0.061	0.0542	0.0603	0.0495	0.0287	0.0883	0.0379	0.0393	0.0522	0.0559	0.0409	0.0269	0.0379	0.0149	0.0264	0.0312	0.0186	0.0087	0.0506	0.0576	0.0518	0.0541	0.0252	0	0.0404	0.0112	0.0562	0.0506	0.0245	0.0426	0.0438	0	0.0111	0.0822	0.0453	0.0537	0.0677	0.0287	0.0342	0.0872	0.0825	0.0269	0.0684	0.058	0.0115	0.0502	0.0511	0.0349	0.0397	0	0.0351	0.0243	0.0355	0.0724	0.0497	0.0208	0.025	0.0012	0.0675	0	0.0647	0.0342	0.0657	0.05	0.0446	0.031	0.062	0.016	0.0459	0.01	0.0686	0.0251	0.04	0.0795	0.0695	0.0653	0.0499	0.0107	0.0728	0.0287	0.0663	0	0.0556	0.0325	0.0493	0.0622	0.0503	0.0368	0.0344	0.0464	0.0373	0.0685	0.0372	0.031	0.0483	0.0304	0.0828	0.0563	0	0.0865
CD4+ T-cells	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0.0012	0	0	0.0164	0	0	0	0	0	0.0224	0	0	0	0	0	0	0	0.0129	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0	0.0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024	0	0	0	0	0.0091	0	0	0	0	0	0.0181	0
CD4+ Tcm	0	0.0157	0	0.0094	0	0	0.0216	0.0359	0.0016	0	0.0413	0.0054	0	0.0105	0.048	0.0212	0.0335	0.0646	0	0	0	0	0.0175	0.0644	0	0.0277	0	0.0026	0.0248	0	0.0188	0.0644	0.037	0	0.0139	0.0023	0	0.02	0	0	0	0.0358	0	0.0029	0.0022	0.0144	0	0.0126	0.0096	0.035	0.0277	0.0118	0.0074	0	0	0.021	0.0116	0.0424	0	0	0	0	0	0	0	0.0122	0	0.0231	0	0.0313	0	0.0526	0	0	0.0016	0	0	0.025	0	0.0453	0	0	0	0.0123	0.014	0	0	0.0342	0.0082	0	0	0	0.0622	0.0251	0.0283	0.0404	0	0	0.0605	0
CD4+ Tem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027	0	0	0.0195	0	0	0	0	0	0.0442	0	0	0	0	0	0	0	0.0171	0.0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0078	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0063	0	0	0.0053	0	0	0.053	0
CD4+ memory T-cells	0	0	0	0	0	0	0.0011	0.0084	0	0	0.0084	0	0	0	0.0116	0.0037	0.0053	0.0207	0	0	0	0	0.0034	0.0183	0	0.0066	0	0	0.0052	0	0.002	0.0155	0.0061	0	9e-04	0	0	2e-04	0	0	0	0.0071	0	0	0	0	0	0.002	0	0.0061	0.0062	0	0	0	0	0	0	0.0099	0	0	0	0	0	0	0	0.0017	0	0.0017	0	0.0049	0	0.0115	0	0	0	0	0	0.003	0	0.0086	0	0	0	8e-04	0.0012	0	0	0.0083	0	0	0	0	0.0132	0.0064	0.0052	0.0085	0	0	0.0228	0
CD4+ naive T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8+ T-cells	0	0	0.0183	0.012	0	0	0.0255	1e-04	0	0	0	0.0063	0	0.0363	0.0197	0.0134	0.0264	0.0043	5e-04	0	0	0	0	0.0443	0.0099	0.0307	0.0045	0	0.0221	0.0154	0.0062	0.0139	0.0285	0	0	0.0052	0.0089	0.0086	0	0	0	0.0285	0	0	0.031	0.0258	0	0	0.0098	0.045	0.0011	0.0379	0.0082	0	0.0163	0.036	0	0.0239	0	0.0383	0	0	0	0	0.0033	0.008	0	0.035	0	0.0328	0.0053	0.0116	0.0185	0	0	0	0	0.0371	0	0	0	0.0208	0	0.0185	0.0022	0	0	0.0193	0.0023	0	0	0	0.0093	0.0107	0	0.024	0	0	0.0279	0
CD8+ Tcm	0	0	0.0241	0.02	0	0	0.0277	0.0115	0.0067	0.0089	0	0.011	0.0117	0.0312	0.0246	0.0244	0.0313	0.016	0.0161	0.0104	0.0097	0.0094	0	0.0462	0.0194	0.0307	0.0197	0.0053	0.0262	0.0235	0.0185	0.0204	0.0303	0	0.0068	0.0168	0.0202	0.0179	0	0.0116	0.0025	0.0347	0.009	0.0064	0.0323	0.0298	0.0115	0.0156	0.0155	0.0422	0.0136	0.0344	0.0187	0	0.0217	0.0355	0	0.0231	0.0141	0.0397	0	0.0044	0.0021	0.0092	0.0197	0.0167	0	0.0341	0.01	0.0366	0.0198	0.0222	0.0217	0	0.0028	0.0113	0	0.0332	0	0.0079	0.0122	0.0257	0.0068	0.0308	0.0122	0.013	0	0.0269	0.0118	0	0	0	0.0236	0.0209	0	0.0293	8e-04	0	0.0348	0
CD8+ Tem	0.0231	0.0137	0.037	0.036	0.0354	0.0172	0.0318	0.0091	0.0302	0.0244	0.0217	0.0358	0.0284	0.0459	0.0299	0.0213	0.0321	0.0218	0.0317	0.0181	0.0152	0.0273	0.0195	0.0274	0.0278	0.0286	2e-04	0.0227	0.0218	0.04	0.0256	0.021	0.0344	0.0214	0.033	0.0283	0.0374	0.0337	0	0.035	0.0333	0.0179	0.0274	0.0301	0.0358	0.01	0.0268	0.0281	0.0411	0.0285	0.0251	0.0402	0.0233	0.0327	0.0414	0.0299	0.0369	0.0308	0.0422	0.0246	0.0292	0.0388	0.0343	0.0207	0.0219	0.0327	0.0064	0.0241	0.0292	0.026	0.0349	0.0117	0.0434	0.0273	0.0344	0.0369	0.026	0.0446	0.0373	0.0249	0.0311	0.0466	0.0276	0.0245	0.038	0.0354	0.0115	0.0077	0.0366	0.0353	0.0142	0.0212	0	0.018	0.0267	0.0336	0.0276	0	0.0374	0.0078
