Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE	Absolute score (sig.score)
Mix_1	0	0	0.00618176048748597	0.0312397262420285	0	0	0.131725216674654	0	0.216900329306866	0	0	0.0585240313000246	0	0.0178495052387766	0.00325792060098653	0.158014186698567	0	0.437649491349042	0.0845904450209712	0	0	9999	0.367060055172575	1.07963736097631	1.1459326129194
Mix_2	0.0356478028681497	0	0	0.0266860552901318	0	0	0.119168859907966	0	0.205094242963573	0	0	0.0652770006318336	0	0.0154956589544794	0	0.125504590225321	0	0.466372981496806	0.0869907548999223	0	0	9999	0.368834610326212	1.07868917124677	1.14623794723818
Mix_3	0	0	0.00230651637161302	0.0290641380795451	0	0	0.121391470558216	0	0.175765562898144	0	0	0.0614066190267429	0	0.00863260021152494	0	0.143948917515217	0	0.513336757719995	0.0782649556123179	0	0	9999	0.369465046672592	1.08045871308023	1.13411753799332
Mix_4	0	0	0.00567761814102603	0.0319186012169354	0	0	0.124564904293259	0	0.16424773797503	0	0	0.0552085615661491	0	0.0125193591318521	0	0.138626194801016	0	0.510620922518494	0.0853949996917149	0	0	9999	0.371150397444527	1.07839230586168	1.12877889933548
Mix_5	0.0782142989835201	0	0.00984757844376595	0.0345281067262576	0	0	0.112876802631632	0	0.150368685131442	0	0	0.0557846256582488	0	0.0135096570445483	0.000205187789159279	0.118497117061832	0	0.471580503405143	0.0833663364599283	0	0	9999	0.366348011692255	1.08074641599746	1.12877889933548
Mix_6	0.0158987679042798	0.00572637615519593	0.0108516242475512	0.0304792121895908	0	0	0.121454413244544	0	0.21776621320842	0	0	0.0580691475267073	0	0.0222889724581184	0.00616827546899079	0.139297466014768	0	0.436593645448523	0.0816438333714928	0	0	9999	0.364583112239404	1.08014938446164	1.14623794723818
Mix_7	0.0115171841115729	0	0.000987891056647556	0.0302164131251402	0	0	0.120851010981268	0	0.161794143627337	0	0	0.0597025582352046	0	0.00924008709224539	0	0.124907687709249	0	0.532637136843034	0.0856282536952759	0	0	9999	0.372764352730252	1.07794471504457	1.13748236647697
Mix_8	0.0307190596677919	0	0.00510874437016586	0.030577830100745	0	0	0.121008265933166	0	0.212355041000105	0	0	0.0674559986710945	0	0.0162280031036858	0.00439761257383962	0.101818933689022	0	0.454760602921366	0.0888901606130053	0	0	9999	0.369797714441772	1.07742519014493	1.13332025264399
Mix_9	0.0250623105885078	0	0.00588363582234517	0.027776030753511	0	0	0.116932873465264	0	0.182548814941339	0	0	0.062580615448795	0	0.0103706396280969	0	0.138827508854588	0	0.483885234973665	0.0844411584878383	0	0	9999	0.369190720401996	1.07991337761966	1.13830882296395
Mix_10	0.0461755753770231	0	0.0074916200926138	0.0308261839230717	0	0	0.122483116927389	0	0.184096804646903	0	0	0.0582881157245438	0	0.0149970345000624	0.00356350326950271	0.115800207523224	0	0.477500131926958	0.0848629861675011	0	0	9999	0.366198095833256	1.08099419013612	1.14608528007879
