Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells
S10393	0.0755	0.1805	0.096	0.2825	0.2427	0.1227
S10400	0.066	0.2544	0.0888	0.3147	0.2148	0.0614
S10401	0.0965	0.2283	0.0906	0.2953	0.1752	0.1142
S10406	0.0496	0.2502	0.0754	0.423	0.1525	0.0493
S10408	0.0794	0.1857	0.0863	0.3454	0.2215	0.0819
S10409	0.0634	0.1782	0.081	0.2835	0.326	0.068
S10418	0.0864	0.1931	0.0824	0.3488	0.1958	0.0935
S10431	0.0736	0.2181	0.0757	0.3062	0.2194	0.107
S10438	0.0685	0.2035	0.0926	0.3182	0.2225	0.0947
S10439	0.0635	0.2888	0.0705	0.3245	0.1827	0.07
S10441	0.0558	0.3087	0.0815	0.3648	0.1182	0.0709
S10442	0.0604	0.2189	0.0932	0.3372	0.2232	0.067
S1046	0.0552	0.2164	0.0672	0.4428	0.1721	0.0463
S10478	0.0682	0.2553	0.0459	0.4617	0.1139	0.0549
S10480	0.1049	0.2127	0.1517	0.1677	0.2058	0.1572
S10484	0.0616	0.2276	0.081	0.3743	0.1789	0.0766
S10492	0.0388	0.1878	0.06	0.2525	0.3705	0.0905
S10496	0.0939	0.236	0.0972	0.2679	0.2268	0.0782
S10510	0.0785	0.2541	0.0662	0.2818	0.2734	0.046
S10513	0.038	0.2662	0.0947	0.3062	0.2668	0.0282
S10516	0.0718	0.2844	0.0911	0.2812	0.1817	0.0898
S10534	0.0645	0.2905	0.0495	0.2912	0.2066	0.0977
S10535	0.0809	0.2268	0.056	0.2166	0.3078	0.1118
S10537	0.0623	0.2651	0.0915	0.3265	0.1621	0.0925
S1054	0.0813	0.2641	0.0906	0.2502	0.1924	0.1214
S10543	0.0883	0.1655	0.1213	0.3504	0.1674	0.107
S10546	0.0779	0.2136	0.1482	0.3062	0.2143	0.0398
S1055	0.0621	0.2188	0.0915	0.4016	0.1655	0.0606
S10551	0.0812	0.2471	0.1098	0.2426	0.2371	0.0822
