Gene,T_cells_(CD4+),B_cells,T_cells_(CD8+),Endothelial_cells,Fibroblasts,Macrophage
Mix_1,208.677583903,119.927236006,440.501963005,147.623718301,276.021339521,71.201554801
Mix_2,236.016355876,132.010831413,422.874460135,146.254665344,279.414650688,69.1620422523
Mix_3,233.137233201,114.461508347,474.427598848,142.203335544,264.055605493,61.8155676036
Mix_4,243.784279745,118.652258344,456.352771597,141.49275087,273.749822896,62.4987932322
Mix_5,226.102314134,143.023236068,447.687038796,141.706449908,254.544895363,66.7104130864
Mix_6,190.22250195,125.215563478,444.86491467,150.202525685,259.185496744,76.9006304007
Mix_7,256.319318582,120.656669595,454.924709285,140.891462813,266.347180714,62.548789986
Mix_8,243.281362798,129.281700682,421.505421577,148.601529057,273.447092952,71.8835226489
Mix_9,233.162022047,127.03941097,445.11615549,143.991860457,267.163950565,67.4771252185
Mix_10,207.018072817,131.812854439,445.8711502,143.329955066,242.764545492,70.587512934
Mix_11,261.247154028,126.973546517,431.86988195,146.152405047,288.395605828,66.4780704489
Mix_12,222.589759102,111.929481889,455.66841702,145.64722054,277.237400854,67.7946861804
Mix_13,232.605569133,136.054328464,452.506091173,142.958471737,249.812544784,67.9381933157
Mix_14,252.896994418,113.168767255,472.976683568,136.87217566,266.595126834,56.6116707381
Mix_15,266.043240745,119.555283851,445.023644611,145.78291308,291.58597027,65.3071997059
Mix_16,243.319337163,127.18054878,442.48415167,143.467771342,265.352781983,68.2160459036
Mix_17,261.421888688,122.421869542,455.790760468,145.844375031,273.268583859,65.1026463648
Mix_18,275.686380926,120.59193664,432.716168942,152.15806064,301.346369721,68.4711272856
Mix_19,207.63653813,115.100177464,461.97846619,144.887457069,261.964582257,67.7864959234
Mix_20,225.861281999,128.766782431,440.128954203,146.450605843,260.610391523,71.7344693791
Mix_21,219.708979098,127.831640101,438.959717113,148.593486519,260.034195235,73.2304514801
Mix_22,210.107825338,116.59162562,460.120522525,148.754084835,262.829968535,70.657648113
Mix_23,240.718454313,140.059181209,428.374839963,146.705161242,271.127779363,71.5897211982
Mix_24,271.068394525,109.846072528,448.9814778,148.938964893,292.583828935,65.4590793018
Mix_25,245.319166363,133.787182499,449.983796639,140.746931874,255.574797073,65.6136373342
Mix_26,259.830812794,126.717786852,449.192873564,143.117699238,268.963408031,68.0220886029
Mix_27,224.728776062,129.156354673,454.566622206,144.624181579,242.633957511,72.8159669648
Mix_28,222.16107803,123.683465609,439.860536098,147.494104263,269.475714822,71.6005682864
Mix_29,256.960492039,128.939514107,445.757946214,146.028113996,264.653232425,65.9049698091
Mix_30,239.902184285,120.649045826,474.705429335,137.050956919,250.11945043,58.3372937278
Mix_31,239.963989265,128.906275214,444.269741912,146.482636121,265.142515123,69.7804859404
Mix_32,267.466118858,123.95691989,429.206496985,152.53042426,292.151814901,68.9614167581
Mix_33,248.69231648,114.263239311,441.921197568,145.382994944,281.155477053,65.5758797257
Mix_34,200.571941963,129.560316962,447.28382951,148.606929858,254.866980688,74.0189849319
Mix_35,243.454983245,124.639288558,442.449343479,144.266956868,280.409640802,64.3471177121
Mix_36,239.429299314,127.094916558,450.071824072,142.278602225,262.702653605,66.2606086675
Mix_37,226.251701564,114.40132265,472.281720075,141.968521099,264.05668748,62.3450644889
Mix_38,233.188586807,113.226246673,441.782947897,145.230175187,280.580746628,66.2981288323
Mix_39,216.750859958,138.281344112,421.599401954,150.054988333,262.044004916,79.4989054968
Mix_40,226.41303952,124.244439923,472.065847896,139.930366107,249.521770077,62.7261981457
Mix_41,223.632057572,123.578834507,456.637360078,144.791967794,269.696623132,66.4760397221
Mix_42,262.987328251,128.502863255,452.005943541,145.386780645,267.90804214,67.8065345515
Mix_43,207.729557944,128.509975085,449.717686367,141.767020016,246.129274302,68.9877256893
Mix_44,224.294495423,117.90969736,443.412185404,145.283140705,280.096987635,66.5320722987
Mix_45,232.055975089,116.266845265,465.294864648,140.129870253,256.942676072,65.3787738826
Mix_46,242.084092815,127.171989281,451.329206019,143.688779781,249.722196251,69.1564585938
Mix_47,207.018638828,123.403868286,449.632531097,146.050627454,259.651384705,73.3136405237
Mix_48,243.649008352,128.89478653,444.44831948,145.224751829,276.786327026,67.278798535
Mix_49,248.731943495,116.935358465,460.75333849,138.987501119,283.672420357,60.0533684196
Mix_50,255.804701547,117.472344161,463.982945915,143.488765146,267.242551483,66.6114130253
Mix_51,246.290007996,128.427245732,437.079897179,146.249324499,274.574144499,68.0399558692
Mix_52,241.226153837,108.462755886,476.265880466,141.17515867,262.834142322,61.8642719218
Mix_53,225.234173466,125.037662184,450.062066391,145.351687448,260.406457192,72.0857696507
Mix_54,193.836408291,117.177797042,452.165427101,143.072169229,270.95604696,68.4369559958
Mix_55,229.512842012,113.675088419,483.490833847,143.321623554,276.821142761,61.6359575689
Mix_56,242.129283572,114.247783892,467.071822379,145.343672999,259.23339971,66.7638929943
Mix_57,234.043326372,110.840860635,449.521268074,143.307306754,299.573619516,61.8999333597
Mix_58,266.726923047,118.61525958,451.600114479,145.593087097,284.017918413,65.0470778364
Mix_59,225.625367924,117.168386059,479.127229188,141.477351958,271.17356687,62.390246989
Mix_60,254.395310805,135.387710727,474.069027799,140.291141908,233.244294112,65.5734526863
Mix_61,210.04651962,135.078659764,447.304438424,143.246629917,244.606816757,70.4402106506
Mix_62,224.337998747,138.816982287,454.53998838,138.79904959,250.430068173,65.1853417646
Mix_63,204.440365762,114.782901391,453.453299496,146.056278845,274.821475284,67.1150161798
Mix_64,202.842117974,126.837176378,449.78211242,147.790767168,252.274742131,73.4085624943
Mix_65,219.83006272,126.768669496,446.551252206,145.025478246,257.169991801,72.045015588
Mix_66,244.956907723,126.834053408,445.075652079,141.214445599,264.239706327,64.5357809974
Mix_67,204.814587806,143.783882922,421.812649681,149.167278428,259.687443817,75.6886519758
Mix_68,249.319123256,119.865354597,455.174840964,144.498010701,262.144390486,67.4853346635
Mix_69,224.716952238,136.514305102,450.960257905,143.854521523,246.669001299,68.4629530149
Mix_70,254.871503191,118.744994734,459.024388529,143.551143728,272.00716806,67.3134152348
Mix_71,226.351424898,120.754096792,472.377335656,141.049337657,258.82036166,63.2652836084
Mix_72,246.608307269,119.367340214,427.228122893,149.776510518,291.126859048,72.9149152021
Mix_73,239.668962486,110.953241765,471.597966309,140.854798043,278.825268315,61.463157305
Mix_74,202.910575386,130.543866684,444.909984527,143.736770388,251.763171452,70.0017835784
Mix_75,236.473043846,122.918974641,454.950779177,141.428434842,277.072663348,62.6163285843
Mix_76,237.023647486,120.694682126,462.476213916,140.668802035,269.167685766,60.7336876736
Mix_77,216.969310813,123.250021271,434.837527755,147.870061984,278.860664001,70.4975472821
Mix_78,262.393813999,113.403639334,462.746311116,137.27968647,277.365642782,58.3552435185
Mix_79,203.741620633,113.587732388,459.521555114,144.635204041,274.802143985,64.5142267952
Mix_80,252.996841246,127.086191058,435.691226898,149.140360155,289.847492212,69.3058013594
Mix_81,215.702489852,122.021863875,456.45894834,141.876446429,256.092682868,66.5704769875
Mix_82,244.910588781,122.22717057,460.432536204,134.451460892,251.659907367,60.618005947
Mix_83,219.208680933,130.414790373,444.457403747,143.510339675,255.079671921,68.6955853069
Mix_84,236.43493584,124.297628595,449.524181877,143.424431398,266.392578783,69.4698240751
Mix_85,246.166493348,123.535642572,452.501106023,140.705645016,273.773163934,61.6310504303
Mix_86,213.702932985,118.261016964,460.775570563,141.444980306,257.516823048,65.3711753413
Mix_87,199.461735078,147.558587489,428.903627589,146.598285574,247.383143017,75.6296315859
Mix_88,254.870497494,129.628711675,438.956461814,144.669600359,261.26947205,69.4651569453
Mix_89,220.456893116,109.204305466,447.563688711,148.065549821,283.869465196,66.2464967093
Mix_90,230.652566309,125.56039034,460.930982438,144.179862776,276.496964748,60.9864753099
Mix_91,235.344673245,146.281744931,431.301403604,145.687382476,259.759254202,72.077878072
Mix_92,220.698885801,127.138749567,436.429976778,142.609444012,275.497956114,66.1146030014
Mix_93,250.718432607,119.664521434,424.406626024,152.959504091,292.175811131,73.1198820714
Mix_94,246.784813157,133.851054668,438.428491233,145.111696085,262.497336103,69.4297106705
Mix_95,250.419280035,122.822132464,435.165288461,145.974230527,291.662632597,66.6484507933
Mix_96,260.465523564,115.74687556,448.229950879,145.384665766,282.74206495,65.0769456307
Mix_97,204.70323582,125.91582378,447.935964727,142.926414925,255.47574541,68.6329101219
Mix_98,196.431358702,143.506177084,421.719234509,158.61379309,267.634491183,87.4753613194
Mix_99,292.986309728,113.217771938,447.906512613,145.602077279,313.124663211,62.6554838575
Mix_100,209.268721748,126.570844845,425.71964124,150.128453456,278.094696727,73.4636226605
