Mixture	B_cells	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	T_cells_(CD8+)	P-value	Correlation	RMSE
mix_1	0	0.205108020103024	0.10606382365822	0.203389425343181	0.0813137356539404	0.218528594494707	0.185596400746928	9999	0.675855897032977	0.778365580610351
mix_2	0	0.231724257817132	0.0781831516659418	0.211491162429726	0.0611025831096458	0.204840301704128	0.212658543273426	9999	0.674132939529804	0.782385929056815
mix_3	0	0.43449530500675	0.0267525482950841	0.190309267907149	0.0253919861002064	0.169373419534108	0.153677473156703	9999	0.67043076065806	0.791375834753169
mix_4	0	0.124782558408207	0.0881234535536618	0.179940487174806	0.104346612541374	0.246618887297229	0.256188001024722	9999	0.676447534150785	0.775020485182798
mix_5	0	0.273708329536246	0.0179417955996312	0.204497219882077	0.0784873206487326	0.199111294976183	0.226254039357131	9999	0.671764239008055	0.783170250610564
mix_6	0	0.173752634553015	0.0489436977287731	0.211721791871833	0.0917398131625791	0.261247015838925	0.212595046844875	9999	0.673839614352086	0.779777489352542
mix_7	0	0.316219116774921	0.0203995261769374	0.20566917347945	0.0616790299576209	0.166848057364689	0.229185096246381	9999	0.670277376642179	0.786742347397679
mix_8	0	0.288275879970527	0.040339427460507	0.208144684832653	0.0463996598910373	0.16357133014456	0.253269017700716	9999	0.667158942603128	0.792037061391199
mix_9	0	0.0981117482244144	0.0920820871268432	0.198345678531507	0.111639535111925	0.257065865893559	0.242755085111752	9999	0.675358479258982	0.776071497132699
mix_10	0	0.257966250062522	0.0647789073470377	0.172205857156829	0.0966839435595125	0.280562683995516	0.127802357878583	9999	0.686397346370709	0.764161612469204
mix_11	0	0.183951786477953	0.108110454735549	0.203225612657645	0.106490055125934	0.188859862651971	0.209362228350948	9999	0.677759109226934	0.773667367631976
mix_12	0	0.236355607906347	0.0428103775211532	0.182789311094569	0.0723113758536546	0.241453571793146	0.22427975583113	9999	0.673078856970292	0.781991485522396
mix_13	0	0.152136286013601	0.0861767613451267	0.174836760162164	0.0986124328626576	0.328782773211839	0.159454986404613	9999	0.677644537251	0.774426172880752
mix_14	0	0.165800654200529	0.0624020258607801	0.202285458746888	0.119626451057515	0.297869374799255	0.152016035335033	9999	0.681280191511743	0.768459603970805
mix_15	0	0.255124774444616	0.0367857185878993	0.202639264959773	0.0689038303051657	0.214116554165773	0.222429857536773	9999	0.671186661555702	0.784837572209607
mix_16	0	0.458358121386418	0	0.208879802643854	0.0044254585041109	0.161631483921362	0.166705133544256	9999	0.655063917564182	0.81214295242305
mix_17	0	0.420386040816509	0.00706259133739603	0.201402533395053	0.013127827244311	0.203904502318738	0.154116504887993	9999	0.657087471673674	0.808364812063343
mix_18	0	0.235215404726017	0.0797648325527669	0.156680607458584	0.0924819833051548	0.326378055134796	0.109479116822682	9999	0.684435544676605	0.766881887223726
mix_19	0	0.401838719137669	0.0328254328596534	0.181658827054384	0.0293521873542861	0.174636154615718	0.179688678978289	9999	0.666612650437427	0.794956983092677
mix_20	0	0.14929092099984	0.0796604622138492	0.206749964415875	0.0913655170673145	0.284645814204469	0.188287321098652	9999	0.676134616325945	0.777198026685774
mix_21	0	0.343886392101134	0.00529732689772849	0.179770792173922	0.0409562934465646	0.270948573611553	0.159140621769098	9999	0.668640439163808	0.790856570128782
mix_22	0	0.21289750061815	0.0663879067475262	0.202511867711523	0.112374927485975	0.263189958371615	0.14263783906521	9999	0.679161623331262	0.771632282054973
mix_23	0	0.136522825440824	0.102444432897254	0.210729158814909	0.103141380121802	0.288292871277681	0.158869331447531	9999	0.679528543735399	0.772251923127661
mix_24	0	0.261280677306374	0.0198631243365049	0.205464821235888	0.0661682157692068	0.23114532783064	0.216077833521386	9999	0.671604623780046	0.784694472822144
mix_25	0	0.122884160475176	0.0597012386494872	0.217410938403463	0.110596468412994	0.317140728893107	0.172266465165773	9999	0.678120310618049	0.773423581200595
mix_26	0	0.38143722813524	0.0188901194021249	0.154350637117235	0.0424181058111661	0.237224356048822	0.165679553485412	9999	0.673236672865505	0.785125407211994
mix_27	0	0.169352891046605	0.0770757695820834	0.217767533369634	0.0993554027337838	0.267627069480061	0.168821333787833	9999	0.676675793573189	0.775917256113847
mix_28	0	0.18076592754608	0.0702387389601049	0.182773279012034	0.086301362369201	0.228003904977108	0.251916787135472	9999	0.674204262318362	0.779269779415352
mix_29	0	0.203106482826579	0.109968722814021	0.18092043981119	0.0915639799314078	0.176104817670848	0.238335556945953	9999	0.676775455266489	0.775806772474742
mix_30	0	0.15535669784858	0.0591202280058512	0.200378480848051	0.107492137849472	0.296468489155584	0.181183966292461	9999	0.678359542426922	0.77292633421679
mix_31	0	0.211346256196213	0.0891072830739449	0.156189689727591	0.0890735903707281	0.235221340365789	0.219061840265734	9999	0.68057816869204	0.771177680063587
mix_32	0	0.146846432477883	0.087440017829286	0.166622945771127	0.134892146447402	0.280634319317231	0.183564138157071	9999	0.680095559074986	0.768020556667523
mix_33	0	0.243458032150439	0.0772329429994727	0.158185565216031	0.0815338522711346	0.299602966663115	0.139986640699808	9999	0.682819038120452	0.769645331230981
mix_34	0	0.419757621962215	0.0281444948539776	0.164504712888583	0.0453072536846875	0.213537287622852	0.128748628987684	9999	0.676893669714624	0.781232073663525
mix_35	0	0.195263414789654	0.0642379157001579	0.187318778452877	0.0989396178014756	0.256931878995982	0.197308394259852	9999	0.677046348315566	0.774888687521141
mix_36	0	0.252131422061285	0.0542989938264038	0.18989051037184	0.0889527751797557	0.222739864154538	0.191986434406178	9999	0.679850870072175	0.77252551926771
