Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
S10001	0.03292295999748	0.00549659093908076	0.180186339279014	0.0843768545572349	0.0797011883085051	0.00648386605160634	1.92214807508713e-10	0.610832200674864
S10006	0.0346194863335644	0.00559774685620045	0.169567331311121	0.0828558471350507	0.0797233960759372	0.00632781038320143	3.57523329062028e-10	0.621308381547402
S1001	0.0307780885901612	0.00536981935659538	0.171977731518628	0.0923162345436835	0.0752599134491489	0.00628978983331365	1.66552107908235e-10	0.618008422541918
S10010	0.0291777257466461	0.00528956555299724	0.174674392486243	0.0900236081547436	0.076576917317346	0.00645778214563908	1.20043938788923e-09	0.617800007395946
S10011	0.032878273904047	0.00554703644699477	0.183206216493436	0.0877491528301618	0.078678803138113	0.00644627763587936	8.44332577629031e-11	0.605494239466935
S10014	0.0320717559022345	0.00549155344954635	0.173177341558214	0.0918127875809336	0.0771991877174389	0.00616901788375005	3.7813755117252e-10	0.614078355529745
S10026	0.0310882863880467	0.00516095753282047	0.180264660413733	0.0897839735799473	0.0749479579393453	0.00648332796267002	3.07372407352693e-10	0.612270835876065
S10032	0.0325060764272602	0.00528299036143544	0.17857341572745	0.0876670358551129	0.0759646452757371	0.00662181019056811	1.50855188898462e-11	0.613384026147351
S10036	0.0307356008618997	0.00555485852276275	0.167592887371234	0.0914882245371248	0.0790072241206534	0.00647176631686679	3.79280084789447e-11	0.619149438231531
S10042	0.0329796770427636	0.00529290756971498	0.178189242573954	0.0895116778974256	0.0770734730328037	0.00651429468469837	6.49117301077918e-10	0.610438726549522
S10044	0.0321573798508989	0.00516793977582094	0.180525795045024	0.0911862441356353	0.0734189128875635	0.00631535579936567	1.68599307006494e-10	0.611228372337093
S10049	0.0325222827069855	0.0052355107649216	0.179033474789319	0.0929219872494263	0.0752144336677081	0.0063792302496606	8.39754253452567e-09	0.608693072174436
S10057	0.0329031345653236	0.00579726505789737	0.177181941433211	0.0846946761562466	0.082455648918609	0.00619770759647216	7.36438745183464e-11	0.610769626198596
S10062	0.0321292034182146	0.0052800408903351	0.179208896839916	0.0947992990493257	0.0759685735943384	0.00668234701352603	3.39025890992053e-10	0.605931638855318
S10066	0.0315191785386825	0.00553101272672494	0.188630554855184	0.0788039944319505	0.0773767747635936	0.00678198409649877	1.34182301167238e-08	0.611356487169136
S10067	0.032526797420074	0.00522859688973235	0.182667837094152	0.0942690198614371	0.0759236289744084	0.00621059053200978	7.58977500103528e-10	0.603173528469209
S1007	0.0334354844757122	0.00559220541213656	0.1748972168742	0.0865429659084711	0.0802330556732719	0.00645642189970989	3.33700882376432e-11	0.612842649723128
S10073	0.031202778975368	0.00524753371624288	0.186226448182661	0.0955043323656442	0.0750440795371464	0.00645796313770142	1.62703645150485e-10	0.600316863922532
S10077	0.0344617990981656	0.00554690318018835	0.176225758432519	0.0851417120456634	0.079421609615545	0.00637622334089536	1.58996488732466e-09	0.612825992697059
S10080	0.0336092447324224	0.00541283475954382	0.171726635409316	0.0918918887431813	0.0781858849279619	0.00653829613643717	3.43640787800598e-10	0.612635214947497
S10082	0.0335942416492901	0.00523095246018961	0.185815533084906	0.0841121228837713	0.0752854631395865	0.00646333520031584	1.04375233011774e-09	0.609498350538188
S10087	0.0341384935719882	0.00517351694810243	0.18732351845105	0.0877988785918971	0.0753439594338516	0.00644697545406542	3.21033909760254e-10	0.603774657228011
S10089	0.033130274954708	0.00546750860503729	0.182489112178306	0.085142389185252	0.0816587320418158	0.00640638493942243	2.68146091763567e-10	0.605705597827313
S1009	0.0366415265971998	0.00538025528415019	0.188585807974026	0.0875298067100707	0.0776754158872939	0.0064431005634089	6.8178905669084e-10	0.597744086302062
S10090	0.0297757373342481	0.00557402773598159	0.178997891348654	0.0850985821212275	0.0796065819248478	0.00648451286410329	6.12400428704679e-10	0.614462666058537
S10093	0.0304125516891408	0.00568368814987553	0.1667917384483	0.0889247822309072	0.0808778465544185	0.00641391059574623	7.75175733335814e-10	0.620895481556436
S10094	0.0310229104220817	0.00523902191603386	0.180323328228442	0.0869314300519676	0.0763942643996714	0.00657658344077028	1.83762254867982e-10	0.61351246135727
S1010	0.0329348625393449	0.0055499381898599	0.179783620600062	0.0944167863579757	0.0791145676646043	0.00661241319668495	3.89843884114371e-10	0.601587811061624
S10111	0.0316762675122222	0.00515755422381067	0.190268083988243	0.0906746841767792	0.0747289003194103	0.00636487734643798	2.42697813879549e-10	0.601129632190399
S10116	0.0323833161829795	0.00547026735951892	0.182830521299761	0.0988721025360028	0.077513349997926	0.0063095642232826	5.76711527278299e-10	0.596620877823817
