B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils	otherCells
A	0.0396861142461935	0.000293769394458322	0.00720775263447812	0.0412371489174826	3.6442251463323e-07	0.124884514601855	5.81662944255204e-07	0.000297804885887348	0.0152001686401359	0.0423026871144118	1.52606996457229e-06	0.0215653257401956	0.0358616800573015	0.0249390541674406	6.9792990323026e-07	0.0518550116931266	0.0345853091949223	0.0145204614992047	8.75337007039327e-06	0.025352473778223	0.0196604109737745	0.022319744891354	0.478218644114157
B	0.0396700780538028	6.69772848884904e-05	0.00688478132304303	0.0408617540436648	1.47904090427889e-06	0.128506265539399	1.00077136933696e-06	0.00748038461677916	0.0146225626784653	0.0368778626554083	6.56696320972585e-06	0.0178988260730652	0.0361877410063169	0.0243635264072497	5.07670477776157e-07	0.0535930462807987	0.0292235797110327	0.0165708441019982	7.51390211158756e-06	0.0243032851103601	0.0224375512755251	0.0212408945885103	0.479192970901619
C	0.0346051191192167	5.93281227631847e-05	0.00531850551725072	0.0394153776856431	4.5469192160754e-07	0.104865432915723	5.14936723294622e-06	0.0120844976723182	0.017151321522634	0.0434352385322782	2.71960133122233e-06	0.01534172363534	0.0337240836434715	0.0249278487850387	1.21524627150958e-06	0.0534291067409556	0.0359955651613758	0.0228588834204904	1.04159888857569e-05	0.0201765686492063	0.0236435075233499	0.0246335878728994	0.488314348584402
D	0.0356257948453248	1.53417314461293e-05	0.0051243226964766	0.0373445115346217	3.80479883108715e-08	0.103580297911706	6.53337112645606e-06	0.00378928226770064	0.0174053983110503	0.0517862526473968	7.52536140693486e-06	0.0153479086733258	0.0309866115727661	0.0250995700608892	1.93364164005383e-06	0.0533886246532984	0.0368731412668074	0.024115291176991	6.88121585244282e-06	0.023316535634487	0.0231063128496794	0.0257949613357474	0.487276929192271
E	0.0346952616970774	6.88780083523188e-06	0.0060724897576761	0.0417618434539014	4.9195592311711e-07	0.115146596791864	2.48353220010083e-06	0.000203303340357973	0.0171941340601231	0.0555807474730613	1.94041000732195e-07	0.0184655153949772	0.0316032446686161	0.0245522659845104	3.68849374356263e-07	0.0522133908170528	0.0339269498627578	0.018999882157784	1.28356053025293e-05	0.024046426095597	0.0202041963511595	0.021246140073551	0.484064350235297
F	0.0360078181025023	7.37595137219617e-05	0.00618284593725292	0.0566436614770804	2.17101089392978e-07	0.122805160063045	1.21047259828104e-06	0.000158417914110999	0.0147671702578131	0.0409462378435923	4.93644868286654e-06	0.0189875936321749	0.0357661623428856	0.0243880735145921	3.4535084846865e-07	0.0520771171649911	0.0301532787742861	0.0157608918620127	6.70944725185945e-06	0.0222803804258929	0.0193980012037978	0.022340104732785	0.481249906416992
G	0.0332475118776667	0.00702170344682428	0.00672628721339434	0.0390894759177751	3.34097878504539e-08	0.153457354044361	3.03668040406829e-06	0.00558981709181232	0.0128403692030806	0.0273993214437288	4.517209448778e-06	0.0203091904101003	0.0376951653457369	0.0251677603144138	1.14924236033849e-06	0.049246416744313	0.0295920783096619	0.0132407477381111	7.39009072526337e-06	0.0239062044742018	0.0214265420109952	0.0224675915888498	0.471560336192247
H	0.0393337403882237	0.000136475980942316	0.009161501619963	0.0333582339696259	1.6793200478253e-06	0.128288534022481	3.65590338100047e-07	0.00258192343962337	0.0136362874621633	0.0298859464777631	2.62275918752974e-06	0.0255018072830448	0.0400783032779091	0.0246937657734622	5.99157422466501e-07	0.0501283614220434	0.0342670098805206	0.0123259782805426	1.08808192198273e-06	0.0287413138059524	0.0222479321752702	0.0241885661248136	0.481437963706738
I	0.0338566175272311	0.00580049074551498	0.00903203543262867	0.0336484358115594	7.28096636782591e-07	0.12945162362893	4.0076812798495e-06	0.00667450733434617	0.0142818240399631	0.0283625800881354	2.03121879216667e-06	0.0262891469169679	0.0406499643656352	0.0239490470752558	1.32351117708737e-07	0.0507711854143489	0.0301057087260431	0.0128499213989489	3.10630358735617e-07	0.0288623344994568	0.0219026031379327	0.0236024291993136	0.479902334679603
J	0.0371249558310594	1.71879961487197e-05	0.00258858593342704	0.0402529742535796	2.95829404630223e-06	0.084798840381212	2.54433534605609e-06	0.0246237520197944	0.0181414073830616	0.0325166933121697	5.64200940274653e-06	0.0146590104081176	0.0354637047795279	0.027199023458685	3.683974841543e-06	0.0561243850692634	0.0364107056297599	0.024412776457732	5.95588270520697e-05	0.0206121855034244	0.0237148333203102	0.0285959517945184	0.49266863902752
K	0.0365196163929262	2.74338391128195e-05	0.00255120916697765	0.0413771152719394	1.07459364848721e-06	0.0890776723172893	1.93086353654003e-06	0.000205438357622885	0.019432176906524	0.0656141322032941	3.04643745369059e-06	0.0138901692527486	0.0309260380076421	0.0252490883277447	4.32633643037401e-06	0.0569668967215332	0.0339538150498462	0.0203624336962871	6.08194729927301e-06	0.0220195992497168	0.0236911494703983	0.0239738211037678	0.494145734486261
L	0.0251337754088974	0.00599138829169958	0.00496391652789502	0.0406655632542886	7.00676072171444e-07	0.08751552846636	1.0860559646199e-06	0.0211222692930886	0.0162485153684819	0.0337491559791542	5.25231992433814e-06	0.0159837512920763	0.0329882476178693	0.0307764165588989	1.30092651132159e-06	0.0514335144184827	0.0370726572505475	0.025354550571659	7.95454777179249e-07	0.0218985763473419	0.0248982430360461	0.029956956044225	0.494237838839738
