Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE
A	0.027307207858328	0	0	0	0	0	0.0273818306733724	0	0.325335964050733	0	0	0.00982425024003171	0	0	0.000973682042592763	0	0	0.554746128766384	0.0544309363685584	0	0	9999	0.529134690778914	0.954201023604489
B	0.0158090548405639	0	0	0	0	0	0.0585605215579911	0	0.319233364749216	0	0	0.0226502657695715	0	0	0	0	0	0.531386382621882	0.0523604104607755	0	0	9999	0.530766658029914	0.951093527319489
C	0	0	0	0	0	0	0.0284202379745077	0	0.131802262480175	0	0	0.014724311424641	0	0	0	0	0.0985509000897279	0.673836479891229	0.0526658081397191	0	0	9999	0.533274390411483	0.951614296262307
D	0	0	0	0	0	0	0.0353218489108523	0	0.124439698134234	0	0	0.0106184674354612	0	0	0	0	0.108317638238254	0.669657158975736	0.0516451883054623	0	0	9999	0.547411080151705	0.937364810697007
E	0	0	0	0	0	0	0.0222574438829549	0	0.142436639815373	0	0	0.012366230384848	0	0	0	0	0	0.76867772770134	0.0542619582154842	0	0	9999	0.537797894052299	0.946906389348273
F	0	0	0	0	0	0	0.0582836921680069	0	0.200602458585416	0.127875650934982	0	0.0248227253128056	0	0	0	0.00549354703896613	0	0.548197544306226	0.0347243816535969	0	0	9999	0.520480292480444	0.96273468795601
G	0.0242093776504485	0.00566277715650358	0	0	0	0	0.0292984946209977	0	0.377247536633247	0	0.0950671599926869	0.00729069681955506	0	0	0.00128265116261201	0	0	0.399422978113715	0.0605183278502342	0	0	9999	0.507310568935014	0.972200328754344
H	0.0087290518982182	0.00876352573008253	0	0	0	0	0.0275567466239183	0	0.529389034496092	0	0	0.00870023554899882	0	0	0.0010864137202707	0	0	0.35366184372913	0.0621131482532893	0	0	9999	0.529994154251662	0.95653945966926
I	0.00974101913519615	0.00684508639411827	0	0	0	0	0.0284001754253699	0	0.533976067158869	0	0	0.00587702732113333	0	0	0.000837737254055687	0	0	0.353746262873789	0.0605766244374691	0	0	9999	0.521815265423917	0.965056488416325
J	0	0	0	0	0	0	0.0340826799996803	0	0.0761382459802923	0	0	0.0140045717002153	0	0	0	0	0.180160213229703	0.644684929927448	0.0509293591626612	0	0	9999	0.538680366002445	0.947382563408255
K	0	0	0.00441712229717499	0	0	0	0.0487392695138911	0	0.0710737702749829	0	0	0.035159755729147	0	0	0	0	0	0.773169702558662	0.067440379626142	0	0	9999	0.548981330428037	0.934504970740979
L	0	0	0.00461979995567498	0.00440191513704494	0	0	0.0562551654953875	0	0.146718058698222	0	0	0.0229725558019009	0	0	0	0	0.0669070847272307	0.611473728832798	0.0866516913517411	0	0	9999	0.541423074309182	0.942486793784476
