Gene,T_cells_(CD4+),B_cells,T_cells_(CD8+),Endothelial_cells,Fibroblasts,Macrophage
mix_1,244.4108,120.446,679.0376,153.8465,269.9331,111.3267
mix_2,214.8459,118.3055,684.4439,157.8333,251.961,119.1893
mix_3,392.9529,132.8006,707.1689,141.0606,326.8964,90.3397
mix_4,318.7888,137.3031,683.6637,146.1839,295.0194,97.7392
mix_5,331.4371,130.1246,681.5335,146.8488,305.3891,95.6284
mix_6,288.5744,130.2644,681.1686,149.4127,285.798,102.6094
mix_7,340.758,145.6482,680.7261,144.0685,301.9607,93.4972
mix_8,258.8688,139.1584,669.4292,151.6492,252.0038,106.9699
mix_9,284.1595,123.1926,679.4396,151.5685,291.7826,104.013
mix_10,328.4414,150.735,684.8531,145.3229,284.7698,96.1836
mix_11,229.3879,123.9292,674.0932,155.509,257.007,118.4578
mix_12,260.662,119.2052,684.9889,153.1009,263.9336,110.3954
mix_13,327.7752,155.707,671.2983,147.6084,292.9577,95.1331
mix_14,329.5284,152.8523,684.3051,146.4299,285.2399,95.614
mix_15,354.5225,151.1103,667.7222,149.6914,335.9185,84.5701
mix_16,345.8958,133.4583,694.928,143.9199,292.3996,95.372
mix_17,419.2642,172.5448,692.3815,140.9155,319.0304,87.0242
mix_18,206.5114,121.8323,684.1188,158.627,247.8786,121.0678
mix_19,283.379,136.4394,682.5082,147.7493,282.066,102.1207
mix_20,451.6287,129.7381,724.6412,145.8917,381.4698,86.7619
mix_21,343.6878,138.9549,691.0186,144.8786,292.9983,93.9633
mix_22,290.6135,139.9069,668.0185,149.9158,291.0144,100.5468
mix_23,290.948,142.6534,677.9183,144.988,275.1134,102.4872
mix_24,195.8968,119.1389,680.4202,159.5105,250.0825,124.1452
mix_25,305.0809,121.6303,705.5298,147.0791,281.0039,103.2937
mix_26,432.1103,126.5008,697.1225,145.4011,388.3976,87.2538
mix_27,218.4726,142.8458,650.5218,158.4937,255.8983,112.4056
mix_28,431.0491,136.4553,708.4827,142.1173,363.4057,87.3862
mix_29,294.3981,129.1093,688.4377,146.6142,292.6444,99.6586
mix_30,296.5647,131.9005,689.1981,148.971,290.1357,100.2857
mix_31,296.6295,127.2722,689.833,148.6198,280.4608,102.0819
mix_32,328.9542,131.2832,688.4325,146.664,297.8067,95.5713
mix_33,280.2852,132.9525,677.4001,149.324,275.5577,103.6629
mix_34,236.6971,119.2627,682.303,155.3332,262.0576,114.2744
mix_35,274.7009,124.3058,684.1413,151.686,290.3162,105.6291
mix_36,347.9137,146.5443,685.9668,142.6773,294.9073,94.4733
mix_37,333.8989,144.8035,691.9369,145.6945,285.1515,97.8111
mix_38,415.911,131.1387,701.0108,142.0827,357.6599,90.7913
mix_39,368.0825,150.3615,678.9396,145.5289,326.1427,91.6242
mix_40,286.531,133.1114,676.5544,148.352,267.2618,104.845
mix_41,251.8901,121.5559,678.8294,154.1308,285.6476,108.5356
mix_42,410.4575,153.5821,691.6832,142.7502,354.7261,87.507
mix_43,344.3534,121.4887,684.3058,150.6159,320.1037,97.0275
mix_44,360.6221,125.4704,690.999,145.193,323.8182,96.0558
mix_45,320.6442,117.5433,706.5105,147.0326,284.5309,102.6612
mix_46,376.6598,131.2675,702.3043,144.7199,344.0393,88.8167
mix_47,285.4494,134.1284,683.2594,149.0583,266.8663,102.7766
mix_48,207.6857,140.7136,643.463,159.4302,253.055,116.1048
mix_49,258.9519,136.9652,665.5124,151.748,280.4512,106.2575
mix_50,392.5895,143.1154,706.106,141.1839,308.8322,91.5775
mix_51,236.8846,140.4151,653.9142,156.6937,254.0752,109.3757
mix_52,394.3611,158.0887,689.714,144.8989,329.4997,88.5457
mix_53,251.28,138.8657,661.3974,153.6861,275.4613,108.6241
mix_54,397.0148,146.7236,689.5804,143.3634,348.4433,88.6653
mix_55,258.5719,136.8467,665.9057,152.3857,273.7087,107.1956
mix_56,345.2188,128.5728,697.3231,143.1585,285.5386,97.3303
mix_57,285.6614,117.8677,687.5092,150.1605,292.5334,106.0411
mix_58,338.1844,133.9048,688.1161,150.6182,311.3344,93.3906
mix_59,259.0609,118.5124,683.731,151.9494,287.9173,109.6772
mix_60,304.6032,143.8875,682.6244,147.3611,274.5914,98.8128
mix_61,438.2897,144.554,719.9008,141.2219,344.3977,89.4331
mix_62,405.0834,140.7325,697.139,141.6221,339.4529,89.8381
mix_63,272.2685,119.1997,684.22,150.8356,272.9798,107.4994
mix_64,275.0364,135.9198,675.7857,149.406,267.4497,106.7494
mix_65,320.4259,128.3455,669.8787,148.9993,303.5411,95.1964
mix_66,234.9033,137.2362,655.7222,156.592,256.41,109.2964
mix_67,391.3807,149.2329,682.9284,145.9398,346.2438,89.4447
mix_68,376.4337,128.264,692.1758,145.5937,350.4105,90.2818
mix_69,266.7124,135.1111,679.4519,149.9883,268.9641,107.2557
mix_70,264.2285,153.1688,640.3135,157.3061,291.7356,103.2391
mix_71,219.9143,142.2392,658.8148,154.7988,239.9487,114.8633
mix_72,357.6228,169.1111,692.02,143.2464,281.9485,93.5119
mix_73,309.5156,151.7581,660.2382,149.5502,301.8701,97.3648
mix_74,308.2024,139.899,678.13,144.6003,284.0487,103.2019
mix_75,229.4361,137.5238,660.196,155.0573,248.5359,112.5903
mix_76,354.1586,125.7353,692.2412,144.8437,334.2423,93.3201
mix_77,431.0711,128.4618,712.3897,143.5993,364.7995,88.1379
mix_78,260.7173,131.2249,669.4097,152.3318,276.2641,106.0689
mix_79,254.3549,121.5668,682.3554,152.1386,261.6797,110.8187
mix_80,334.0558,142.8293,690.8589,143.8071,286.7484,95.0178
mix_81,358.7434,130.527,706.6183,141.0942,301.5554,95.0215
mix_82,278.6165,137.6597,686.0649,148.11,278.3307,103.5659
mix_83,236.7219,134.851,666.5334,152.8175,255.3528,112.3121
mix_84,330.1876,133.5504,695.6406,144.1393,283.6387,96.9692
mix_85,343.0658,129.1491,700.1292,144.4147,294.3567,97.1494
mix_86,401.5525,125.9794,708.1244,143.2341,341.9687,91.357
mix_87,313.4171,125.0037,699.3113,145.9432,283.3681,101.49
mix_88,353.4941,133.4719,696.0952,145.2767,317.8115,92.4911
mix_89,405.3993,131.3019,709.9255,142.6236,347.1597,87.7968
mix_90,298.6394,124.0101,705.3494,148.052,281.8023,103.7644
mix_91,243.1837,132.7102,659.6226,153.6282,268.2439,110.2955
mix_92,294.6839,129.5834,693.0241,147.1141,282.8199,103.4389
mix_93,186.7804,120.6038,681.7236,162.2927,241.1708,125.2517
mix_94,230.3695,118.8199,680.3659,156.6206,267.8634,114.013
mix_95,238.3478,141.8151,649.0564,154.9413,261.0838,108.8967
mix_96,254.773,135.4859,657.3025,156.2396,288.6777,105.6545
mix_97,271.0379,128.6578,684.8623,150.2736,273.4663,105.4863
mix_98,280.6353,132.8198,682.3836,149.6301,270.9356,106.3959
mix_99,462.7067,132.1829,733.9626,141.8204,364.767,88.074
mix_100,304.5934,129.9897,690.8957,147.0367,285.7487,101.3202
