Mixture	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory	P-value	Correlation	RMSE	Absolute score (sig.score)
S21726	0	0.158738162821584	0	0.109361207441165	0.119319296147728	0.0150066081475703	0	0	0.0143057937580781	0	0	0	0.00272395214686004	0	0	0	0.000313681661893619	0.0443355301433626	0.373557883427266	0	0	0	0.0353080241423086	0.00604115412194229	0.0273672933485669	0.00940495174971569	0.0499149240079772	0.0258072584113588	0	0	0.003317241798527	0.117516775861973	0.0334648041401957	0.149674678937225	9999	0.28809095171016	0.962585159729547	1.2954792222153
S21740	0	0.28450004579704	0	0.126225164183949	0.0510393711906473	0.0227965835733439	0	0	0.0198019111201328	0	0	0	0.00201061157669169	0	0.00707579495531324	0	0.00461661669988194	0.0268873049399297	0.306828478623147	0	0	0	0.0261398085275323	0	0.0246513152321601	0	0.0731526929744965	0.0163570177163082	0	0	0.0245651654247678	0.151637631653144	0	0.185221972542282	9999	0.275910804591651	0.963578027886512	1.35350748673077
S21750	0	0.158258315944656	0	0.193904572095092	0.0842101608918815	0.0173986884745421	0	0	0.00606740773274339	0.00405245733517188	0	0	0.00185449273749425	0	0	0	0.00356047199909271	0.0408678258238705	0.357745006745427	0	0	0	0.0400657782622975	0	0.0307191480837692	0.0112155462452453	0.0395621468143747	0.0297648476146138	0	0	0.0126091966768816	0.0452321049727837	0.0611462528013955	0.146479915693866	9999	0.292433527883189	0.961323072445076	1.2847143369452
S21753	0	0.251719463045223	0	0.137912828713498	0.147101650290795	0.0206428616624743	0	0	0.0160080669454084	0.00163086457086555	0	0	0.00257766578302059	0	0	0	0.00309240399080382	0.0342764384853801	0.345137251665601	0	0	0	0.0340288486277309	0	0.021515676925995	0.000955747646885775	0.0584475868999067	0.015672364515059	0	0	0.0218230064985386	0.0483935830935356	0.0178803326674446	0.172149843738042	9999	0.289085995277085	0.962726966227648	1.35096648576621
S21754	0	0.187736634769289	0	0.163579221412308	0.0648936053278849	0.00549304556812146	6.7860267727466e-05	0	0.0126839860873691	0	0	0	0.00242595876849755	0	0	0	0.00230889979074528	0.0380223243764088	0.4030742503059	0	0	0	0.0445286440187907	0.000282176571141028	0.0212008774003488	0.0159388733464812	0.0544352488430428	0.0236128287653197	0	0	0.0137306522558562	0.0883887818173309	0	0.173552289945776	9999	0.309047285473971	0.957785711883381	1.31595615963834
S21761	0	0.224568365255613	0	0.15997651111507	0.0718171747845499	0.0156931394608425	0	0	0.0147222408476765	0	0	0	0.00269805693352357	0	0	0	0.00151487449275212	0.0475069182221268	0.282336064458484	0	0	0	0.034043761348413	0	0.0272120243564923	0.01007547521725	0.0507272458419905	0.0152627259469551	0.00279880709855975	0	0	0.166931274091173	0.0338431831176901	0.177107452141014	9999	0.290627465665725	0.963194366525564	1.33883529473018
S21773	0	0.172832556189179	0	0.167809763496218	0.0941933800396506	0.0213113522990069	0	0	0.0138001658577524	0	0	0	0.00310301750816093	0	0	0	0.00139984861266395	0.0350311233845064	0.342329562484192	0	0	0	0.0395903830017377	0	0.0292356003318826	0.00524372024142715	0.0480843680733592	0.0270623918750768	0	0	0.00685245271416487	0.0751419526678203	0.0135873348571985	0.235037670233088	9999	0.284751804828303	0.963563816117089	1.33164664386708
S2178	0	0.233132671973482	0	0.162214000000436	0.0849888292308828	0.0224114668289705	0	0	0.00996918032244526	0.00241187201109018	0	0	0.00219067338682077	0	0.00151415123307505	0	0.00340994067835992	0.0482430191591487	0.436573962060861	0	0	0	0.0365225973927097	0	0.0260128478236986	0.0102156887119124	0.0451606147407515	0.0258974151270263	0	0	0.0193412531483689	0.0360882467473633	0	0.142114443885277	9999	0.300484745923927	0.959729107165034	1.34841287446268
S21780	0	0.203466671276589	0	0.130048271004506	0.120929038338048	0.0181965067510535	0	0	0.00449622862098306	0.00708313266675967	0.00248947707050131	0	0.00266503563059351	0	0	0.00272642360148802	0	0.033217113032605	0.350239763785518	0	0	0	0.0341698514337389	0	0.022954289144413	0.00081873485284982	0.0344844047957695	0.0162155786996859	0.000515177428101467	0	0.0309461684826005	0	0.0634681284575176	0.221090438484599	9999	0.294337356185826	0.96260563320848	1.30022043355792
S21781	0	0.268172883312129	0	0.171363693865336	0.0575871428552109	0.02018529045692	0	0	0.0208422954539159	0	0	0	0.00213815345208818	0	0.0129305681008447	0	0.00587449142989834	0.0354784738216312	0.208570032579349	0	0	0	0.0293122973970867	0	0.0266550496916751	0	0.0806959489310007	0.0152281244604177	0	0	0.00599581380433757	0.160354950606889	0	0.235766772390281	9999	0.269154246495215	0.965279120354226	1.35715198260901
