CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
S1029	0.0469	0.102	0.1537	0.1326	0.1824	0.1712	0.1458	0.0653
S10292	0.0331	0.1278	0.1166	0.1123	0.1652	0.1661	0.1951	0.0837
S10294	0.0443	0.1158	0.1353	0.1284	0.1888	0.1665	0.1369	0.084
S10302	0.0475	0.0929	0.1494	0.0966	0.1981	0.1947	0.1287	0.092
S10303	0.0328	0.1071	0.1642	0.1338	0.1901	0.1549	0.1433	0.0739
S10323	0.0337	0.1137	0.1586	0.114	0.2048	0.1609	0.1291	0.0853
S10326	0.0371	0.0972	0.1901	0.1211	0.228	0.1504	0.1039	0.0722
S10328	0.0284	0.0964	0.1166	0.1675	0.2082	0.1378	0.1418	0.1033
S10329	0.0444	0.098	0.1597	0.108	0.1782	0.1655	0.1498	0.0963
S10336	0.0382	0.1054	0.174	0.1707	0.1965	0.1533	0.0954	0.0664
S10340	0.0492	0.097	0.1402	0.092	0.2228	0.1851	0.1452	0.0684
S10347	0.034	0.1243	0.1356	0.1186	0.1676	0.1466	0.1773	0.0961
S10353	0.0575	0.1225	0.1659	0.096	0.1833	0.1445	0.1376	0.0927
S10356	0.048	0.116	0.1525	0.1145	0.1553	0.1921	0.1623	0.0593
S10358	0.0286	0.0996	0.2022	0.0985	0.2009	0.1616	0.1281	0.0804
S10365	0.0292	0.0989	0.1622	0.1102	0.249	0.1613	0.1241	0.0651
S1037	0.044	0.0957	0.1234	0.1106	0.1341	0.1528	0.2513	0.0882
S10373	0.0508	0.1099	0.1408	0.0926	0.1735	0.1788	0.1808	0.0727
S10374	0.0509	0.1481	0.1355	0.1064	0.2004	0.1941	0.1206	0.0439
S10375	0.0336	0.1012	0.1422	0.1399	0.185	0.1666	0.1572	0.0744
S10377	0.0412	0.1465	0.1048	0.1097	0.188	0.2217	0.1072	0.081
S10378	0.0429	0.1045	0.1528	0.1135	0.2169	0.1362	0.1624	0.071
S10390	0.0574	0.122	0.1179	0.1186	0.1935	0.1722	0.1334	0.085
S10391	0.0617	0.1169	0.1823	0.1122	0.1399	0.1721	0.1215	0.0934
S10393	0.0387	0.0992	0.1429	0.1124	0.2033	0.1778	0.1243	0.1014
S10400	0.0294	0.1134	0.1748	0.1132	0.2136	0.1721	0.139	0.0445
S10401	0.0367	0.1227	0.1672	0.1076	0.1965	0.1641	0.1042	0.101
S10406	0.0353	0.1089	0.1834	0.093	0.241	0.1594	0.0966	0.0824
S10408	0.0261	0.1154	0.1342	0.126	0.221	0.1526	0.1396	0.0852
S10409	0.0461	0.1068	0.1594	0.1044	0.1705	0.1894	0.1545	0.0688
S10418	0.0483	0.1326	0.13	0.1218	0.2239	0.1561	0.0941	0.0931
S10431	0.0343	0.1055	0.1554	0.1177	0.2065	0.1595	0.1536	0.0675
S10438	0.0393	0.1081	0.162	0.1241	0.1946	0.1619	0.1385	0.0715
S10439	0.0303	0.0979	0.213	0.1104	0.2076	0.1506	0.1204	0.0699
S10441	0.0284	0.0993	0.2236	0.1281	0.2204	0.1555	0.0837	0.061
S10442	0.0407	0.1	0.1614	0.1303	0.2054	0.1475	0.1584	0.0564
S1046	0.0364	0.0992	0.165	0.0944	0.2744	0.1592	0.1242	0.0472
S10478	0.0349	0.1069	0.2075	0.0751	0.2987	0.1456	0.0737	0.0576
S10480	0.0433	0.1347	0.1397	0.1519	0.1218	0.1603	0.1078	0.1405
S10484	0.0331	0.1066	0.1822	0.121	0.2082	0.1634	0.0963	0.0892
S10492	0.034	0.103	0.1518	0.1129	0.1484	0.2234	0.155	0.0715
S10496	0.0457	0.1086	0.1605	0.1444	0.182	0.1633	0.1471	0.0484
S10510	0.032	0.1267	0.1768	0.1019	0.1735	0.1755	0.1488	0.0649
S10513	0.0251	0.0782	0.2144	0.1168	0.184	0.1688	0.1471	0.0658
S10516	0.0414	0.1166	0.181	0.1202	0.1876	0.158	0.1215	0.0737
S10534	0.0352	0.0979	0.2034	0.0815	0.2016	0.1472	0.1723	0.061
S10535	0.0557	0.0971	0.16	0.0926	0.1725	0.1923	0.1675	0.0622
S10537	0.0314	0.0994	0.1913	0.1368	0.2181	0.142	0.1324	0.0486
S1054	0.0352	0.1137	0.1687	0.1045	0.1726	0.18	0.0968	0.1285
S10543	0.0343	0.1106	0.1252	0.1514	0.2031	0.154	0.1128	0.1086
S10546	0.0592	0.1128	0.162	0.1488	0.1792	0.1642	0.1427	0.0312
S1055	0.0369	0.1221	0.1639	0.1068	0.2405	0.1728	0.0767	0.0803
S10551	0.0515	0.1061	0.1641	0.1108	0.1835	0.1719	0.1347	0.0774
S10552	0.038	0.1307	0.1717	0.1404	0.2164	0.1541	0.0826	0.0662
S10555	0.0351	0.0886	0.1119	0.154	0.1844	0.1353	0.1111	0.1797
S10559	0.0363	0.0997	0.2072	0.113	0.2007	0.1396	0.1593	0.0443
S1056	0.0465	0.1013	0.166	0.0857	0.1891	0.1488	0.184	0.0788
S10563	0.038	0.1005	0.1516	0.1092	0.2333	0.1706	0.0996	0.0971
S10574	0.0361	0.0878	0.2001	0.1277	0.1534	0.165	0.1802	0.0497
S10576	0.0429	0.1161	0.1213	0.0928	0.2897	0.1457	0.1095	0.0819
S10578	0.0527	0.1039	0.1658	0.1124	0.2348	0.1676	0.1026	0.0603
S10579	0.036	0.112	0.1531	0.107	0.2381	0.1662	0.1264	0.0612
S10582	0.0359	0.0897	0.1711	0.1152	0.2523	0.1678	0.1124	0.0556
S1059	0.039	0.1035	0.142	0.1184	0.2475	0.1451	0.1085	0.0959
S10599	0.0404	0.0998	0.1757	0.0954	0.266	0.1637	0.1215	0.0374
S10611	0.0387	0.0979	0.1921	0.0955	0.2116	0.1539	0.1526	0.0576
S10614	0.0296	0.0954	0.1732	0.1049	0.2655	0.1383	0.1289	0.0642
S10624	0.0394	0.1354	0.1916	0.091	0.1708	0.1579	0.1302	0.0838
S10632	0.0368	0.127	0.1294	0.1104	0.2158	0.1942	0.1074	0.079
S10634	0.0507	0.1094	0.1453	0.1034	0.2039	0.1542	0.1716	0.0614
S10638	0.042	0.0776	0.1831	0.0846	0.2204	0.1548	0.1622	0.0752
S10644	0.0372	0.0993	0.1738	0.1221	0.1473	0.1444	0.2153	0.0606
S10649	0.0403	0.0837	0.1316	0.0976	0.3431	0.1204	0.1294	0.0538
S10652	0.0369	0.1324	0.1369	0.1124	0.2881	0.1368	0.0884	0.0682
S10654	0.0322	0.1018	0.172	0.1539	0.1969	0.1656	0.1156	0.062
S10655	0.0287	0.1134	0.1563	0.113	0.2185	0.1496	0.1604	0.0601
S10656	0.0284	0.0837	0.1328	0.1634	0.2102	0.1716	0.1432	0.0667
S10657	0.0308	0.163	0.1368	0.1088	0.1968	0.1398	0.1417	0.0823
S10658	0.0231	0.1014	0.1482	0.1168	0.2405	0.1295	0.1633	0.0772
S10660	0.0295	0.14	0.1527	0.1144	0.1315	0.1754	0.1346	0.1219
S10661	0.0418	0.1134	0.1412	0.1059	0.1833	0.1592	0.1794	0.0758
S10676	0.0511	0.0834	0.2432	0.115	0.2299	0.1482	0.0689	0.0603
S1068	0.0496	0.0904	0.1884	0.0923	0.1674	0.1505	0.1545	0.1068
S10681	0.058	0.0988	0.1395	0.1126	0.2498	0.1636	0.0959	0.0818
S10686	0.0471	0.1293	0.1596	0.1069	0.1865	0.1725	0.1065	0.0917
S10688	0.0277	0.0824	0.1661	0.0912	0.1595	0.1893	0.2031	0.0806
S10690	0.0308	0.1114	0.1612	0.1785	0.1759	0.1656	0.1083	0.0681
S10698	0.0281	0.1009	0.1824	0.107	0.1665	0.1757	0.1392	0.1002
S107	0.033	0.0978	0.129	0.1009	0.2096	0.1499	0.1542	0.1257
S10703	0.036	0.0953	0.1903	0.1406	0.1603	0.1402	0.1811	0.0563
S10726	0.0464	0.1048	0.16	0.105	0.1885	0.1731	0.1599	0.0621
S10729	0.0221	0.1229	0.1663	0.1077	0.2142	0.1821	0.1212	0.0635
S10733	0.033	0.0905	0.1918	0.1142	0.2152	0.1842	0.1169	0.0543
S10734	0.0394	0.1461	0.1618	0.0928	0.1656	0.1778	0.1463	0.0703
S10735	0.0385	0.1288	0.1462	0.0932	0.2398	0.165	0.1229	0.0656
S10740	0.0235	0.1036	0.1703	0.0903	0.2361	0.1526	0.1557	0.0678
S10745	0.0392	0.1044	0.2067	0.108	0.2446	0.1374	0.0882	0.0715
S10748	0.0466	0.1151	0.1744	0.1246	0.1721	0.2084	0.1049	0.0539
S10753	0.0321	0.0942	0.1751	0.0918	0.2248	0.1531	0.1781	0.0509
S10756	0.0474	0.0908	0.1716	0.0964	0.2076	0.1742	0.1296	0.0824
S10757	0.0393	0.0939	0.1266	0.0917	0.1283	0.1882	0.2581	0.0738
S1076	0.0418	0.1088	0.1642	0.1078	0.2011	0.1742	0.1346	0.0675
S10764	0.0415	0.1205	0.15	0.1148	0.1791	0.1731	0.1216	0.0993
S10767	0.0549	0.1244	0.1191	0.1304	0.1501	0.1699	0.1257	0.1255
S10776	0.0296	0.0991	0.175	0.1157	0.2494	0.1656	0.1064	0.0593
S10778	0.0329	0.1076	0.132	0.0786	0.2988	0.1426	0.1348	0.0727
S10784	0.033	0.0939	0.1888	0.1042	0.2953	0.127	0.1025	0.0551
S10787	0.0408	0.1144	0.1442	0.1315	0.2057	0.172	0.1358	0.0555
S10800	0.0586	0.1582	0.1364	0.1063	0.216	0.1407	0.1211	0.0627
S10805	0.0351	0.1223	0.1661	0.0977	0.2195	0.1665	0.1059	0.087
S10813	0.0393	0.1014	0.192	0.1306	0.2043	0.1552	0.1076	0.0698
S10814	0.0547	0.128	0.1125	0.1061	0.2331	0.1723	0.1062	0.087
S10815	0.0332	0.0955	0.1562	0.1034	0.2331	0.1658	0.1388	0.074
S10817	0.0516	0.1134	0.1296	0.1195	0.1691	0.1773	0.1689	0.0705
S1083	0.0414	0.0952	0.2069	0.1207	0.1685	0.1459	0.1631	0.0583
S10835	0.0248	0.1022	0.2866	0.1029	0.162	0.1575	0.1121	0.0518
S10838	0.0353	0.0907	0.178	0.0996	0.2269	0.1507	0.1313	0.0875
S10844	0.0521	0.1161	0.125	0.1128	0.1982	0.1928	0.1307	0.0723
