Gene,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated,Plasma cells,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,Dendritic cells resting,Dendritic cells activated,Eosinophils
mix_1,360.667220837,197.833317366,191.224815338,681.001485474,1363.74411449,250.538183377,416.877362928,1219.87718352,546.652294473,1891.47800124,258.043139872,350.372286559,351.141965067,266.042350532,237.09283259,231.867956554,1166.12202067,505.7008543,1467.56763992,400.760638371,363.250365077,728.152456599
mix_2,372.843204908,211.04371595,119.612011578,489.192733066,931.906308737,198.88744657,368.213707617,1013.84092931,411.01709707,1342.85640798,161.984428426,287.17210173,250.521649247,395.125638846,321.164501896,366.769819575,873.078096017,421.015898217,1078.49620961,320.882131531,345.457050008,647.456204014
mix_3,274.187724352,188.927799494,164.35872163,316.75356778,501.257102967,248.334117842,280.209971031,753.816203418,296.534753351,789.240845702,339.518099728,367.350439344,410.630232998,273.270997622,262.540734464,246.431059425,583.336706282,331.049302796,626.59370506,439.161083549,358.758255071,523.673133713
mix_4,410.167289395,235.562970067,128.330221138,590.2053794,1046.16340179,216.816048829,534.341006188,1422.39375487,658.244458337,1675.67625982,197.427684476,344.880093202,239.710252258,225.595936234,222.974965231,363.993249663,1344.27601992,703.623936755,1256.49175624,273.322468816,372.812329289,738.328878286
mix_5,345.339371891,218.337756464,137.39220542,535.860548116,967.0049164,212.191588181,422.942244391,1152.38857076,500.572447035,1448.21660691,270.50777545,347.395068268,291.372155502,234.344061423,235.126231429,333.89103245,1046.79334748,518.278344284,1126.19920473,327.404745742,354.725471384,669.901941439
mix_6,383.347291879,226.475788507,116.057627453,602.565976856,1117.48013107,192.202357566,494.4097392,1382.32994176,618.137069513,1717.81153623,191.896620694,333.598591656,233.854661345,145.199090728,139.276875712,361.771606775,1309.3710735,647.828169181,1290.88355649,277.409134052,349.904354141,696.079072736
mix_7,327.07871713,201.732562261,120.016491499,438.977468389,781.68861721,209.011960689,359.856457326,983.845922795,391.89110512,1196.16357797,284.347638095,342.14031205,314.086772116,311.687839923,282.440298281,306.285806201,830.705601084,411.170519803,931.67274094,342.260858402,346.900859464,617.173810957
mix_8,311.153680295,159.613102853,114.078632394,476.848217015,925.006689087,187.205722753,345.045918787,980.287328617,400.906206344,1324.68427983,242.831306322,308.868096231,274.806016064,306.390170397,266.074790742,240.098631553,874.398044393,398.397659044,1039.42260902,341.068459781,331.94330156,584.205217304
mix_9,426.850264161,271.998419945,148.239343467,713.203003754,1296.93573697,219.252094729,578.756859834,1563.58759988,738.176668575,2004.90544545,176.775082023,352.914937853,233.495986554,125.806932443,129.58996982,395.909021426,1510.78576338,747.511139254,1475.04554622,278.063742878,375.312016399,774.454928194
mix_10,409.463108427,275.554186003,224.302142228,395.745861981,599.335188545,290.440780056,475.093185045,1194.46354316,524.318410363,1094.38220312,267.01138651,383.728133143,406.617446316,295.464812803,291.636802705,378.206059377,1074.59634403,611.865796952,870.307704185,412.001119297,407.009312585,739.540680617
mix_11,450.517094679,300.736169214,220.451160866,686.434187248,1343.53300032,284.883142097,461.169122808,1259.85585916,583.404219881,1897.45746567,209.356385659,347.853051066,355.740928871,346.036118434,307.955285313,408.397479795,1219.92230954,560.467160042,1487.46483464,408.324757511,404.342777418,842.631407063
mix_12,336.014321331,181.432598609,134.531632262,515.100604489,939.104257994,216.721946698,469.080549092,1269.18061334,562.510123268,1467.03612249,262.560466679,361.318336718,297.624280064,188.250121748,203.781000507,229.014224169,1173.23987504,608.780258537,1144.47050747,328.740870733,359.620033211,663.012283795
mix_13,368.872396319,192.927872886,164.979960425,499.585057892,767.41401976,238.023207275,525.453224712,1433.8248378,635.893016103,1449.6328379,185.209413773,339.714784085,305.812905416,143.380006132,142.47691552,269.854850574,1339.07847145,770.034092959,1038.03994724,332.022094493,394.345364882,699.857583253
mix_14,451.09048644,304.081224252,230.468370202,599.895493774,1047.14770088,292.620820757,560.438331978,1472.9253041,707.836462049,1708.38517317,235.948599005,392.020697848,358.546258004,216.643658116,225.392258368,402.016903556,1422.06820117,753.595645917,1299.35994033,378.57167477,415.824297372,836.024063493
mix_15,323.454131072,192.985737086,116.520782498,511.500476238,958.082685865,188.601782783,406.901965936,1117.45387559,485.725215697,1410.00616656,229.393588095,330.857836708,271.707990354,168.456010343,152.790121135,303.372241467,1018.67091016,499.707828188,1107.92367288,321.754599441,345.271690604,608.237049624
mix_16,263.843258965,192.062629834,97.5462847509,283.82605225,429.339306822,185.004487194,273.463792711,699.200621881,247.578074857,690.179356736,290.315365942,329.836843156,320.840791101,156.634301825,132.847794788,349.65666307,510.363900794,284.566170363,538.080867366,360.817568079,327.139311086,429.481980071
mix_17,267.991466526,160.136570877,88.7099299345,253.814637431,370.516452905,178.803968666,295.356910722,762.050664306,279.634120309,661.898161077,269.549990617,328.903068211,302.752151743,225.427994888,197.736386493,288.514829166,589.996938396,347.969352162,519.432341142,336.355979742,327.446028711,442.931580095
mix_18,403.364830624,229.608812981,215.712376232,307.326560674,400.487196474,290.170668674,474.725530919,1228.21657992,546.680003978,922.511079862,223.001794077,371.761813728,397.806531367,342.835510548,321.289927053,306.972799938,1092.50564917,669.30531035,734.008354488,393.551998514,411.341048099,713.890142835
mix_19,259.794080075,150.72729856,154.260390365,335.484644548,571.483573594,232.649900195,289.125748239,816.994192143,296.709385943,867.006466047,309.812146778,354.646945338,398.956784999,263.367612097,237.188566548,174.088074869,627.544476564,337.412888508,709.520961258,436.086603133,352.526864166,507.713053235
mix_20,387.08031401,240.024100575,119.575839964,534.70220531,966.81407703,199.76528569,485.587140729,1325.96192875,601.568015854,1542.48081089,146.42503089,313.109317695,234.367815374,120.694785201,110.503836822,406.796483807,1232.85518238,631.977130609,1163.36391927,281.831290503,358.924441997,666.78942662
mix_21,285.170305768,161.890321107,110.236702328,301.157127949,435.78574195,199.600204128,396.573272528,1059.30716168,438.149096493,871.406031662,237.727980641,347.014774337,311.055037506,128.952468387,129.828202891,237.776271653,894.769820802,536.167088445,689.870295283,333.974837179,349.105662058,510.473735298
mix_22,419.407208414,258.595252384,232.104166986,645.563593747,1178.71021842,301.080773935,492.621837061,1347.82561005,633.344369453,1796.77891024,304.974188831,404.082767545,398.118610413,345.463354673,348.990172002,299.917087041,1297.17705706,644.21605072,1372.15705088,423.787425527,410.359484211,844.537391495
mix_23,425.382543639,264.217709773,179.844448393,605.367985792,1104.7054712,256.642337504,519.328183627,1394.31439697,623.995301351,1713.94545485,181.704988527,354.164443496,323.839248447,214.467768877,193.489675509,372.287132276,1335.219135,668.41899344,1298.0054547,365.80901414,405.042201272,764.198451221
