	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
A	0	0.470127269610908	0.11008886409644	0	0	0	0.419783866292653	0
B	0	0.470302386786018	0.0895072998288855	0	0	0	0.440190313385097	0
C	0	0.522304744907785	0.0122828654400699	0	0	0	0.465412389652145	0
D	0	0.536956385402713	0.00201815351936624	0	0	0	0.461025461077921	0
E	0	0.505158336791522	0.0464640546097765	0	0	0	0.448377608598702	0
F	0	0.485271528689455	0.0845217648860917	0	0	0	0.430206706424453	0
G	0	0.454663560414624	0.180222559234427	0	0	0	0.365113880350948	0
H	0	0.441208716669902	0.187169943192223	0	0	0	0.371621340137874	0
I	0	0.446600360174432	0.160300291818369	0	0	0	0.393099348007199	0
J	0	0.539197047915725	0	0	0	0	0.460802952084275	0
K	0	0.545653250874197	0	0	0	0	0.454346749125803	0
L	0	0.522359091709419	0.0428535585516818	0	0	0	0.4347873497389	0
