Gene,CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
mix_1,1286.4480159,1485.22531626,3597.24143583,2400.52414715,4731.74774542,2443.59050408,4967.50797881,2381.6973686
mix_2,1235.68630494,1493.13386242,3429.05810096,2256.29387036,4549.93218117,2480.86362813,5184.56829868,2194.6343689
mix_3,1087.35811937,1459.01236652,3579.83902111,2131.1250213,4475.48000248,2421.19055935,5240.14474809,2007.28686931
mix_4,1347.29024856,1491.74765433,3302.00526704,2291.59019883,4703.73151759,2517.86787953,5086.62560906,2328.06962216
mix_5,1243.44677964,1477.89852082,3434.53036619,2271.07983037,4631.66191607,2450.3675409,5133.41951521,2197.93457389
mix_6,1322.75928841,1484.430708,3305.67299793,2319.62012701,4638.5370822,2501.48637209,5073.45370619,2336.04580361
mix_7,1175.97096004,1461.3351464,3475.93344975,2202.33254935,4560.74713375,2409.43265953,5226.10371038,2107.76603607
mix_8,1167.64736203,1462.57882668,3486.6828219,2248.84403828,4550.61211598,2417.57742401,5134.05504177,2178.12663734
mix_9,1407.22802713,1489.21784057,3262.67530811,2352.42684686,4725.52640472,2511.32872711,5001.20498802,2418.1391667
mix_10,1314.52555059,1522.72125741,3471.76624222,2187.92170626,4775.45086331,2563.79617449,5149.80622229,2188.45847522
mix_11,1377.57813768,1519.01259954,3518.70750796,2382.99043424,4781.96539979,2515.87153286,4916.22850221,2385.6747805
mix_12,1257.88602241,1471.74321753,3407.12012243,2267.87766057,4666.62487163,2460.88730645,5134.53466893,2253.7501112
mix_13,1349.50237683,1492.75139758,3275.39768623,2187.28147711,4733.83309944,2571.47968001,5091.6163504,2338.26787812
mix_14,1418.82813056,1529.91637394,3385.12758265,2303.92263233,4824.16120499,2566.1600072,4984.64185652,2371.49085593
mix_15,1234.47938009,1469.00675673,3398.71267439,2272.11807948,4585.34517242,2443.53952909,5137.76247928,2235.15250166
mix_16,1058.92031447,1410.78692393,3416.64675284,2070.6657087,4277.92526174,2366.84606423,5249.78560911,1935.70896632
mix_17,1071.04304965,1435.81090445,3390.80092103,2061.07240903,4346.70655665,2381.56922679,5271.21451198,1947.82222722
mix_18,1310.52679497,1519.8093003,3402.53847746,2106.91679832,4765.85856169,2623.26066872,5153.82566517,2200.77594753
mix_19,1092.11304529,1451.44576369,3613.28126053,2157.47447853,4491.98657785,2387.84682963,5164.91672574,2038.49627141
mix_20,1330.48644617,1495.9240457,3271.39302087,2263.30852026,4611.5232672,2545.74726608,5102.32555095,2334.43288155
mix_21,1167.57561576,1446.9438629,3360.77303573,2096.47941761,4513.27375895,2471.47445327,5275.05991882,2109.53389946
mix_22,1363.81424473,1507.45647301,3556.86555444,2360.4000299,4877.09159035,2513.85230679,4919.65435956,2338.20458821
mix_23,1399.4123493,1520.32918755,3389.27768026,2311.83420644,4739.55148142,2554.47731115,5021.89419562,2398.95458823
mix_24,1230.64861619,1463.24139698,3346.73511429,2227.68372898,4557.9063634,2447.19932666,5211.13503905,2197.94395016
mix_25,1406.03250356,1501.05020428,3246.43852478,2311.05120139,4708.56168643,2552.47281869,5054.08036096,2407.8486758
mix_26,1154.98510255,1469.66568347,3477.1964536,2093.80140391,4565.03136185,2483.6926447,5251.94489058,2064.33265842
mix_27,1364.90416856,1506.86658262,3422.09582087,2375.88664861,4730.11600039,2494.98712657,4988.00716261,2393.77044804
mix_28,1316.30698521,1487.74458711,3338.61295432,2274.87425143,4646.60997199,2512.14872496,5096.49863709,2305.81627178
mix_29,1321.49212845,1509.46260243,3539.60588684,2356.56399324,4758.35956052,2481.01671937,4971.70251788,2328.74731489
mix_30,1360.8775994,1495.26329456,3316.80410426,2300.71668167,4715.59700784,2539.92854019,5068.73062374,2362.52028346
mix_31,1315.95471742,1511.78201135,3461.95590045,2258.54770769,4756.81474801,2533.29847471,5082.75743299,2291.76459187
mix_32,1455.16002862,1533.90996651,3415.70842919,2273.92586857,4921.37318399,2583.36266189,4919.62222591,2380.91102648
mix_33,1293.64801998,1499.37396025,3458.35204142,2197.42705778,4716.7981038,2566.83362972,5126.56232034,2255.35838501
mix_34,1152.8883482,1500.44551133,3618.53012904,2099.87997538,4654.19658864,2524.77948077,5175.4266729,2037.29902122
mix_35,1305.99051916,1492.76675651,3437.7761444,2299.58703752,4735.5104187,2491.89417669,5063.79370477,2288.22206874
mix_36,1276.22594768,1499.65920579,3527.50300012,2275.39764097,4762.71199199,2493.91597236,5103.10184004,2230.5996993
mix_37,1129.21867145,1441.9427507,3457.08343605,2142.9535005,4468.37249663,2406.21366178,5208.62359074,2071.72150608
mix_38,1174.96004645,1469.61478936,3536.02206147,2240.29499434,4549.07263864,2430.77198231,5169.63071429,2154.42835346
mix_39,1318.58758658,1495.41641302,3350.22351003,2289.6040456,4653.45990591,2510.71778838,5094.06831183,2299.21088414
mix_40,1286.01460928,1498.98869206,3515.97879764,2265.84203055,4786.83285559,2518.57092404,5068.02610087,2237.36514235
mix_41,1180.60516132,1501.60429095,3566.23456059,2148.04136228,4648.10404596,2508.95515582,5183.85687042,2108.44257084
mix_42,1436.27145517,1532.43867774,3227.73533638,2190.85339215,4819.94098401,2624.14967909,5021.04928609,2310.94532442
mix_43,1223.45683513,1497.87364044,3497.43877299,2113.44869782,4663.90901275,2553.02545434,5244.07063106,2093.77099597
mix_44,1373.95393169,1515.3721016,3384.7326278,2289.26973041,4703.1419057,2542.05749588,5048.97484792,2337.66256401
mix_45,1256.90677283,1490.63570457,3477.27333569,2300.76675591,4724.00881585,2466.54794479,5021.8453704,2208.97980697
mix_46,1236.45301509,1491.39904916,3612.7836457,2218.91052239,4754.0228979,2505.6564044,5164.23299382,2187.84910588
mix_47,927.958280818,1370.03747618,3353.85217912,1946.27869782,4009.79791281,2251.81803502,5301.01518347,1768.62086083
mix_48,1371.36413908,1533.24038518,3393.55795133,2173.54461479,4801.01142119,2638.48273149,5101.79919698,2249.35461161
mix_49,1369.41464671,1526.59939285,3721.47937035,2362.1223017,5006.30250076,2521.07103056,4898.26482795,2304.48595547
mix_50,1312.32884037,1496.05367838,3393.05448071,2317.28102531,4723.92301184,2504.27056815,5017.66935065,2298.93275556
mix_51,1126.91145773,1460.57136321,3490.06829474,2067.86550358,4488.28559289,2455.94575388,5266.66168304,1995.3681687
mix_52,1197.26617257,1492.19798641,3526.41018682,2141.82977745,4609.90126892,2504.03188897,5216.35346722,2108.41147453
mix_53,1273.94684398,1522.91557869,3459.9566636,2144.44773769,4669.6659273,2578.59049325,5197.67005028,2138.50083168
mix_54,1295.45268076,1496.13972829,3377.69262977,2232.96236798,4668.46551146,2535.44162468,5135.83444981,2261.65650644
mix_55,1222.85933255,1480.02411127,3374.86839813,2109.06628027,4624.58474871,2550.54536505,5224.45491889,2174.01355807
