Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE	Absolute score (sig.score)
A	0.216545787670624	0	0.287551199008711	0.464945304746559	0	0.490701251352628	0	0.315065538802191	0.368139984141593	0	0	0.218413076721758	0	0.0364622994268387	0	0.041898634116242	0	0	0.0643157450527692	0	9999	0.595713307088067	0.802108249077471	2.50403882103991
B	0.19299889198392	0	0.363584133891915	0.335694817122122	0	0.543568390013875	0.00781349308147076	0.441909882602067	0.331488309362732	0	0	0.154095778989696	0	0.0213234181535665	0.0625241831746527	0	0.00507900988226978	0.0053126141767672	0.0367452775432813	0.0064618426908419	9999	0.58943964274378	0.807249730294457	2.50860004266918
C	0.00962817075153045	0	0.00356908256357395	0.0654660637076473	0	0.374844949736897	0.000863277600724581	1.12093448559886	0.178426436539933	0	0	0.014803646247973	0	0.0108480483309866	0	0.00621936034236539	0.0212399889569704	0.0178055732326297	0.00825504881244574	0.0375194539915543	9999	0.501276754433684	0.868001778555253	1.87042358641409
D	0.014136317301222	0	0.00773988475563363	0.0574039425808837	0	0.372188824683611	0	1.00189749195112	0.175746764484103	0	0	0.0217470746048172	0	0.0120296523510202	0.00364111751990103	0	0.0157240630840641	0.0325298838389448	0.00781682165833826	0.0301991452827533	9999	0.58784403653609	0.820765961152723	1.75280098409641
E	0.033719267422162	0	0.076228368729125	0.117155875684349	0	0.559198982502278	0	0.272993552186583	0.716527868838779	0	0	0.0794787943387617	0	0.0191750665373431	0.0134457149412262	0	0.023532017881109	0.0239468301368037	0.00559880536290139	0.0733660647440483	9999	0.513741009940333	0.858207079485304	2.01436720930547
F	0.0274084762728714	0	0	0.246993812126559	0	1.18368690395296	0.0141493947945449	0.13994764756058	0.10252616545562	0	0	0.074509289758952	0.00337266123415624	0.0408478778136253	0.0379124004109794	0	0.00385560930066851	0.0875068767125639	0.0181589526723745	0.0156514379311408	9999	0.48975837350356	0.873658219293124	1.9965275059976
G	0.270166835614928	0	0.626257535027361	0.641098742706192	0	0	0.357881560768351	0.13001428663241	0.201785994205008	0	0	0.282676899168043	0	0.049413339224731	0.163197967185768	0.00562053441497321	0	0	0.113075564626725	0.117138568616619	9999	0.644098662630855	0.769035646541671	2.95832782819111
H	0.148468685176824	0	0.955834126494142	0.641762028279047	0	0	0	0.161894329692002	0.163383599055038	0	0.00333990526050145	0.133633726073103	0	0.0441816680613179	0.0800741690157861	0	0	0	0.0833850940801169	0.0610366841246143	9999	0.748655817323452	0.677841442171449	2.47699401531249
I	0.175564778166292	0	0.945348036885021	0.646179922504382	0	0	0	0.155808731831616	0.164437414625038	0	0.0194584508608714	0.140206146043688	0	0.0388417499024243	0.0908099700002618	0	0	0	0.0803010687798364	0.0312259434371865	9999	0.758409861072973	0.665846720995313	2.48818221303662
J	0	0.0238883420698311	0	0.0160261108438973	0	0.172429100115838	0	1.15005443892344	0	0	0.00568418452012225	0	0.00884137243980742	0.006713472663028	0	0	0.0126286534144488	0.0543579992179042	0.0141513972663605	0.0496008273274895	9999	0.656483472657692	0.782747266014554	1.51437589880217
K	0	0.00905146049936697	0	0.0411857787800844	0	0.250739695219865	0.0107133626519059	0.359423771150184	0.657659316787207	0	0	0.0125509363398273	0	0.000850659093461822	0	0.00203484727599797	0.0263381140327068	0.0342754530318313	0.0177776973087264	0.00588014034024147	9999	0.705862207539613	0.72262870271309	1.42848123251141
L	0	0.0372348203513991	0	0.0441481464281466	0	0.187709068877684	0.0198512521511674	1.23545869919641	0	0	0.00877873318368693	0	0	0.0272209872861621	0.0157489261902685	0.041098199454577	0.0184824164916229	0.0289282788389684	0.00980174020236627	0.0397893606436127	9999	0.549910378544455	0.841386588247594	1.71425062929607
