Mixture	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils	P-value	Correlation	RMSE	Absolute score (sig.score)
S10001	0	0.0261497526893886	0.221411706791471	0.114687240055734	0	0.444068000982005	0.233739131821642	0	0.0336158195811931	0.0493091934183038	0	0	0	0.00858842104084618	0	0	0	0.0105019029284801	0.00272278214957425	0	0.0155283477925898	0	9999	0.713355811864225	0.703663920587274	1.16032229925123
S10006	0.0755365767055746	0.0198642561131726	0.0958647874593578	0.0892897825559235	0	0.514150666357282	0.134462602539348	0.106286236502345	0.0229062583874499	0.01520127017616	0	0	0	0	0.00125576460319342	0.0012899973151547	0	0	0.0898284114503716	0	0.0131641377439305	0	9999	0.644950922682239	0.765314818338467	1.17910074790926
S1001	0.0147970322713334	0.0351647782213251	0.117108934873485	0.094394567195472	0	0.356128552151241	0	0.16344896358695	0.0531847176536758	0.139435683607654	0	0	0	0.00200689819024392	0	0	0	0	0.156493303805599	0	0.0206611874066184	0	9999	0.650422023394183	0.761095071965925	1.1528246189636
S10010	0	0.0278700546777276	0.157603126476809	0.107301615497006	0	0.492780326945378	0.153781473749831	0	0.0141993485540328	0.0829631945202677	0	0	0	0.0115595916834973	0	0	0	0	0.031666770668212	0	0.00645673250972007	0	9999	0.754228173231724	0.659864764979307	1.08618223528248
S10011	0.031982736089871	0	0.244019523554262	0.111995683542272	0	0.326594513810381	0.255785865531167	0	0.00590717099342319	0.148230498398599	0	0	0	0	0	0	0	0.00349425141810555	0	0	0.00461948512851319	0	9999	0.716746377762386	0.705988990631846	1.13262972846659
S10014	0.00309844842301237	0.0292121399559315	0.122214945977054	0.0963202811161274	0	0.450416973309021	0.127814300612891	0	0.0122873809096146	0.175438411867675	0	0	0	0.0271923464460139	0	0	0	0	0.0684890983312683	0	0.0120218869207347	0	9999	0.662130256581938	0.750225647972536	1.12450621386934
S10026	0	0.038561466869201	0.0749935308702626	0.108131083686696	0	0.444975025339544	0.120578095674952	0.165018049325098	0.0226604673207354	0.0254630817698389	0	0	0.0213145731399956	0.0301634660349167	0	0.0126655554468199	0	0	0.0541028593380726	0	0.0255703303700859	0	9999	0.709968522587696	0.710965816523534	1.14419758518622
S10032	0.0186678627445025	0	0.284475063436884	0.0527654165786801	0	0.413436414786675	0.15410701350994	0.0294335511888712	0.0200368852680984	0.0353699239568662	0	0	0.0114525354386682	0.0216290123685331	0	0.017523723819771	0	0	0.125916953995824	0	0.0265784200529853	0	9999	0.721129947945792	0.697964144873576	1.2113927771463
S10036	0	0.0434616351929849	0.0153717005216343	0.0705584191119546	0	0.515273994593916	0	0.282636910321541	0	0	0	0	0	0.0210950932514267	0	0.0064068759548435	0	0	0.119184056706457	0	0.0190066158119816	0.0146409738204842	9999	0.619173405741097	0.788697682276899	1.10763627528722
S10042	0.00373257073841217	0.0570655522650088	0.100841887845028	0.148852914774076	0	0.449991726206619	0.0576330583389811	0.181629462999963	0.00861342219097717	0.0366029306734738	0	0	0	0.0123164266029066	0	0.00548007658586723	0	0	0.098510278465393	0	0.00937064503612132	0	9999	0.705490175894286	0.712487080028344	1.17064095272283
S10044	0	0.0720827548555874	0.0844383288802551	0.109467983780653	0	0.515509704451625	0.160949078797593	0.167685022068026	0	0.0131460272017062	0	0	0	0.0140296854905729	0	0.00474673173043465	0	0	0.0379840944724384	0	0.00468189418505497	0	9999	0.698087389352722	0.717561673038107	1.18472130591395
S10049	0.0154884670375478	0.0639194134465227	0.0470388836756764	0.0702807045458255	0	0.442600111817285	0.103342239709582	0.267608535501975	0.00419772149474281	0.0341908038675078	0	0	0.00289718103194997	0.0142767620255382	0	0.00435059899758177	0	0	0.0769937980662591	0	0.00985207003939504	0	9999	0.657903235269417	0.754243732329014	1.15703729125739
S10057	0.00416896092755246	0.0361719907329432	0.166433550650111	0.203208119663282	0	0.352653707514041	0.0775706973494716	0.0853702127619366	0.01924191836234	0.184239324217925	0	0	0	0	0	0	0	0	0	0	0.0161538246430483	0	9999	0.642996383566492	0.766727996507679	1.14521230682265
S10062	0.0109144023417278	0.0393552278065515	0.24010327217475	0.0522290681502406	0	0.418319062869267	0.241352970088133	0.0457002456597398	0.0063934861955206	0.0404541989562511	0	0	0	0.0162382719849173	0	0.00318615411990923	0	0	0.0338126906359316	0	0.00702493575741644	0	9999	0.751861999302034	0.668225896801618	1.15508398674035
S10066	0	0.0423797499617808	0.190041584494495	0.0809781696571331	0	0.554975181562702	0.225561958819116	0.00162072974900268	0.0344292663169978	0.030177352139547	0	0	0	0.00658547173288226	0	0	0	0	0	0	0.0154079868839659	0	9999	0.758472951406769	0.65402482887679	1.18215745131762
S10067	0.0210895271097982	0.0354742908348268	0.0775505318501645	0.104026182934518	0	0.383737679939863	0.211408608906064	0.0705947167539011	0.000144065039844108	0.0953841717511278	0	0	0	0.00762720013291878	0	0	0	0	0.145968970233707	0	0.0141598061379276	0	9999	0.692682220901282	0.725773559813371	1.16716575162466
S1007	0.0686821770880703	0.00865899661082162	0.144021284315778	0.11175402224566	0	0.50760419437037	0.119440742586035	0.0911023265872397	0	0.012352898315256	0	0	0	0.00682892845892543	0	0	0	0	0.0660628208361503	0	0.00878046763435738	0	9999	0.66721216828474	0.746158852179425	1.14528885904866
S10073	0.017615629930442	0.0208652223717408	0.0906044213160102	0.0567942994204741	0	0.426534598171438	0.252118531903776	0.014056599235683	0.00742154187584234	0.108563625987816	0	0	0	0.0156989339350026	0	0.00315156789940832	0	0	0.09285597784578	0	0.0115182428379234	0	9999	0.729835352942562	0.690366379194484	1.11779919273134
S10077	0.0490941019646048	0.0268424156418639	0.298895697038428	0.0911847162541807	0	0.342714707014117	0.134849711163429	0	0.000555234493116011	0.155210911606622	0.001035986138189	0	0	0.0313832911081108	0	0	0	0.00387056458404197	0	0	0.00871470796371389	0	9999	0.693325188987009	0.725410751149383	1.14435204497042
S10080	0.0649346916944756	0	0.218566735553736	0.122101781581077	0	0.387488865549291	0.0879099083967908	0	0.0342547557457149	0.210095781188749	0	0	0	0.0152880383195253	0	0	0	0	0.017483877077586	0	0.00761854796039065	0	9999	0.704543241472488	0.71512066703596	1.16574298306734
S10082	0.013335963752111	0.0525562069919397	0.216831479197693	0.0788503180002003	0	0.343928468246058	0.153034578262448	0.215800216380901	0.029517648545521	0.0291625871348716	0	0	0	0	0	0.00761684987128179	0	0	0	0	0.00457799043962656	0	9999	0.755302883787409	0.676420776870199	1.14521230682265
S10087	0.0474363341230701	0.0304131614808698	0.131202252612814	0.0488840714039672	0	0.472844820436436	0.211067650697117	0.11359131097878	0.030382262873087	0.0249356445698165	0	0	0	0.0222115269920369	0	0.00418004459818943	0	0	0.0613656732285095	0	0.00720084447363362	0	9999	0.714588322599959	0.704552120083892	1.20571559846833
S10089	0	0.049052117771818	0.105770030194566	0.104978859748637	0	0.491091663268854	0.242448655199691	0.000705418656037212	0.0215121640154649	0.0564931341302444	0	0	0.0211288511868963	0	0	0	0	0	0.0415928528574978	0	0.00489154963693087	0	9999	0.747589474228598	0.669755415730965	1.13966529666664
S1009	0.0477894504839824	0.0343651784098484	0.126975616836332	0.0747901394167151	0	0.301763443886935	0.320791426266144	0.00990847206114244	0.0275620704319426	0.0831144647388412	0	0	0.0126229517404425	0.0200017878778814	0	0	0	0	0.112220251222101	0	0.0213014838193709	0	9999	0.698959024745782	0.729186738341992	1.19320673719168
S10090	0.00815361296090969	0	0.138296454723269	0.134386276184415	0	0.536190364076196	0.157159801973752	0.0434776247981269	0.0499329947189379	0.096076110347825	0	0	0	0.00051038311103136	0	0	0	0	0.0171210278417481	0	0.000452150385887877	0	9999	0.702444233659999	0.712773386770254	1.1817568011221
S10093	0	0.0361253575556338	0.103076972256559	0.128775046947188	0	0.484757346804706	0.0538677016080357	0.162187344511418	0.0166386628886999	0.0107271633427858	0	0	0	0.00478860869770796	0	0	0	0	0.098863000149279	0	0.0154545404225509	0	9999	0.642861184258561	0.76797093717573	1.11526174518456
S10094	0.00352910639504814	0.0375343987972337	0.160199615700521	0.117819192423173	0	0.512719547058015	0.0887018989572666	0.132293162160444	0.0128875733480055	0.00688994654655656	0	0	0.000309372592227968	0.00508174013701114	0	0.00166300930525582	0	0	0.0212168074470821	0	0.00849547040063624	0	9999	0.729758688311973	0.685243179654231	1.10934084126848
S1010	0.0239326768745125	0.0535183643540356	0.159941446442165	0.08045343839417	0	0.42610303837627	0.256203186419272	0.0274936375109433	0.0201361894511383	0.122483709394278	0	0	0	0.0221592726543086	0	0	0	0	0.00025209167272151	0	0.009193112551824	0	9999	0.700523757087993	0.719011907233335	1.20187016409564
S10111	0.0104220094060191	0.0362345651448925	0.0923358768950906	0.0778785517563982	0	0.396398028165565	0.191668318847605	0.172418454091104	0.0336121707909581	0.0412750887765148	0	0	0.00190871856040017	0.0130100746050886	0	0.00435111358092995	0	0	0.0853433001409196	0	0.0135507133397024	0	9999	0.676070418350326	0.740771118153756	1.17040698410119
S10116	0	0.0254486920010293	0.201251660217421	0.105185772818803	0	0.16007643422921	0.125487864432175	0	0.0181472520198058	0.327972386272312	0.0108142128808348	0	0	0.00366414730741925	0	0	0	0	0.0699474156180337	0	0.0303620814003464	0	9999	0.683687973990664	0.738339936643295	1.07835791919739
S10119	0.0280417876883051	0.0383309200518624	0.176930871794728	0.0775531502400391	0	0.350387619776404	0.12208041950401	0.178243571796337	0.0150110937968244	0.0516227516021379	0	0	0	0	0	0.0010179584296416	0	0	0.0816982660141802	0	0.00935659388784471	0	9999	0.682049443892385	0.736045456451427	1.13027500458231
S10121	0	0.06710459880188	0.110382881788541	0.114317466971259	0	0.362935502036205	0.166984100605302	0.0534186691324257	0.0370947843780473	0.0755059942006791	0	0	0.0103710498147977	0.000245340128682664	0	0	0	0	0.104458546281679	0	0.0228211701198818	0	9999	0.734978078073711	0.692431509247971	1.12564010425938
S10130	0.0129743748442533	0.0299250300192273	0.219847158286564	0.124631654000144	0	0.467652973719667	0.20168839355292	0	0	0.0343897258258283	0	0	0	0.00415831485055659	0	0	0	0.00143311332755251	0	0	0.00968355955288107	0	9999	0.770233312341154	0.643326598988585	1.10638429797959
S10140	0.0316766277266895	0.0513661172833488	0.0880697416120649	0.0906777934674602	0	0.609806490209751	0.114785761255649	0	0.0492047703968461	0.0772461098711001	0	0	0.00415695144103231	0.00652125774167542	0	0.0245562202154012	0	0	0.0724035935058986	0	0.00758346170111765	0	9999	0.728550732986032	0.686818384051112	1.22805489642803
S10142	0.0418780005666973	0.0222529582100378	0.0941500716374886	0.10113770876352	0	0.379004102257197	0.0692350351864776	0.0775314266715832	0.0132516096307591	0.110406777202516	0	0	0	0.0442918135144166	0	0.00618253248373887	0	0	0.182409873018331	0	0.0140514634086697	0	9999	0.635722174591897	0.772814463886062	1.15578337255143
S10150	0.0333563671348115	0.00284128675663845	0.143730432635966	0.0789361664486851	0	0.547110161791199	0.10400513021085	0	0	0.0762361811567729	0.0239349661065511	0	0	0.00783246649912372	0	0	0	0	0.105043484644612	0	0.0147976847708866	0	9999	0.729255724025067	0.686204799395223	1.1378243281561
S10155	0.0336741813682295	0.0153124948333726	0.130090281012224	0.105314477666701	0	0.428384748517168	0.217382761756722	0.0679034975177966	0.0326550557008411	0.0484676477280509	0	0	0.0106945280917355	0.00467861283504679	0	0.00783485555844112	0	0	0.0308315151410891	0	0.017875063125015	0	9999	0.6681920716908	0.74563476105928	1.15109972085243
S1016	0	0.0379435059824382	0.14856625312464	0.0471453361809244	0	0.451579783310601	0.172724042847616	0.0724057753239515	0.0103287820060279	0.021135749613871	0	0	0	0.02366247274955	0	0.00290402491567306	0	0	0.133128281811321	0	0.0121022829923394	0	9999	0.688855764624078	0.726156388298064	1.13362629085895
S10163	0.0633165102353408	0	0.23973624575674	0.128189769094493	0	0.359976099210645	0.126263087140075	0	0.0209067039558341	0.175991680759907	0	0	0	0	0.0038473113739043	0	0	0.0106139816985196	0.0406876934651614	0	0	0	9999	0.696549518158772	0.72228241953104	1.16952908269062
S10167	0.0465350349241763	0.00375386889852701	0.0706989958367844	0.0579797511333094	0	0.393887727160747	0	0	0.0273393554348806	0.27513096308669	0	0	0.020534293122656	0.0440878459604392	0	0	0	0	0.174902756396579	0	0.0260438505591121	0	9999	0.659494093348	0.753596293834492	1.1408944425139
S10168	0.0356163253883485	0.0118046607198086	0.0985302037329951	0.133746057110787	0	0.360814514928595	0.194587547483934	0.00891017718597665	0.036816398363147	0.0959845686332755	0	0	0.00357491638536059	0.0140627854569009	0	0.00584198574184744	0	0	0.134408410901355	0	0.00849867061069184	0	9999	0.690859810009049	0.728265577438189	1.14319722264302
S10173	0.0103165492870917	0.123583504051233	0.17817573706504	0.0431123348874843	0	0.348583735909759	0.224882453777161	0.0300267937721341	0.0246675221353431	0.0288119439914976	0	0	0	0.00911671486780287	0	0	0	0	0.120609408763248	0	0.0106240211266851	0	9999	0.732362446606274	0.697247062796474	1.15251071963448
S10175	0.0361067368066257	0.023236757899239	0.142920042107947	0.117519858350477	0	0.509961204873067	0.132845828708561	0.12768976872367	0.0144599819062248	0.0405818826805356	0	0	0	0.0124715460144439	0	0.00157602394954912	0	0	0.0286298046690369	0	0.010424894571342	0	9999	0.725824967261396	0.691364654165687	1.19842433126072
S10179	0	0.0335937675838883	0.141615544573902	0.12221082483538	0	0.304579589441109	0.127885195464919	0	0.0625528517208202	0.163791974537943	0	0	0.0101461713429295	0.000863058699428146	0	0.0129313702937787	0	0	0.120624179094204	0	0.0155809521617296	0	9999	0.659361316204545	0.755151513531921	1.11637547975003
